q q_max q_time hits q_time/hits k accept_counter reject_counter sampled_ratio/numer_working_threads
0 127 0.044492 1 0.044492 2550582 2550555 0 1
1 127 0.045062 1 0.045062 2550582 2550555 0 1
2 127 0.089984 2 0.044992 5142647 3481761 1660859 0
3 127 0.136378 3 0.045459 7781959 4693039 3088893 0
4 127 0.254793 5 0.050959 13815101 6854822 6960252 0
5 127 0.305510 6 0.050918 16002731 8083650 7919054 0
6 127 0.445573 8 0.055697 24218928 11410085 12808816 0
7 127 0.509099 9 0.056567 26810199 13081918 13728254 0
8 127 0.714062 11 0.064915 34911282 16135701 18775554 0
9 127 0.994072 13 0.076467 41604205 18633747 22970431 0
10 127 0.872675 14 0.062334 42115208 19312701 22802480 0
11 127 1.109670 16 0.069354 52555699 23840421 28715251 0
12 127 1.534229 18 0.085235 70459460 31634729 38824704 0
13 127 1.264234 19 0.066539 62996693 28719138 34277528 0
14 127 1.721139 21 0.081959 82872013 37814123 45057863 0
15 127 2.332825 23 0.101427 101385461 45602143 55783291 0
16 127 3.403350 25 0.136134 155220742 69479950 85740765 0
17 127 2.649373 26 0.101899 103623899 46382967 57240905 0
18 127 3.144717 28 0.112311 132859460 59443035 73416398 0
19 127 3.430743 30 0.114358 150947522 67406248 83541247 0
20 127 9.338623 32 0.291832 268502456 120075891 148426538 0
21 127 3.602919 33 0.109179 137991435 61773393 76218015 0
22 127 4.843044 35 0.138373 165173845 73932624 91241194 0
23 127 5.960894 37 0.161105 201955855 90565173 111390655 0
24 127 7.575195 39 0.194236 295361040 132016344 163344669 0
25 127 25.072999 41 0.611537 815794276 365963400 449830849 0
26 127 4.697333 42 0.111841 192558182 86681590 105876565 0
27 127 6.037260 44 0.137210 238377794 107324408 131053359 0
28 127 9.655219 46 0.209896 316011741 142037934 173973780 0
29 127 17.012105 48 0.354419 503235511 226031547 277203937 0
30 127 23.067245 50 0.461345 914876953 413274767 501602159 0
31 127 7.042613 51 0.138090 270319359 121229198 149090134 0
32 127 11.101888 53 0.209470 378985478 171712469 207272982 0
33 127 13.196594 55 0.239938 438308498 197612268 240696203 0
34 127 19.697768 57 0.345575 715747552 324211401 391536124 0
35 127 28.515147 59 0.483308 942525634 425683837 516841770 0
36 127 104.750034 61 1.717214 2160504416 974344628 1186159761 0
37 127 10.624176 62 0.171358 427689005 194297596 233391382 0
38 127 13.449007 64 0.210141 498161070 225162206 272998837 0
39 127 13.690346 66 0.207429 594837737 268865335 325972375 0
40 127 28.540494 68 0.419713 1061971170 480762743 581208400 0
41 127 76.676793 70 1.095383 2237661719 1013019159 1224642533 0
42 127 77.085975 72 1.070639 1932175668 876452127 1055723514 0
43 127 16.854256 73 0.230880 688965102 314481579 374483496 0
44 127 26.336248 75 0.351150 825175914 375472670 449703217 0
45 127 22.810495 77 0.296240 790131732 359619016 430512689 0
46 127 41.843012 79 0.529658 1568256048 715209964 853046057 0
47 127 60.543306 81 0.747448 1766637867 804586139 962051701 0
48 127 96.517277 83 1.162859 3144302376 1431669252 1712633097 0
49 127 417.214153 85 4.908402 5289177723 2409391523 2879786173 0
50 127 16.886964 86 0.196360 634884988 288879228 346005733 0
51 127 31.043843 88 0.352771 1021924399 464268763 557655609 0
52 127 41.343883 90 0.459376 1518056049 691372677 826683345 0
53 127 70.690523 92 0.768375 2428909833 1102798381 1326111425 0
54 127 98.758646 94 1.050624 3559622228 1621725039 1937897162 0
55 127 169.397273 96 1.764555 3678612896 1669531538 2009081331 0
56 127 508.809629 98 5.191935 4862727605 2208752553 2653975025 0
57 127 31.045124 99 0.313587 980602521 446787088 533815406 0
58 127 58.244511 101 0.576678 1636252258 743630876 892621355 0
59 127 72.885885 103 0.707630 2008934465 912031587 1096902851 0
60 127 79.030222 105 0.752669 2584397075 1172589986 1411807062 0
61 127 120.362771 107 1.124886 3681120659 1667851712 2013268920 0
62 127 309.830608 109 2.842483 6723799430 3044373123 3679426280 0
63 127 523.391937 111 4.715243 10378671753 4689965348 5688706378 0
64 127 1217.472774 113 10.774095 3775399049 1705109239 2070289783 0
65 127 52.885640 114 0.463909 1888754829 852718837 1036035965 0
66 127 72.660073 116 0.626380 1810685194 816012804 994672363 0
67 127 89.683576 118 0.760030 3249658699 1460107869 1789550803 0
68 127 133.195768 120 1.109965 3223294823 1451582745 1771712051 0
69 127 214.219787 122 1.755900 6153897623 2764347087 3389550509 0
70 127 353.446989 124 2.850379 6644833985 2969455309 3675378649 0
71 127 627.252256 126 4.978193 8894728470 3979370275 4915358168 0
72 127 1257.564507 128 9.824723 16603436577 7421162050 9182274500 0
73 127 1118.391268 130 8.603010 5108779653 2273651343 2835128283 0
74 127 1036.207106 132 7.850054 11730674546 5238198958 6492475561 0
75 127 893.184345 134 6.665555 14606196930 6497829145 8108367758 0
76 127 741.646604 136 5.453284 18352506185 8140684837 10211821321 0
77 127 596.914225 138 4.325465 15427146674 6841801096 8585345551 0
78 127 480.547839 140 3.432485 13937076585 6165732438 7771344120 0
79 127 553.794955 142 3.899964 12228191937 5398830787 6829361123 0
80 127 677.950835 144 4.707992 14228678247 6266027505 7962650715 0
