q q_max q_time hits q_time/hits k accept_counter reject_counter sampled_ratio/numer_working_threads
0 127 0.226238 1 0.226238 12794166 12794139 0 1
1 127 0.248517 1 0.248517 12794166 12794139 0 1
2 127 0.470461 2 0.235230 25696719 17376008 8320684 0
3 127 0.711459 3 0.237153 38707852 23333703 15374122 0
4 127 1.315913 5 0.263183 66976149 33266925 33709197 0
5 127 1.508739 6 0.251456 79484909 40298351 39186531 0
6 127 2.264394 8 0.283049 112991989 52948743 60043219 0
7 127 2.305825 9 0.256203 121718694 58294709 63423958 0
8 127 3.109967 11 0.282724 155088368 70791039 84297302 0
9 127 4.475961 13 0.344305 206391606 92660211 113731368 0
10 127 3.993800 14 0.285271 207965626 95567149 112398450 0
11 127 5.106212 16 0.319138 255195317 115445157 139750133 0
12 127 6.726747 18 0.373708 303953758 135163382 168790349 0
13 127 6.425486 19 0.338183 311525348 141432409 170092912 0
14 127 7.351803 21 0.350086 364685743 163892266 200793450 0
15 127 10.612697 23 0.461422 474727509 212732167 261995315 0
16 127 17.762480 25 0.710499 774492906 346588519 427904360 0
17 127 9.555055 26 0.367502 495478499 223762032 271716440 0
18 127 11.255460 28 0.401981 569962319 256359090 313603202 0
19 127 17.170105 30 0.572337 786419682 351950549 434469106 0
20 127 25.906161 32 0.809568 1145660147 513662207 631997913 0
21 127 15.214530 33 0.461046 736504503 332878471 403626005 0
22 127 18.450242 35 0.527150 775417136 346977667 428439442 0
23 127 22.929909 37 0.619727 1083099675 485078737 598020911 0
24 127 34.509465 39 0.884858 1545012556 694638536 850373993 0
25 127 94.698538 41 2.309720 3749260677 1692232903 2057027747 0
26 127 22.715958 42 0.540856 1022044188 459197927 562846234 0
27 127 25.294826 44 0.574882 1182427944 531639406 650788511 0
28 127 28.306553 46 0.615360 1388237156 624941558 763295571 0
29 127 47.684002 48 0.993417 2300424070 1040400282 1260023761 0
30 127 115.944527 50 2.318891 5361280193 2419210344 2942069822 0
31 127 26.354257 51 0.516750 1356302259 613109474 743192758 0
32 127 33.219779 53 0.626788 1599107640 723950529 875157084 0
33 127 47.348695 55 0.860885 2141631378 970155679 1171475672 0
34 127 66.543652 57 1.167432 2935942496 1329541558 1606400911 0
35 127 132.793638 59 2.250740 5331460199 2406495703 2924964469 0
36 127 475.354185 61 7.792692 19185183406 8691587373 10493596006 0
37 127 43.603908 62 0.703289 2197451249 994957285 1202493937 0
38 127 49.919347 64 0.779990 2235259155 1012316482 1222942646 0
39 127 73.652972 66 1.115954 3339744159 1516265654 1823478478 0
40 127 113.844484 68 1.674184 4651713774 2112380022 2539333725 0
41 127 232.142659 70 3.316324 10482217393 4763399746 5718817620 0
42 127 617.140579 72 8.571397 25732918359 11694660365 14038257967 0
43 127 66.363245 73 0.909086 2772522611 1265127394 1507395190 0
44 127 68.260589 75 0.910141 3282155790 1487788177 1794367586 0
45 127 87.346095 77 1.134365 4073698181 1853078909 2220619245 0
46 127 146.238090 79 1.851115 6714634299 3054445032 3660189240 0
47 127 294.416015 81 3.634766 11173879888 5079362946 6094516915 0
48 127 609.106937 83 7.338638 23415967215 10665297043 12750670145 0
49 127 2306.504747 85 27.135350 74609495801 33972711444 40636784330 0
50 127 87.563817 86 1.018184 3743367278 1707191992 2036175259 0
51 127 107.865090 88 1.225740 4547829855 2066020927 2481808901 0
52 127 160.262310 90 1.780692 6480309900 2948484672 3531825201 0
53 127 245.271052 92 2.665990 9594071841 4364042322 5230029492 0
54 127 431.958935 94 4.595308 18547372293 8430981463 10116390803 0
55 127 853.990319 96 8.895732 37250359455 16907077642 20343281786 0
56 127 3028.706606 98 30.905169 104930537445 47618332190 57312205228 0
57 127 106.674891 99 1.077524 5153138343 2342624893 2810513423 0
