q q_max q_time hits q_time/hits k accept_counter reject_counter
0 31 80.956796 1 80.956796 639999938 639999937 0
1 31 85.736265 1 85.736265 639999938 639999937 0
2 31 187.016580 2 93.508290 1280035070 901539177 378495892
3 31 286.152859 3 95.384286 1920491496 1262240779 658250716
4 31 497.342080 5 99.468416 3220633662 1800875914 1419757747
5 31 610.716563 6 101.786094 3851415775 2265292786 1586122988
6 31 1136.709899 8 142.088737 5161465529 2837406199 2324059329
7 31 1279.719024 9 142.191003 5794695708 3294004160 2500691547
8 31 1556.282161 11 141.480196 7126800362 3885783450 3241016911
9 31 1597.320155 13 122.870781 8518003938 4485070194 4032933743
10 31 1503.596948 14 107.399782 9095826938 4946969226 4148857711
11 31 2279.978184 16 142.498637 10424978439 5521946885 4903031553
12 31 2787.845142 18 154.880286 12144378134 6308992516 5835385617
13 31 2126.192618 19 111.904875 12406118999 6600040139 5806078859
14 31 2357.978211 21 112.284677 13915843396 7263334400 6652508995
15 31 2595.759707 23 112.859118 15523443447 7969085573 7554357873
16 31 3351.077527 25 134.043101 20154387055 10233902467 9920484587
17 31 3020.626877 26 116.177957 17292077919 8871699568 8420378350
18 31 3607.688218 28 128.846008 18643342927 9395774296 9247568630
19 31 4031.074034 30 134.369134 20907253532 10376809655 10530443876
20 31 4982.913078 32 155.716034 22727115231 11109758373 11617356857
21 31 4674.846821 34 137.495495 24720826130 11900672319 12820153810
22 31 5265.502094 36 146.263947 25897795826 12271896736 13625899089
23 31 4614.413868 38 121.431944 26667798723 12432521056 14235277666
24 31 5172.379317 40 129.309483 29989531709 13736112150 16253419558
25 31 5184.541977 42 123.441476 29787359009 13397236684 16390122324
26 31 5621.065019 44 127.751478 30540058181 13445679118 17094379062
27 31 6466.908773 46 140.584973 32014077606 13794765230 18219312375
28 31 5759.160331 48 119.982507 32961535171 13864021456 19097513714
29 31 5961.217579 50 119.224352 34204831011 14011907254 20192923756
30 31 6152.449683 52 118.316340 35415005441 14103899048 21311106392
31 31 6633.270292 53 125.156043 35830497914 14061793620 21768704293
101468
