q q_max q_time hits q_time/hits 
1 31 0.064802 1 0.064802
2 31 0.110695 2 0.055348
3 31 0.175680 3 0.058560
4 31 0.293689 5 0.058738
5 31 0.367016 6 0.061169
6 31 0.495099 8 0.061887
7 31 0.557729 9 0.061970
8 31 0.698757 11 0.063523
9 31 0.839093 13 0.064546
10 31 0.935120 14 0.066794
11 31 1.070857 16 0.066929
12 31 1.211985 18 0.067332
13 31 1.290419 19 0.067917
14 31 1.427401 21 0.067971
15 31 1.563643 23 0.067984
16 31 1.699749 25 0.067990
17 31 1.788246 26 0.068779
18 31 1.915717 28 0.068418
19 31 2.082710 30 0.069424
20 31 2.291271 32 0.071602
21 31 2.350267 34 0.069126
22 31 2.471637 36 0.068657
23 31 2.649324 38 0.069719
24 31 2.755005 40 0.068875
25 31 3.439099 42 0.081883
26 31 3.327661 44 0.075629
27 31 3.129563 46 0.068034
28 31 3.193383 48 0.066529
29 31 3.330399 50 0.066608
30 31 3.489081 52 0.067098
31 31 3.577320 53 0.067497
54.5926
