run: 141 | L: 8 | REP: 1000 | skip: 64 | workers: 11 (+1 root) | REP per worker 90 | Lattice SS
Sun Feb  7 14:33:09 2021 | q: 0/31 | q_time: 0.001517s | E: 1 | q_time/E: 0.001517s | shuffle time: 0.000000s
Sun Feb  7 14:33:09 2021 | q: 1/31 | q_time: 0.001634s | E: 1 | q_time/E: 0.001634s | shuffle time: 0.000083s
Sun Feb  7 14:33:09 2021 | q: 2/31 | q_time: 0.003229s | E: 2 | q_time/E: 0.001614s | shuffle time: 0.000088s
Sun Feb  7 14:33:09 2021 | q: 3/31 | q_time: 0.003888s | E: 3 | q_time/E: 0.001296s | shuffle time: 0.000068s
Sun Feb  7 14:33:09 2021 | q: 4/31 | q_time: 0.006836s | E: 5 | q_time/E: 0.001367s | shuffle time: 0.000039s
Sun Feb  7 14:33:09 2021 | q: 5/31 | q_time: 0.005391s | E: 6 | q_time/E: 0.000898s | shuffle time: 0.000040s
Sun Feb  7 14:33:09 2021 | q: 6/31 | q_time: 0.007328s | E: 8 | q_time/E: 0.000916s | shuffle time: 0.000044s
Sun Feb  7 14:33:09 2021 | q: 7/31 | q_time: 0.007766s | E: 9 | q_time/E: 0.000863s | shuffle time: 0.000040s
Sun Feb  7 14:33:09 2021 | q: 8/31 | q_time: 0.011256s | E: 11 | q_time/E: 0.001023s | shuffle time: 0.000040s
Sun Feb  7 14:33:09 2021 | q: 9/31 | q_time: 0.014847s | E: 13 | q_time/E: 0.001142s | shuffle time: 0.000042s
Sun Feb  7 14:33:09 2021 | q: 10/31 | q_time: 0.015492s | E: 14 | q_time/E: 0.001107s | shuffle time: 0.000042s
Sun Feb  7 14:33:09 2021 | q: 11/31 | q_time: 0.019927s | E: 16 | q_time/E: 0.001245s | shuffle time: 0.000044s
Sun Feb  7 14:33:10 2021 | q: 12/31 | q_time: 0.022705s | E: 18 | q_time/E: 0.001261s | shuffle time: 0.000041s
Sun Feb  7 14:33:10 2021 | q: 13/31 | q_time: 0.024417s | E: 19 | q_time/E: 0.001285s | shuffle time: 0.000045s
Sun Feb  7 14:33:10 2021 | q: 14/31 | q_time: 0.018457s | E: 21 | q_time/E: 0.000879s | shuffle time: 0.000044s
Sun Feb  7 14:33:10 2021 | q: 15/31 | q_time: 0.025301s | E: 23 | q_time/E: 0.001100s | shuffle time: 0.000042s
Sun Feb  7 14:33:10 2021 | q: 16/31 | q_time: 0.045392s | E: 25 | q_time/E: 0.001816s | shuffle time: 0.000041s
Sun Feb  7 14:33:10 2021 | q: 17/31 | q_time: 0.027584s | E: 26 | q_time/E: 0.001061s | shuffle time: 0.000028s
Sun Feb  7 14:33:10 2021 | q: 18/31 | q_time: 0.033097s | E: 28 | q_time/E: 0.001182s | shuffle time: 0.000030s
Sun Feb  7 14:33:10 2021 | q: 19/31 | q_time: 0.053961s | E: 30 | q_time/E: 0.001799s | shuffle time: 0.000031s
Sun Feb  7 14:33:10 2021 | q: 20/31 | q_time: 0.048358s | E: 32 | q_time/E: 0.001511s | shuffle time: 0.000029s
Sun Feb  7 14:33:10 2021 | q: 21/31 | q_time: 0.035128s | E: 34 | q_time/E: 0.001033s | shuffle time: 0.000030s
Sun Feb  7 14:33:10 2021 | q: 22/31 | q_time: 0.078713s | E: 36 | q_time/E: 0.002186s | shuffle time: 0.000029s
Sun Feb  7 14:33:10 2021 | q: 23/31 | q_time: 0.102601s | E: 38 | q_time/E: 0.002700s | shuffle time: 0.000031s
Sun Feb  7 14:33:10 2021 | q: 24/31 | q_time: 0.147395s | E: 40 | q_time/E: 0.003685s | shuffle time: 0.000029s
Sun Feb  7 14:33:10 2021 | q: 25/31 | q_time: 0.153847s | E: 42 | q_time/E: 0.003663s | shuffle time: 0.000045s
Sun Feb  7 14:33:10 2021 | q: 26/31 | q_time: 0.059163s | E: 44 | q_time/E: 0.001345s | shuffle time: 0.000044s
Sun Feb  7 14:33:10 2021 | q: 27/31 | q_time: 0.073393s | E: 46 | q_time/E: 0.001596s | shuffle time: 0.000042s
Sun Feb  7 14:33:11 2021 | q: 28/31 | q_time: 0.052374s | E: 48 | q_time/E: 0.001091s | shuffle time: 0.000044s
Sun Feb  7 14:33:11 2021 | q: 29/31 | q_time: 0.059942s | E: 50 | q_time/E: 0.001199s | shuffle time: 0.000028s
Sun Feb  7 14:33:11 2021 | q: 30/31 | q_time: 0.066429s | E: 52 | q_time/E: 0.001277s | shuffle time: 0.000030s
Sun Feb  7 14:33:11 2021 | q: 31/31 | q_time: 0.130145s | E: 53 | q_time/E: 0.002456s | shuffle time: 0.000028s
