q q_max q_time hits q_time/hits k accept_counter reject_counter
0 31 0.001164 1 0.001164 62678 62667 0 1
1 31 0.001256 1 0.001256 62678 62667 0 1
2 31 0.002486 2 0.001243 128043 90494 37538 0
3 31 0.003738 3 0.001246 194207 127830 66366 0
4 31 0.005948 5 0.001190 365485 208435 157039 0
5 31 0.004673 6 0.000779 406076 238182 167883 0
6 31 0.006737 8 0.000842 561026 299395 261620 0
7 31 0.008673 9 0.000964 637366 364915 272440 0
8 31 0.008782 11 0.000798 816402 448910 367481 0
9 31 0.015298 13 0.001177 1248867 663037 585819 0
10 31 0.012013 14 0.000858 1059796 580932 478853 0
11 31 0.023662 16 0.001479 1619352 885155 734186 0
12 31 0.019270 18 0.001071 1660604 887668 772925 0
13 31 0.018538 19 0.000976 1460385 768286 692088 0
14 31 0.017443 21 0.000831 1675755 876807 798937 0
15 31 0.024009 23 0.001044 2399663 1257327 1142325 0
16 31 0.057928 25 0.002317 3025841 1549706 1476124 0
17 31 0.026350 26 0.001013 2260884 1160804 1100069 0
18 31 0.030687 28 0.001096 2779897 1417155 1362731 0
19 31 0.039798 30 0.001327 3161939 1577366 1584562 0
20 31 0.038798 32 0.001212 3263185 1608329 1654845 0
21 31 0.075721 34 0.002227 4998721 2452661 2546049 0
22 31 0.068794 36 0.001911 4710019 2257523 2452485 0
23 31 0.068480 38 0.001802 4203882 1989744 2214127 0
24 31 0.069691 40 0.001742 5114934 2381708 2733215 0
25 31 0.066158 42 0.001575 4747694 2165112 2582571 0
26 31 0.054928 44 0.001248 4408759 1943047 2465701 0
27 31 0.056810 46 0.001235 4884262 2101563 2782688 0
28 31 0.064319 48 0.001340 5676219 2408850 3267358 0
29 31 0.052800 50 0.001056 4676024 1911316 2764697 0
30 31 0.055849 52 0.001074 5323347 2151735 3171601 0
31 31 0.076174 53 0.001437 7253639 2916946 4336682 0
1.07869
