q q_max q_time hits q_time/hits k accept_counter reject_counter
0 63 0.271787 1 0.271787 1279874 1279873 0
1 63 0.270352 1 0.270352 1279874 1279873 0
2 63 0.555193 2 0.277596 2560478 1807590 752887
3 63 0.840783 3 0.280261 3841559 2541976 1299582
4 63 1.430423 5 0.286085 6460551 3670638 2789912
5 63 2.024788 7 0.289255 9061194 4912750 4148443
6 63 2.590155 9 0.287795 11558295 6102176 5456118
7 63 3.172434 11 0.288403 14129364 7348025 6781338
8 63 4.587740 14 0.327696 20465136 10124361 10340774
9 63 4.796899 16 0.299806 21151902 10466714 10685187
10 63 5.390076 18 0.299449 23692622 11839729 11852892
11 63 6.745164 21 0.321198 29734463 14502669 15231793
12 63 6.900068 23 0.300003 30316088 14905836 15410251
13 63 7.800350 26 0.300013 34342746 16547912 17794833
14 63 8.904514 29 0.307052 39377297 18778834 20598462
15 63 10.012253 32 0.312883 44445386 21077580 23367805
16 63 29.994739 35 0.856993 137828354 66691340 71137013
17 63 19.861742 37 0.536804 90065611 43952615 46112995
18 63 19.739533 40 0.493488 89258561 42997226 46261334
19 63 26.467261 42 0.630173 120661551 59145244 61516306
20 63 27.137475 45 0.603055 123031940 59787467 63244472
21 63 34.545601 48 0.719700 157888246 75896939 81991306
22 63 34.663216 51 0.679671 158605715 75916281 82689433
23 63 72.712496 54 1.346528 337291274 164750017 172541256
24 63 90.403393 57 1.586024 421621438 204106947 217514490
25 63 65.288823 59 1.106590 303002126 147020417 155981708
26 63 35.101851 62 0.566159 158238741 76068904 82169836
27 63 32.680339 65 0.502774 147201808 70650843 76550964
28 63 39.721669 69 0.575676 180751417 85737610 95013806
29 63 58.152159 72 0.807669 267940391 127773953 140166437
30 63 51.424361 75 0.685658 237166435 112615476 124550958
31 63 93.908060 79 1.188710 440123369 207374651 232748717
32 63 67.242491 82 0.820030 314741200 148134972 166606227
33 63 74.571321 85 0.877310 350007058 164560766 185446291
34 63 87.844444 89 0.987016 415007060 194268517 220738542
35 63 66.875273 92 0.726905 314096719 146684152 167412566
36 63 95.198553 96 0.991652 450737301 209763228 240974072
37 63 392.874269 99 3.968427 1888150166 879340004 1008810161
38 63 91.843881 102 0.900430 436995666 202548569 234447096
39 63 96.909762 105 0.922950 462809213 213332038 249477174
40 63 127.984950 109 1.174174 615467877 282396989 333070887
41 63 341.201392 112 3.046441 1660127386 761221455 898905930
42 63 125.858220 115 1.094419 603090297 273295849 329794447
43 63 116.696713 119 0.980645 565700254 254930849 310769404
44 63 306.573955 122 2.512901 1503854895 678843257 825011637
45 63 204.601529 125 1.636812 1003614302 448827430 554786871
46 63 216.785995 129 1.680512 1069855031 474158234 595696796
47 63 397.290392 132 3.009776 1972517809 869452645 1103065163
48 63 627.829018 136 4.616390 3170254298 1386291875 1783962422
49 63 442.270306 139 3.181801 2262993717 975925032 1287068684
50 63 673.695309 142 4.744333 3467874458 1490032297 1977842160
51 63 120.037900 145 0.827848 610686250 259640712 351045537
52 63 549.357545 149 3.686963 2844502718 1197282168 1647220549
53 63 295.663280 153 1.932440 1534170257 637712295 896457961
54 63 180.150748 157 1.147457 935592023 384034734 551557288
55 63 135.563257 161 0.842008 705271452 285308344 419963107
56 63 431.482016 165 2.615043 2288046200 919809151 1368237048
57 63 1024.563735 168 6.098594 5366508620 2125161634 3241346985
58 63 41996.765969 172 244.167244 221037928432 86427459499 134610468932
59 63 358.113988 174 2.058126 1884848322 728496907 1156351414
60 63 492.364450 177 2.781720 2608191000 996470850 1611720149
61 63 851.298981 180 4.729439 4546834868 1714884035 2831950832
62 63 12284.477632 183 67.128293 66114980958 24644909812 41470071145
63 63 5775.624889 185 31.219594 31139538547 11495805576 19643732970
69847.7
