run: 31 | L: 4 | REP: 10000 | skip: 128 | workers: 27 (+1 root) | REP per worker 370 | Lattice BCC
Fri Feb 19 14:59:17 2021 | q: 0/63 | q_time: 0.044463s | E: 1 | q_time/E: 0.044463s | shuffle time: 0.000000s
Fri Feb 19 14:59:17 2021 | q: 1/63 | q_time: 0.023024s | E: 1 | q_time/E: 0.023024s | shuffle time: 0.000834s
Fri Feb 19 14:59:17 2021 | q: 2/63 | q_time: 0.045349s | E: 2 | q_time/E: 0.022675s | shuffle time: 0.001150s
Fri Feb 19 14:59:17 2021 | q: 3/63 | q_time: 0.067549s | E: 3 | q_time/E: 0.022516s | shuffle time: 0.000864s
Fri Feb 19 14:59:17 2021 | q: 4/63 | q_time: 0.113917s | E: 5 | q_time/E: 0.022783s | shuffle time: 0.000875s
Fri Feb 19 14:59:17 2021 | q: 5/63 | q_time: 0.181218s | E: 7 | q_time/E: 0.025888s | shuffle time: 0.000870s
Fri Feb 19 14:59:17 2021 | q: 6/63 | q_time: 0.227946s | E: 9 | q_time/E: 0.025327s | shuffle time: 0.000870s
Fri Feb 19 14:59:18 2021 | q: 7/63 | q_time: 0.265059s | E: 11 | q_time/E: 0.024096s | shuffle time: 0.000865s
Fri Feb 19 14:59:18 2021 | q: 8/63 | q_time: 0.376744s | E: 14 | q_time/E: 0.026910s | shuffle time: 0.000869s
Fri Feb 19 14:59:18 2021 | q: 9/63 | q_time: 0.467274s | E: 16 | q_time/E: 0.029205s | shuffle time: 0.000873s
Fri Feb 19 14:59:19 2021 | q: 10/63 | q_time: 0.505732s | E: 18 | q_time/E: 0.028096s | shuffle time: 0.000876s
Fri Feb 19 14:59:20 2021 | q: 11/63 | q_time: 0.748375s | E: 21 | q_time/E: 0.035637s | shuffle time: 0.000875s
Fri Feb 19 14:59:20 2021 | q: 12/63 | q_time: 0.629996s | E: 23 | q_time/E: 0.027391s | shuffle time: 0.000878s
Fri Feb 19 14:59:21 2021 | q: 13/63 | q_time: 0.839709s | E: 26 | q_time/E: 0.032296s | shuffle time: 0.000876s
Fri Feb 19 14:59:22 2021 | q: 14/63 | q_time: 1.009509s | E: 29 | q_time/E: 0.034811s | shuffle time: 0.000875s
Fri Feb 19 14:59:24 2021 | q: 15/63 | q_time: 1.344635s | E: 32 | q_time/E: 0.042020s | shuffle time: 0.000870s
Fri Feb 19 14:59:29 2021 | q: 16/63 | q_time: 5.310366s | E: 35 | q_time/E: 0.151725s | shuffle time: 0.000868s
Fri Feb 19 14:59:31 2021 | q: 17/63 | q_time: 2.070411s | E: 37 | q_time/E: 0.055957s | shuffle time: 0.000871s
Fri Feb 19 14:59:33 2021 | q: 18/63 | q_time: 2.029720s | E: 40 | q_time/E: 0.050743s | shuffle time: 0.000871s
Fri Feb 19 14:59:35 2021 | q: 19/63 | q_time: 1.919802s | E: 42 | q_time/E: 0.045710s | shuffle time: 0.000870s
Fri Feb 19 14:59:37 2021 | q: 20/63 | q_time: 2.065923s | E: 45 | q_time/E: 0.045909s | shuffle time: 0.000878s
Fri Feb 19 14:59:40 2021 | q: 21/63 | q_time: 2.861133s | E: 48 | q_time/E: 0.059607s | shuffle time: 0.000874s
Fri Feb 19 14:59:45 2021 | q: 22/63 | q_time: 5.269874s | E: 51 | q_time/E: 0.103331s | shuffle time: 0.000878s
Fri Feb 19 14:59:54 2021 | q: 23/63 | q_time: 8.924398s | E: 54 | q_time/E: 0.165267s | shuffle time: 0.000870s
Fri Feb 19 14:59:58 2021 | q: 24/63 | q_time: 3.814621s | E: 57 | q_time/E: 0.066923s | shuffle time: 0.000876s
Fri Feb 19 15:00:01 2021 | q: 25/63 | q_time: 2.861442s | E: 59 | q_time/E: 0.048499s | shuffle time: 0.000872s
Fri Feb 19 15:00:03 2021 | q: 26/63 | q_time: 2.760953s | E: 62 | q_time/E: 0.044531s | shuffle time: 0.001147s
Fri Feb 19 15:00:07 2021 | q: 27/63 | q_time: 3.539568s | E: 65 | q_time/E: 0.054455s | shuffle time: 0.000870s
Fri Feb 19 15:00:12 2021 | q: 28/63 | q_time: 4.581117s | E: 69 | q_time/E: 0.066393s | shuffle time: 0.000868s
Fri Feb 19 15:00:28 2021 | q: 29/63 | q_time: 16.008732s | E: 72 | q_time/E: 0.222343s | shuffle time: 0.000865s
Fri Feb 19 15:00:33 2021 | q: 30/63 | q_time: 5.643862s | E: 75 | q_time/E: 0.075251s | shuffle time: 0.000863s
Fri Feb 19 15:01:04 2021 | q: 31/63 | q_time: 30.750119s | E: 79 | q_time/E: 0.389242s | shuffle time: 0.000864s
Fri Feb 19 15:01:10 2021 | q: 32/63 | q_time: 6.244837s | E: 82 | q_time/E: 0.076157s | shuffle time: 0.000864s
Fri Feb 19 15:01:21 2021 | q: 33/63 | q_time: 11.090428s | E: 85 | q_time/E: 0.130476s | shuffle time: 0.000862s
Fri Feb 19 15:01:32 2021 | q: 34/63 | q_time: 10.238003s | E: 89 | q_time/E: 0.115034s | shuffle time: 0.000865s
Fri Feb 19 15:01:48 2021 | q: 35/63 | q_time: 16.291776s | E: 92 | q_time/E: 0.177085s | shuffle time: 0.000863s
Fri Feb 19 15:02:09 2021 | q: 36/63 | q_time: 20.968048s | E: 96 | q_time/E: 0.218417s | shuffle time: 0.000863s
Fri Feb 19 15:02:26 2021 | q: 37/63 | q_time: 17.021072s | E: 99 | q_time/E: 0.171930s | shuffle time: 0.000864s
Fri Feb 19 15:02:32 2021 | q: 38/63 | q_time: 6.554174s | E: 102 | q_time/E: 0.064257s | shuffle time: 0.000863s
Fri Feb 19 15:02:41 2021 | q: 39/63 | q_time: 8.642035s | E: 105 | q_time/E: 0.082305s | shuffle time: 0.000864s
Fri Feb 19 15:03:06 2021 | q: 40/63 | q_time: 24.832078s | E: 109 | q_time/E: 0.227817s | shuffle time: 0.000867s
Fri Feb 19 15:03:35 2021 | q: 41/63 | q_time: 29.047568s | E: 112 | q_time/E: 0.259353s | shuffle time: 0.000866s
Fri Feb 19 15:03:48 2021 | q: 42/63 | q_time: 12.636103s | E: 115 | q_time/E: 0.109879s | shuffle time: 0.000868s
Fri Feb 19 15:04:11 2021 | q: 43/63 | q_time: 23.656981s | E: 119 | q_time/E: 0.198798s | shuffle time: 0.000871s
Fri Feb 19 15:05:00 2021 | q: 44/63 | q_time: 48.307881s | E: 122 | q_time/E: 0.395966s | shuffle time: 0.000865s
Fri Feb 19 15:05:25 2021 | q: 45/63 | q_time: 25.224783s | E: 125 | q_time/E: 0.201798s | shuffle time: 0.000864s
Fri Feb 19 15:05:52 2021 | q: 46/63 | q_time: 27.249774s | E: 129 | q_time/E: 0.211239s | shuffle time: 0.000867s
Fri Feb 19 15:06:50 2021 | q: 47/63 | q_time: 57.723507s | E: 132 | q_time/E: 0.437299s | shuffle time: 0.000864s
