q q_max q_time hits q_time/hits k accept_counter reject_counter
0 63 0.054399 1 0.054399 1275318 1275291 0 1
1 63 0.024078 1 0.024078 1275318 1275291 0 1
2 63 0.045409 2 0.022704 2564292 1814822 749443 0
3 63 0.067827 3 0.022609 3855890 2558081 1297782 0
4 63 0.113825 5 0.022765 6606485 3770416 2836042 0
5 63 0.164668 7 0.023524 9326212 5066071 4260114 0
6 63 0.226835 9 0.025204 11999676 6387330 5612319 0
7 63 0.289164 11 0.026288 14728933 7708606 7020300 0
8 63 0.532112 14 0.038008 20881878 10370044 10511807 0
9 63 0.448167 16 0.028010 22610437 11219524 11390886 0
10 63 0.484215 18 0.026901 24427688 12215332 12212329 0
11 63 0.897816 21 0.042753 32211102 15644691 16566384 0
12 63 0.657265 23 0.028577 31729192 15590514 16138651 0
13 63 0.905585 26 0.034830 41855008 20382001 21472980 0
14 63 0.970432 29 0.033463 50474455 24323091 26151337 0
15 63 2.195135 32 0.068598 107036011 52100478 54935506 0
16 63 3.352870 35 0.095796 127108225 61917197 65191001 0
17 63 2.694875 37 0.072834 134228283 65923941 68304315 0
18 63 2.746794 40 0.068670 134612155 64948410 69663718 0
19 63 1.428438 42 0.034010 74541250 36128264 38412959 0
20 63 1.871668 45 0.041593 99128223 48114254 51013942 0
21 63 3.003774 48 0.062579 134290183 65032418 69257738 0
22 63 4.226647 51 0.082875 190193948 92287140 97906781 0
23 63 7.379606 54 0.136659 381038869 184612784 196426058 0
24 63 3.799066 57 0.066650 161144925 77438577 83706321 0
25 63 3.527328 59 0.059785 184264728 89167497 95097204 0
26 63 3.314924 62 0.053467 145037363 69591186 75446150 0
27 63 3.108545 65 0.047824 146897355 70660094 76237234 0
28 63 5.274342 69 0.076440 193142694 92024436 101118231 0
29 63 5.743998 72 0.079778 265113378 126376134 138737217 0
30 63 13.845706 75 0.184609 575426120 274164506 301261587 0
31 63 10.726236 79 0.135775 463106473 218292930 244813516 0
32 63 7.299991 82 0.089024 282476384 133335234 149141123 0
33 63 6.361280 85 0.074839 227071471 106832181 120239263 0
34 63 8.851283 89 0.099453 326795832 152974993 173820812 0
35 63 14.752720 92 0.160356 547865207 256640336 291224844 0
36 63 22.583867 96 0.235249 685977004 320164951 365812026 0
37 63 20.149546 99 0.203531 826416673 383653898 442762748 0
38 63 17.149971 102 0.168137 851840516 393476145 458364344 0
39 63 7.723764 105 0.073560 327187505 150498718 176688760 0
40 63 13.227871 109 0.121357 618774572 284073544 334701001 0
41 63 23.071230 112 0.205993 1237974286 566716604 671257655 0
42 63 11.791881 115 0.102538 583498771 265495287 318003457 0
43 63 11.770385 119 0.098911 489935268 219833392 270101849 0
44 63 38.099935 122 0.312295 1891439288 851988377 1039450884 0
45 63 35.930065 125 0.287441 1870428348 836615599 1033812722 0
46 63 28.525102 129 0.221125 1185072323 524534914 660537382 0
47 63 26.202828 132 0.198506 1119193267 492956477 626236763 0
48 63 82.876099 136 0.609383 4205307691 1833711291 2371596373 0
49 63 317.038325 139 2.280851 16236959609 7037351085 9199608497 0
50 63 44.222505 142 0.311426 1828875486 781898533 1046976926 0
51 63 11.230580 145 0.077452 512170185 217596427 294573731 0
52 63 12.066130 149 0.080981 547953081 230360197 317592857 0
53 63 19.329225 153 0.126335 758834813 315385052 443449734 0
54 63 262.686109 157 1.673160 12288082392 5070284248 7217798117 0
55 63 120.043887 161 0.745614 4925341787 2001881584 2923460176 0
56 63 83.615485 165 0.506761 3181759573 1272781133 1908978413 0
57 63 50.819148 168 0.302495 1832275542 725496787 1106778728 0
58 63 121.196994 172 0.704634 3148750258 1231972961 1916777270 0
59 63 208.036344 174 1.195611 8614586532 3335354731 5279231774 0
60 63 101.550825 177 0.573733 3337975029 1278086736 2059888266 0
61 63 106.621368 180 0.592341 3684768469 1392128574 2292639868 0
62 63 176.204531 183 0.962866 4258392753 1588663753 2669728973 0
63 63 160.853880 185 0.869480 3315909885 1227310618 2088599240 0
2256.06
