run: 85 | L: 4 | REP: 10000 | skip: 128 | workers: 27 (+1 root) | REP per worker 370 | Lattice BCC
Sun Feb 21 13:55:04 2021 | q: 0/63 | q_time: 0.027270s | E: 1 | q_time/E: 0.027270s | shuffle time: 0.000000s
Sun Feb 21 13:55:04 2021 | q: 1/63 | q_time: 0.023417s | E: 1 | q_time/E: 0.023417s | shuffle time: 0.000839s
Sun Feb 21 13:55:04 2021 | q: 2/63 | q_time: 0.045239s | E: 2 | q_time/E: 0.022619s | shuffle time: 0.000868s
Sun Feb 21 13:55:04 2021 | q: 3/63 | q_time: 0.067741s | E: 3 | q_time/E: 0.022580s | shuffle time: 0.000860s
Sun Feb 21 13:55:04 2021 | q: 4/63 | q_time: 0.118464s | E: 5 | q_time/E: 0.023693s | shuffle time: 0.000868s
Sun Feb 21 13:55:04 2021 | q: 5/63 | q_time: 0.160552s | E: 7 | q_time/E: 0.022936s | shuffle time: 0.000873s
Sun Feb 21 13:55:05 2021 | q: 6/63 | q_time: 0.214256s | E: 9 | q_time/E: 0.023806s | shuffle time: 0.000880s
Sun Feb 21 13:55:05 2021 | q: 7/63 | q_time: 0.270442s | E: 11 | q_time/E: 0.024586s | shuffle time: 0.000868s
Sun Feb 21 13:55:05 2021 | q: 8/63 | q_time: 0.451301s | E: 14 | q_time/E: 0.032236s | shuffle time: 0.000872s
Sun Feb 21 13:55:06 2021 | q: 9/63 | q_time: 0.453819s | E: 16 | q_time/E: 0.028364s | shuffle time: 0.000873s
Sun Feb 21 13:55:06 2021 | q: 10/63 | q_time: 0.481990s | E: 18 | q_time/E: 0.026777s | shuffle time: 0.000880s
Sun Feb 21 13:55:07 2021 | q: 11/63 | q_time: 0.813589s | E: 21 | q_time/E: 0.038742s | shuffle time: 0.000877s
Sun Feb 21 13:55:08 2021 | q: 12/63 | q_time: 0.599772s | E: 23 | q_time/E: 0.026077s | shuffle time: 0.000879s
Sun Feb 21 13:55:09 2021 | q: 13/63 | q_time: 0.865967s | E: 26 | q_time/E: 0.033306s | shuffle time: 0.000877s
Sun Feb 21 13:55:10 2021 | q: 14/63 | q_time: 1.277514s | E: 29 | q_time/E: 0.044052s | shuffle time: 0.000879s
Sun Feb 21 13:55:12 2021 | q: 15/63 | q_time: 1.813235s | E: 32 | q_time/E: 0.056664s | shuffle time: 0.000874s
Sun Feb 21 13:55:19 2021 | q: 16/63 | q_time: 7.233512s | E: 35 | q_time/E: 0.206672s | shuffle time: 0.000874s
Sun Feb 21 13:55:21 2021 | q: 17/63 | q_time: 1.988478s | E: 37 | q_time/E: 0.053743s | shuffle time: 0.000879s
Sun Feb 21 13:55:23 2021 | q: 18/63 | q_time: 2.114835s | E: 40 | q_time/E: 0.052871s | shuffle time: 0.000878s
Sun Feb 21 13:55:25 2021 | q: 19/63 | q_time: 2.534672s | E: 42 | q_time/E: 0.060349s | shuffle time: 0.000878s
Sun Feb 21 13:55:28 2021 | q: 20/63 | q_time: 2.705774s | E: 45 | q_time/E: 0.060128s | shuffle time: 0.000878s
Sun Feb 21 13:55:36 2021 | q: 21/63 | q_time: 7.562978s | E: 48 | q_time/E: 0.157562s | shuffle time: 0.000879s
Sun Feb 21 13:55:45 2021 | q: 22/63 | q_time: 9.634545s | E: 51 | q_time/E: 0.188913s | shuffle time: 0.000879s
Sun Feb 21 13:55:48 2021 | q: 23/63 | q_time: 2.707710s | E: 54 | q_time/E: 0.050143s | shuffle time: 0.000885s
Sun Feb 21 13:55:51 2021 | q: 24/63 | q_time: 3.301046s | E: 57 | q_time/E: 0.057913s | shuffle time: 0.000874s
Sun Feb 21 13:55:58 2021 | q: 25/63 | q_time: 6.426433s | E: 59 | q_time/E: 0.108923s | shuffle time: 0.000873s
Sun Feb 21 13:56:03 2021 | q: 26/63 | q_time: 4.672369s | E: 62 | q_time/E: 0.075361s | shuffle time: 0.000873s
