run: 8 | L: 4 | REP: 10000 | skip: 128 | Dim: 3 | LATTICE: BCC
Tue Jan 26 16:43:42 2021 | q: 0/63 | q_time: 0.273715s | E: 1 | q_time/E: 0.273715s | shuffle time: 0.000000s
Tue Jan 26 16:43:42 2021 | q: 1/63 | q_time: 0.270769s | E: 1 | q_time/E: 0.270769s | shuffle time: 0.000238s
Tue Jan 26 16:43:43 2021 | q: 2/63 | q_time: 0.556487s | E: 2 | q_time/E: 0.278243s | shuffle time: 0.000259s
Tue Jan 26 16:43:43 2021 | q: 3/63 | q_time: 0.844327s | E: 3 | q_time/E: 0.281442s | shuffle time: 0.000255s
Tue Jan 26 16:43:45 2021 | q: 4/63 | q_time: 1.436684s | E: 5 | q_time/E: 0.287337s | shuffle time: 0.000260s
Tue Jan 26 16:43:47 2021 | q: 5/63 | q_time: 2.033474s | E: 7 | q_time/E: 0.290496s | shuffle time: 0.000265s
Tue Jan 26 16:43:50 2021 | q: 6/63 | q_time: 2.613974s | E: 9 | q_time/E: 0.290442s | shuffle time: 0.000268s
Tue Jan 26 16:43:53 2021 | q: 7/63 | q_time: 3.257038s | E: 11 | q_time/E: 0.296094s | shuffle time: 0.000262s
Tue Jan 26 16:43:57 2021 | q: 8/63 | q_time: 4.507384s | E: 14 | q_time/E: 0.321956s | shuffle time: 0.000263s
Tue Jan 26 16:44:02 2021 | q: 9/63 | q_time: 4.718358s | E: 16 | q_time/E: 0.294897s | shuffle time: 0.000265s
Tue Jan 26 16:44:07 2021 | q: 10/63 | q_time: 5.319568s | E: 18 | q_time/E: 0.295532s | shuffle time: 0.000270s
Tue Jan 26 16:44:14 2021 | q: 11/63 | q_time: 6.663972s | E: 21 | q_time/E: 0.317332s | shuffle time: 0.000269s
Tue Jan 26 16:44:21 2021 | q: 12/63 | q_time: 7.056817s | E: 23 | q_time/E: 0.306818s | shuffle time: 0.000268s
Tue Jan 26 16:44:30 2021 | q: 13/63 | q_time: 8.562858s | E: 26 | q_time/E: 0.329341s | shuffle time: 0.000269s
Tue Jan 26 16:44:39 2021 | q: 14/63 | q_time: 8.925002s | E: 29 | q_time/E: 0.307759s | shuffle time: 0.000267s
Tue Jan 26 16:44:49 2021 | q: 15/63 | q_time: 10.159334s | E: 32 | q_time/E: 0.317479s | shuffle time: 0.000264s
Tue Jan 26 16:45:07 2021 | q: 16/63 | q_time: 18.199173s | E: 35 | q_time/E: 0.519976s | shuffle time: 0.000265s
Tue Jan 26 16:45:43 2021 | q: 17/63 | q_time: 36.161726s | E: 37 | q_time/E: 0.977344s | shuffle time: 0.000264s
Tue Jan 26 16:46:19 2021 | q: 18/63 | q_time: 36.206026s | E: 40 | q_time/E: 0.905151s | shuffle time: 0.000267s
Tue Jan 26 16:46:37 2021 | q: 19/63 | q_time: 17.794635s | E: 42 | q_time/E: 0.423682s | shuffle time: 0.000268s
