run: 2 | L: 4 | REP: 10000 | skip: 128 | Dim: 3 | LATTICE: HCP
Sun Jan 24 20:32:32 2021 | q: 0/63 | q_time: 0.382492s | E: 1 | q_time/E: 0.382492s | shuffle time: 0.000000s
Sun Jan 24 20:32:32 2021 | q: 1/63 | q_time: 0.379894s | E: 1 | q_time/E: 0.379894s | shuffle time: 0.000259s
Sun Jan 24 20:32:33 2021 | q: 2/63 | q_time: 0.781519s | E: 2 | q_time/E: 0.390759s | shuffle time: 0.000274s
Sun Jan 24 20:32:35 2021 | q: 3/63 | q_time: 1.576576s | E: 4 | q_time/E: 0.394144s | shuffle time: 0.000269s
Sun Jan 24 20:32:37 2021 | q: 4/63 | q_time: 2.811011s | E: 7 | q_time/E: 0.401573s | shuffle time: 0.000275s
Sun Jan 24 20:32:41 2021 | q: 5/63 | q_time: 4.069921s | E: 10 | q_time/E: 0.406992s | shuffle time: 0.000276s
Sun Jan 24 20:32:47 2021 | q: 6/63 | q_time: 5.503634s | E: 13 | q_time/E: 0.423356s | shuffle time: 0.000278s
Sun Jan 24 20:32:53 2021 | q: 7/63 | q_time: 6.509127s | E: 16 | q_time/E: 0.406820s | shuffle time: 0.000276s
Sun Jan 24 20:33:01 2021 | q: 8/63 | q_time: 7.787817s | E: 19 | q_time/E: 0.409885s | shuffle time: 0.000276s
Sun Jan 24 20:33:14 2021 | q: 9/63 | q_time: 12.956233s | E: 22 | q_time/E: 0.588920s | shuffle time: 0.000280s
Sun Jan 24 20:33:26 2021 | q: 10/63 | q_time: 11.595008s | E: 26 | q_time/E: 0.445962s | shuffle time: 0.000280s
Sun Jan 24 20:33:40 2021 | q: 11/63 | q_time: 14.597773s | E: 30 | q_time/E: 0.486592s | shuffle time: 0.000280s
Sun Jan 24 20:33:55 2021 | q: 12/63 | q_time: 15.100529s | E: 34 | q_time/E: 0.444133s | shuffle time: 0.000285s
Sun Jan 24 20:34:16 2021 | q: 13/63 | q_time: 20.438997s | E: 37 | q_time/E: 0.552405s | shuffle time: 0.000285s
Sun Jan 24 20:34:36 2021 | q: 14/63 | q_time: 20.007089s | E: 42 | q_time/E: 0.476359s | shuffle time: 0.000284s
Sun Jan 24 20:34:59 2021 | q: 15/63 | q_time: 23.107469s | E: 47 | q_time/E: 0.491648s | shuffle time: 0.000281s
Sun Jan 24 20:35:23 2021 | q: 16/63 | q_time: 24.185134s | E: 51 | q_time/E: 0.474218s | shuffle time: 0.000280s
Sun Jan 24 20:35:51 2021 | q: 17/63 | q_time: 27.396668s | E: 56 | q_time/E: 0.489226s | shuffle time: 0.000284s
Sun Jan 24 20:36:29 2021 | q: 18/63 | q_time: 38.484860s | E: 60 | q_time/E: 0.641414s | shuffle time: 0.000283s
Sun Jan 24 20:36:57 2021 | q: 19/63 | q_time: 28.375735s | E: 64 | q_time/E: 0.443371s | shuffle time: 0.000355s
Sun Jan 24 20:37:28 2021 | q: 20/63 | q_time: 30.333398s | E: 69 | q_time/E: 0.439614s | shuffle time: 0.000286s
Sun Jan 24 20:38:09 2021 | q: 21/63 | q_time: 41.424428s | E: 74 | q_time/E: 0.559790s | shuffle time: 0.000283s
Sun Jan 24 20:38:46 2021 | q: 22/63 | q_time: 37.040881s | E: 80 | q_time/E: 0.463011s | shuffle time: 0.000287s
Sun Jan 24 20:39:32 2021 | q: 23/63 | q_time: 45.305165s | E: 85 | q_time/E: 0.533002s | shuffle time: 0.000287s
