q q_max q_time hits q_time/hits k accept_counter reject_counter
0 63 0.382622 1 0.382622 1279874 1279873 0
1 63 0.380477 1 0.380477 1279874 1279873 0
2 63 0.781679 2 0.390840 2562500 1865163 697336
3 63 1.583091 4 0.395773 5138941 3057847 2081093
4 63 2.791979 7 0.398854 8981140 4674715 4306424
5 63 4.137980 10 0.413798 13253074 6555176 6697897
6 63 5.399877 13 0.415375 17231166 8262256 8968909
7 63 6.618434 16 0.413652 21062112 10007235 11054876
8 63 7.838906 19 0.412574 24832964 11742636 13090327
9 63 9.383985 22 0.426545 29666446 14066133 15600312
10 63 11.154084 26 0.429003 35091218 16160589 18930628
11 63 14.519115 30 0.483970 45803845 20792310 25011534
12 63 17.953815 34 0.528053 56991069 25468242 31522826
13 63 15.288955 37 0.413215 48082286 21458128 26624157
14 63 18.986771 42 0.452066 60334257 26368255 33966001
15 63 19.941947 47 0.424297 63567255 27082954 36484300
16 63 23.009997 51 0.451176 72756305 31030720 41725584
17 63 24.861414 56 0.443954 79841276 33394500 46446775
18 63 27.667837 60 0.461131 89362348 37379426 51982921
19 63 29.846236 64 0.466347 95469614 39915502 55554111
20 63 36.200956 69 0.524652 115538205 47602340 67935864
21 63 33.748064 74 0.456055 108665984 44265953 64400030
22 63 39.624278 80 0.495303 128048028 51032747 77015280
23 63 37.045980 85 0.435835 119922955 47655082 72267872
24 63 38.076788 91 0.418426 123918712 48122315 75796396
25 63 45.116149 97 0.465115 148153361 56881015 91272345
26 63 50.292591 103 0.488278 166358829 62955659 103403169
27 63 45.582418 108 0.422059 150316761 56639957 93676803
28 63 49.315001 115 0.428826 164059134 60734844 103324289
29 63 50.319377 121 0.415863 168037210 61392334 106644875
30 63 52.623974 126 0.417651 176710028 64228890 112481137
31 63 55.671484 131 0.424973 187313557 67539426 119774130
32 63 66.706401 137 0.486908 226198087 81731074 144467012
33 63 57.426318 140 0.410188 194251742 69907475 124344266
34 63 59.504615 143 0.416116 201348835 73070525 128278309
35 63 67.920437 145 0.468417 231055360 85452203 145603156
36 63 60.408495 146 0.413757 205008823 76444860 128563962
37 63 60.545091 147 0.411871 205383652 77707554 127676097
38 63 61.305945 148 0.414229 207370357 79216850 128153506
39 63 66.864445 150 0.445763 227860099 87757100 140102998
40 63 75.826073 152 0.498856 258952493 100652191 158300301
41 63 67.066535 154 0.435497 227720963 88185324 139535638
42 63 65.808894 156 0.421852 223776151 87212250 136563900
43 63 67.613731 159 0.425244 231403496 89703055 141700440
44 63 66.943476 162 0.413231 229707644 88812302 140895341
45 63 67.255094 165 0.407607 231474984 88788721 142686262
46 63 70.979106 167 0.425025 245117900 94623954 150493945
47 63 90.142304 169 0.533386 313900386 121534688 192365697
48 63 81.305527 171 0.475471 282117056 108579554 173537501
49 63 84.131062 173 0.486307 292881512 112908533 179972978
50 63 80.718246 175 0.461247 281161550 107975789 173185760
51 63 78.543205 177 0.443747 273836300 105476447 168359852
52 63 83.374874 178 0.468398 292534599 112506320 180028278
53 63 76.917679 179 0.429708 269583861 103980623 165603237
54 63 78.920653 180 0.438448 276977445 107250038 169727406
55 63 76.220378 182 0.418793 268187976 103178051 165009924
56 63 104.036343 184 0.565415 370101886 142826368 227275517
57 63 83.997502 186 0.451599 297129124 114162816 182966307
58 63 81.603539 188 0.434061 289377294 109999495 179377798
59 63 80.573293 191 0.421850 286367921 108130610 178237310
60 63 88.839976 194 0.457938 317243250 118408396 198834853
61 63 90.565147 197 0.459722 324999497 120352663 204646833
62 63 92.254934 199 0.463593 332078941 121627070 210451870
63 63 84.173077 200 0.420865 302197414 109942130 192255283
3194.64
