q q_max q_time hits q_time/hits k accept_counter reject_counter
0 63 0.601353 1 0.601353 12796830 12796815 0 1
1 63 0.599470 1 0.599470 12796830 12796815 0 1
2 63 1.204212 2 0.602106 25609567 18635146 6974406 0
3 63 2.458467 4 0.614617 51316332 30482265 20834052 0
4 63 4.382590 7 0.626084 90593338 47259426 43333897 0
5 63 6.528278 10 0.652828 132071819 65391164 66680640 0
6 63 9.106821 13 0.700525 179568160 86093794 93474351 0
7 63 10.315795 16 0.644737 211167170 100222370 110944785 0
8 63 12.228885 19 0.643626 247434996 116544542 130890439 0
9 63 14.012278 22 0.636922 285416233 134686742 150729476 0
10 63 17.085501 26 0.657135 344249931 157996537 186253379 0
11 63 22.358586 30 0.745286 439812216 198981521 240830680 0
12 63 29.646300 34 0.871950 545101856 243124491 301977350 0
13 63 26.156757 37 0.706939 516080012 231529510 284550487 0
14 63 30.950060 42 0.736906 606582231 264938010 341644206 0
15 63 36.509966 47 0.776808 752769512 323054022 429715475 0
16 63 37.085232 51 0.727161 743489797 316592753 426897029 0
17 63 39.711903 56 0.709141 834941549 350956962 483984572 0
18 63 43.457148 60 0.724286 887371609 371757752 515613842 0
19 63 47.794248 64 0.746785 958522517 401079106 557443396 0
20 63 51.052320 69 0.739889 1032869217 425898610 606970592 0
21 63 52.622573 74 0.711116 1064240581 433454363 630786203 0
22 63 65.515737 80 0.818947 1231445953 491760903 739685035 0
23 63 58.903340 85 0.692980 1207975312 479366525 728608772 0
24 63 60.480364 91 0.664619 1281014933 499233096 781781822 0
25 63 68.253645 97 0.703646 1393111152 534549776 858561361 0
26 63 80.056434 103 0.777247 1584228831 600997394 983231422 0
27 63 69.161373 108 0.640383 1509266262 568938114 940328133 0
28 63 84.472049 115 0.734540 1684619700 623909523 1060710162 0
29 63 80.581253 121 0.665961 1730163552 632170172 1097993365 0
30 63 83.583795 126 0.663363 1810563270 658633780 1151929475 0
31 63 92.055600 131 0.702715 1897669926 690393792 1207276119 0
32 63 105.217152 137 0.768008 2152718940 773837509 1378881416 0
33 63 98.708899 140 0.705064 2082517127 754625261 1327891851 0
34 63 100.226909 143 0.700887 2117212685 770038510 1347174160 0
35 63 97.361222 145 0.671457 2129330470 784100044 1345230411 0
36 63 97.389777 146 0.667053 2151884856 805192453 1346692388 0
37 63 100.637922 147 0.684612 2174148599 822214010 1351934574 0
38 63 103.373303 148 0.698468 2167528260 828114269 1339413976 0
39 63 101.841414 150 0.678943 2197344690 845002962 1352341713 0
40 63 129.093331 152 0.849298 2633836565 1016532738 1617303812 0
41 63 110.506976 154 0.717578 2271269066 879852325 1391416726 0
42 63 108.474705 156 0.695351 2287810418 890046528 1397763875 0
43 63 111.612258 159 0.701964 2411718357 936070560 1475647782 0
44 63 115.872137 162 0.715260 2481325387 958105213 1523220159 0
45 63 116.102630 165 0.703652 2461805811 948197973 1513607823 0
46 63 116.068527 167 0.695021 2533521802 977271135 1556250652 0
47 63 120.599919 169 0.713609 2561177292 985665690 1575511587 0
48 63 126.104296 171 0.737452 2667057260 1029542624 1637514621 0
49 63 127.624625 173 0.737715 2729075918 1055205477 1673870426 0
50 63 137.576359 175 0.786151 2890922515 1116078188 1774844312 0
51 63 126.686513 177 0.715743 2779992300 1070444022 1709548263 0
52 63 136.761793 178 0.768325 2863156797 1106459801 1756696981 0
53 63 136.896574 179 0.764785 2877508681 1111891866 1765616800 0
54 63 131.458336 180 0.730324 2822971965 1091959338 1731012612 0
55 63 132.908137 182 0.730264 2880261326 1110318737 1769942574 0
56 63 147.441124 184 0.801310 3199771695 1230464995 1969306685 0
57 63 138.131840 186 0.742644 2894796882 1108147974 1786648893 0
58 63 132.076723 188 0.702536 2874010564 1094117523 1779893026 0
59 63 130.628642 191 0.683920 2908712279 1097479822 1811232442 0
60 63 140.328619 194 0.723343 3062506204 1142565845 1919940344 0
61 63 137.439691 197 0.697663 3025128898 1117774686 1907354197 0
62 63 150.318311 199 0.755368 3197560667 1173892463 2023668189 0
63 63 140.644266 200 0.703221 3189255665 1167844405 2021411245 0
5145.09
