run: 129 | L: 4 | REP: 10000 | skip: 64 | Dim: 3 | LATTICE: Hex
Mon Jan 25 00:10:56 2021 | q: 0/31 | q_time: 0.082558s | E: 1 | q_time/E: 0.082558s | shuffle time: 0.000000s
Mon Jan 25 00:10:56 2021 | q: 1/31 | q_time: 0.079988s | E: 1 | q_time/E: 0.079988s | shuffle time: 0.000214s
Mon Jan 25 00:10:56 2021 | q: 2/31 | q_time: 0.169633s | E: 2 | q_time/E: 0.084817s | shuffle time: 0.000239s
Mon Jan 25 00:10:56 2021 | q: 3/31 | q_time: 0.346242s | E: 4 | q_time/E: 0.086560s | shuffle time: 0.000231s
Mon Jan 25 00:10:57 2021 | q: 4/31 | q_time: 0.534019s | E: 6 | q_time/E: 0.089003s | shuffle time: 0.000242s
Mon Jan 25 00:10:57 2021 | q: 5/31 | q_time: 0.720526s | E: 8 | q_time/E: 0.090066s | shuffle time: 0.000246s
Mon Jan 25 00:10:58 2021 | q: 6/31 | q_time: 0.925905s | E: 10 | q_time/E: 0.092590s | shuffle time: 0.000246s
Mon Jan 25 00:11:00 2021 | q: 7/31 | q_time: 1.217064s | E: 13 | q_time/E: 0.093620s | shuffle time: 0.000245s
Mon Jan 25 00:11:01 2021 | q: 8/31 | q_time: 1.495742s | E: 16 | q_time/E: 0.093484s | shuffle time: 0.000248s
Mon Jan 25 00:11:03 2021 | q: 9/31 | q_time: 1.752849s | E: 19 | q_time/E: 0.092255s | shuffle time: 0.000249s
Mon Jan 25 00:11:05 2021 | q: 10/31 | q_time: 2.061755s | E: 22 | q_time/E: 0.093716s | shuffle time: 0.000252s
Mon Jan 25 00:11:07 2021 | q: 11/31 | q_time: 2.480543s | E: 26 | q_time/E: 0.095406s | shuffle time: 0.000254s
Mon Jan 25 00:11:10 2021 | q: 12/31 | q_time: 2.790521s | E: 30 | q_time/E: 0.093017s | shuffle time: 0.000254s
Mon Jan 25 00:11:13 2021 | q: 13/31 | q_time: 3.113636s | E: 34 | q_time/E: 0.091578s | shuffle time: 0.000255s
Mon Jan 25 00:11:17 2021 | q: 14/31 | q_time: 3.400854s | E: 37 | q_time/E: 0.091915s | shuffle time: 0.000253s
Mon Jan 25 00:11:20 2021 | q: 15/31 | q_time: 3.770924s | E: 40 | q_time/E: 0.094273s | shuffle time: 0.000252s
Mon Jan 25 00:11:25 2021 | q: 16/31 | q_time: 4.258830s | E: 44 | q_time/E: 0.096792s | shuffle time: 0.000251s
Mon Jan 25 00:11:29 2021 | q: 17/31 | q_time: 4.609623s | E: 46 | q_time/E: 0.100209s | shuffle time: 0.000254s
Mon Jan 25 00:11:35 2021 | q: 18/31 | q_time: 5.932962s | E: 49 | q_time/E: 0.121081s | shuffle time: 0.000253s
Mon Jan 25 00:11:40 2021 | q: 19/31 | q_time: 4.508425s | E: 50 | q_time/E: 0.090168s | shuffle time: 0.000254s
Mon Jan 25 00:11:45 2021 | q: 20/31 | q_time: 5.417621s | E: 52 | q_time/E: 0.104185s | shuffle time: 0.000255s
Mon Jan 25 00:11:50 2021 | q: 21/31 | q_time: 4.816157s | E: 53 | q_time/E: 0.090871s | shuffle time: 0.000257s
Mon Jan 25 00:11:55 2021 | q: 22/31 | q_time: 5.411185s | E: 55 | q_time/E: 0.098385s | shuffle time: 0.000259s
Mon Jan 25 00:12:01 2021 | q: 23/31 | q_time: 5.647829s | E: 57 | q_time/E: 0.099085s | shuffle time: 0.000258s
Mon Jan 25 00:12:07 2021 | q: 24/31 | q_time: 5.585709s | E: 60 | q_time/E: 0.093095s | shuffle time: 0.000257s
Mon Jan 25 00:12:12 2021 | q: 25/31 | q_time: 5.654099s | E: 61 | q_time/E: 0.092690s | shuffle time: 0.000255s
Mon Jan 25 00:12:18 2021 | q: 26/31 | q_time: 5.657826s | E: 62 | q_time/E: 0.091255s | shuffle time: 0.000254s
Mon Jan 25 00:12:24 2021 | q: 27/31 | q_time: 5.951817s | E: 64 | q_time/E: 0.092997s | shuffle time: 0.000253s
Mon Jan 25 00:12:35 2021 | q: 28/31 | q_time: 10.805275s | E: 67 | q_time/E: 0.161273s | shuffle time: 0.000254s
Mon Jan 25 00:12:41 2021 | q: 29/31 | q_time: 6.297286s | E: 69 | q_time/E: 0.091265s | shuffle time: 0.000250s
Mon Jan 25 00:12:47 2021 | q: 30/31 | q_time: 6.261254s | E: 70 | q_time/E: 0.089446s | shuffle time: 0.000249s
Mon Jan 25 00:12:53 2021 | q: 31/31 | q_time: 6.185387s | E: 71 | q_time/E: 0.087118s | shuffle time: 0.000247s
