q q_max q_time hits q_time/hits k accept_counter reject_counter
0 31 0.083219 1 0.083219 639938 639937 0
1 31 0.079987 1 0.079987 639938 639937 0
2 31 0.169452 2 0.084726 1280503 957184 323318
3 31 0.344705 4 0.086176 2570782 1589333 981448
4 31 0.531516 6 0.088586 3851994 2327999 1523994
5 31 0.722402 8 0.090300 5130035 2974695 2155339
6 31 0.916731 10 0.091673 6450347 3725469 2724877
7 31 1.191064 13 0.091620 8354869 4511382 3843486
8 31 1.484429 16 0.092777 10374533 5374985 4999547
9 31 1.776342 19 0.093492 12354262 6266946 6087315
10 31 2.093998 22 0.095182 14526346 7252995 7273350
11 31 2.447218 26 0.094124 17051237 8104761 8946475
12 31 2.819612 30 0.093987 19736382 9070526 10665855
13 31 3.182431 34 0.093601 22405959 9989579 12416379
14 31 3.572082 37 0.096543 25335627 11231031 14104595
15 31 3.981109 40 0.099528 28497293 12620919 15876373
16 31 4.547813 44 0.103359 33032931 14246565 18786365
17 31 4.367130 46 0.094938 31311244 13506056 17805187
18 31 6.894745 49 0.140709 51464918 22168858 29296059
19 31 5.166091 50 0.103322 37845115 16445222 21399892
20 31 5.802184 52 0.111580 43016243 18718320 24297922
21 31 5.326936 53 0.100508 39333631 17198367 22135263
22 31 6.929412 55 0.125989 52180218 22751169 29429048
23 31 5.095436 57 0.089394 37679252 16281217 21398034
24 31 5.796153 60 0.096603 43491990 18418149 25073840
25 31 5.573401 61 0.091367 40167427 17073734 23093692
26 31 5.633735 62 0.090867 41038930 17498674 23540255
27 31 5.678874 64 0.088732 41593842 17609378 23984463
28 31 12.003056 67 0.179150 91574827 38123041 53451785
29 31 6.374962 69 0.092391 47374231 19416240 27957990
30 31 6.445783 70 0.092083 48106246 19610256 28495989
31 31 6.241611 71 0.087910 47116573 18867723 28248849
123.274
