q q_max q_time hits q_time/hits k accept_counter reject_counter
0 31 0.440517 1 0.440517 6399750 6399747 0 1
1 31 0.455647 1 0.455647 6399750 6399747 0 1
2 31 0.932451 2 0.466225 12804642 9574757 3229882 0
3 31 1.896881 4 0.474220 25735570 16000699 9734868 0
4 31 2.889656 6 0.481609 38525631 23276270 15249358 0
5 31 3.869691 8 0.483711 51385187 29870828 21514356 0
6 31 4.922592 10 0.492259 64290829 37087585 27203241 0
7 31 6.507067 13 0.500544 84175033 45650813 38524217 0
8 31 8.016908 16 0.501057 103803738 53975153 49828582 0
9 31 9.451892 19 0.497468 122901273 62391772 60509498 0
10 31 10.974291 22 0.498831 142398617 70953070 71445544 0
11 31 13.285965 26 0.510999 171062642 81542481 89520158 0
12 31 15.433931 30 0.514464 196300932 90186868 106114061 0
13 31 17.321667 34 0.509461 223514091 99773527 123740561 0
14 31 18.670119 37 0.504598 243136290 107817721 135318566 0
15 31 20.067560 40 0.501689 265059541 116623924 148435614 0
16 31 23.701594 44 0.538673 315827900 135274375 180553522 0
17 31 23.342629 46 0.507448 308559882 133509701 175050178 0
18 31 31.558175 49 0.644044 412601671 177436311 235165357 0
19 31 25.981544 50 0.519631 342181792 149020249 193161540 0
20 31 34.638225 52 0.666120 467747820 203263676 264484141 0
21 31 28.070023 53 0.529623 365532577 160028606 205503968 0
22 31 34.940829 55 0.635288 455376343 198757176 256619164 0
23 31 29.406983 57 0.515912 386980147 167642233 219337911 0
24 31 33.235419 60 0.553924 440763533 186128295 254635235 0
25 31 30.707010 61 0.503394 409499169 174384082 235115084 0
26 31 31.701660 62 0.511317 407931362 174495758 233435601 0
27 31 32.697418 64 0.510897 423390276 179644803 243745470 0
28 31 71.985701 67 1.074413 879206351 365950997 513255351 0
29 31 34.699162 69 0.502886 453030581 185002127 268028451 0
30 31 35.952211 70 0.513603 474306042 192711052 281594987 0
31 31 34.485511 71 0.485711 466513393 186793023 279720367 0
672.274
