q q_max q_time hits q_time/hits k accept_counter reject_counter
0 31 0.243596 1 0.243596 639938 639937 0
1 31 0.249723 1 0.249723 639938 639937 0
2 31 0.728529 2 0.364264 1281787 930133 351653
3 31 1.532067 3 0.510689 1924990 1349447 575542
4 31 2.141060 5 0.428212 3225628 1969405 1256222
5 31 2.094087 6 0.349015 3864228 2499290 1364937
6 31 2.079932 8 0.259991 5283588 3215297 2068290
7 31 1.730292 10 0.173029 6420738 3751192 2669545
8 31 1.545356 12 0.128780 7711960 4399608 3312351
9 31 1.411793 14 0.100842 9218679 5201652 4017026
10 31 1.270831 16 0.079427 10512512 5862675 4649836
11 31 1.238603 18 0.068811 11631322 6433987 5197334
12 31 1.373993 21 0.065428 13681436 7209838 6471597
13 31 1.512149 23 0.065746 14982104 7920635 7061468
14 31 1.846955 26 0.071037 18461789 9526984 8934804
15 31 1.950349 28 0.069655 19435784 10006170 9429613
16 31 2.353934 31 0.075933 23673407 11955298 11718108
17 31 2.245168 34 0.066034 21957414 10760436 11196977
18 31 2.420797 36 0.067244 23548587 11607705 11940881
19 31 2.556907 38 0.067287 24838535 12211703 12626831
20 31 2.913907 41 0.071071 28452882 13757029 14695852
21 31 2.920482 43 0.067918 28220240 13566903 14653336
22 31 3.386234 46 0.073614 33092620 15652322 17440297
23 31 4.071719 49 0.083096 32646853 15054188 17592664
24 31 3.620442 52 0.069624 35617374 16025778 19591595
25 31 3.842501 55 0.069864 37807271 16732409 21074861
26 31 4.095087 58 0.070605 38724243 16664728 22059514
27 31 4.043454 61 0.066286 40307340 16952641 23354698
28 31 4.708177 65 0.072433 42671918 17243957 25427960
29 31 4.582119 67 0.068390 44123423 17533652 26589770
30 31 4.596939 69 0.066622 45310498 17651689 27658808
31 31 4.746483 71 0.066852 47249706 18143210 29106495
80.0542
