run: 758 | L: 4 | REP: 10000 | skip: 64 | Dim: 3 | LATTICE: SC
Mon Jan 25 12:38:54 2021 | q: 0/31 | q_time: 0.056075s | E: 1 | q_time/E: 0.056075s | shuffle time: 0.000000s
Mon Jan 25 12:38:54 2021 | q: 1/31 | q_time: 0.051856s | E: 1 | q_time/E: 0.051856s | shuffle time: 0.000208s
Mon Jan 25 12:38:54 2021 | q: 2/31 | q_time: 0.113170s | E: 2 | q_time/E: 0.056585s | shuffle time: 0.000232s
Mon Jan 25 12:38:54 2021 | q: 3/31 | q_time: 0.176372s | E: 3 | q_time/E: 0.058791s | shuffle time: 0.000226s
Mon Jan 25 12:38:55 2021 | q: 4/31 | q_time: 0.305983s | E: 5 | q_time/E: 0.061197s | shuffle time: 0.000236s
Mon Jan 25 12:38:55 2021 | q: 5/31 | q_time: 0.374310s | E: 6 | q_time/E: 0.062385s | shuffle time: 0.000241s
Mon Jan 25 12:38:56 2021 | q: 6/31 | q_time: 0.506440s | E: 8 | q_time/E: 0.063305s | shuffle time: 0.000241s
Mon Jan 25 12:38:56 2021 | q: 7/31 | q_time: 0.643718s | E: 10 | q_time/E: 0.064372s | shuffle time: 0.000237s
Mon Jan 25 12:38:57 2021 | q: 8/31 | q_time: 0.823425s | E: 12 | q_time/E: 0.068619s | shuffle time: 0.000245s
Mon Jan 25 12:38:58 2021 | q: 9/31 | q_time: 0.929471s | E: 14 | q_time/E: 0.066391s | shuffle time: 0.000246s
Mon Jan 25 12:38:59 2021 | q: 10/31 | q_time: 1.064856s | E: 16 | q_time/E: 0.066554s | shuffle time: 0.000248s
Mon Jan 25 12:39:00 2021 | q: 11/31 | q_time: 1.207294s | E: 18 | q_time/E: 0.067072s | shuffle time: 0.000248s
Mon Jan 25 12:39:02 2021 | q: 12/31 | q_time: 1.440491s | E: 21 | q_time/E: 0.068595s | shuffle time: 0.000248s
Mon Jan 25 12:39:03 2021 | q: 13/31 | q_time: 1.512721s | E: 23 | q_time/E: 0.065770s | shuffle time: 0.000251s
Mon Jan 25 12:39:05 2021 | q: 14/31 | q_time: 1.757204s | E: 26 | q_time/E: 0.067585s | shuffle time: 0.000254s
Mon Jan 25 12:39:07 2021 | q: 15/31 | q_time: 1.852308s | E: 28 | q_time/E: 0.066154s | shuffle time: 0.000245s
Mon Jan 25 12:39:09 2021 | q: 16/31 | q_time: 2.253104s | E: 31 | q_time/E: 0.072681s | shuffle time: 0.000245s
Mon Jan 25 12:39:11 2021 | q: 17/31 | q_time: 2.327745s | E: 34 | q_time/E: 0.068463s | shuffle time: 0.000249s
Mon Jan 25 12:39:14 2021 | q: 18/31 | q_time: 2.585353s | E: 36 | q_time/E: 0.071815s | shuffle time: 0.000251s
Mon Jan 25 12:39:17 2021 | q: 19/31 | q_time: 2.682855s | E: 38 | q_time/E: 0.070601s | shuffle time: 0.000253s
Mon Jan 25 12:39:20 2021 | q: 20/31 | q_time: 2.842788s | E: 41 | q_time/E: 0.069336s | shuffle time: 0.000251s
Mon Jan 25 12:39:23 2021 | q: 21/31 | q_time: 2.999962s | E: 43 | q_time/E: 0.069767s | shuffle time: 0.000253s
Mon Jan 25 12:39:26 2021 | q: 22/31 | q_time: 3.123893s | E: 46 | q_time/E: 0.067911s | shuffle time: 0.000253s
Mon Jan 25 12:39:29 2021 | q: 23/31 | q_time: 3.315698s | E: 49 | q_time/E: 0.067667s | shuffle time: 0.000254s
Mon Jan 25 12:39:33 2021 | q: 24/31 | q_time: 3.666790s | E: 52 | q_time/E: 0.070515s | shuffle time: 0.000254s
Mon Jan 25 12:39:36 2021 | q: 25/31 | q_time: 3.726249s | E: 55 | q_time/E: 0.067750s | shuffle time: 0.000252s
Mon Jan 25 12:39:40 2021 | q: 26/31 | q_time: 3.893958s | E: 58 | q_time/E: 0.067137s | shuffle time: 0.000252s
Mon Jan 25 12:39:44 2021 | q: 27/31 | q_time: 4.014465s | E: 61 | q_time/E: 0.065811s | shuffle time: 0.000251s
Mon Jan 25 12:39:49 2021 | q: 28/31 | q_time: 4.602901s | E: 65 | q_time/E: 0.070814s | shuffle time: 0.000249s
Mon Jan 25 12:39:53 2021 | q: 29/31 | q_time: 4.599194s | E: 67 | q_time/E: 0.068645s | shuffle time: 0.000248s
Mon Jan 25 12:39:58 2021 | q: 30/31 | q_time: 4.749838s | E: 69 | q_time/E: 0.068838s | shuffle time: 0.000246s
Mon Jan 25 12:40:03 2021 | q: 31/31 | q_time: 4.809828s | E: 71 | q_time/E: 0.067744s | shuffle time: 0.000244s
