q q_max q_time hits q_time/hits k accept_counter reject_counter
0 31 0.073245 1 0.073245 6398430 6398415 0 1
1 31 0.076304 1 0.076304 6398430 6398415 0 1
2 31 0.153967 2 0.076983 12805493 9293056 3512422 0
3 31 0.228692 3 0.076231 19232097 13462763 5769319 0
4 31 0.390813 5 0.078163 32266035 19716162 12549858 0
5 31 0.563346 6 0.093891 38557613 25020489 13537109 0
6 31 0.807192 8 0.100899 51671456 31308845 20362596 0
7 31 0.984280 10 0.098428 65683616 38501123 27182478 0
8 31 1.080613 12 0.090051 80448616 46166854 34281747 0
9 31 1.386215 14 0.099015 91465150 51598746 39866389 0
10 31 1.558863 16 0.097429 104614543 58329980 46284548 0
11 31 1.945792 18 0.108100 116384042 64245904 52138123 0
12 31 1.982434 21 0.094402 137754735 72563382 65191338 0
13 31 1.835976 23 0.079825 151889731 80282079 71607637 0
14 31 2.372467 26 0.091249 173571632 89203485 84368132 0
15 31 2.849332 28 0.101762 188570445 97177213 91393217 0
16 31 3.139674 31 0.101280 216209952 108447188 107762749 0
17 31 2.847613 34 0.083753 228120769 112080386 116040368 0
18 31 3.347886 36 0.092997 236899292 116459226 120440051 0
19 31 3.355192 38 0.088295 252004831 123960991 128043825 0
20 31 3.841086 41 0.093685 275730959 132763929 142967015 0
21 31 3.692485 43 0.085872 285969629 137761476 148208138 0
22 31 4.365783 46 0.094908 306430543 144287365 162143163 0
23 31 4.714712 49 0.096219 330294301 152311628 177982658 0
24 31 4.582219 52 0.088120 356728568 160804206 195924347 0
25 31 5.328287 55 0.096878 372229333 164179196 208050122 0
26 31 4.863406 58 0.083852 390870008 168540554 222329439 0
27 31 5.066820 61 0.083063 413684754 174295444 239389295 0
28 31 6.311156 65 0.097095 450936452 182644632 268291805 0
29 31 5.611519 67 0.083754 451842868 180752501 271090352 0
30 31 5.785464 69 0.083847 461490622 180784516 280706091 0
31 31 6.017214 71 0.084749 473780175 181866670 291913490 0
91.167
