L: 8 | REP: 10000 | skip: 64 | dim: 2D | lattie: SS
Sun Mar 28 21:08:06 2021 | q: 0/31
Sun Mar 28 21:08:06 2021 | q: 1/31 | q_time: 0.159455s | E: 1 | q_time/E: 0.159455s
Sun Mar 28 21:08:06 2021 | q: 2/31 | q_time: 0.304543s | E: 2 | q_time/E: 0.152272s
Sun Mar 28 21:08:07 2021 | q: 3/31 | q_time: 0.454240s | E: 3 | q_time/E: 0.151413s
Sun Mar 28 21:08:07 2021 | q: 4/31 | q_time: 0.771844s | E: 5 | q_time/E: 0.154369s
Sun Mar 28 21:08:08 2021 | q: 5/31 | q_time: 0.941144s | E: 6 | q_time/E: 0.156857s
Sun Mar 28 21:08:10 2021 | q: 6/31 | q_time: 1.254624s | E: 8 | q_time/E: 0.156828s
Sun Mar 28 21:08:11 2021 | q: 7/31 | q_time: 1.432645s | E: 9 | q_time/E: 0.159183s
Sun Mar 28 21:08:13 2021 | q: 8/31 | q_time: 1.703609s | E: 11 | q_time/E: 0.154874s
Sun Mar 28 21:08:15 2021 | q: 9/31 | q_time: 1.973983s | E: 13 | q_time/E: 0.151845s
Sun Mar 28 21:08:18 2021 | q: 10/31 | q_time: 2.759715s | E: 14 | q_time/E: 0.197123s
Sun Mar 28 21:08:20 2021 | q: 11/31 | q_time: 2.797973s | E: 16 | q_time/E: 0.174873s
Sun Mar 28 21:08:24 2021 | q: 12/31 | q_time: 3.862949s | E: 18 | q_time/E: 0.214608s
Sun Mar 28 21:08:28 2021 | q: 13/31 | q_time: 3.526152s | E: 19 | q_time/E: 0.185587s
Sun Mar 28 21:08:32 2021 | q: 14/31 | q_time: 3.792927s | E: 21 | q_time/E: 0.180616s
Sun Mar 28 21:08:36 2021 | q: 15/31 | q_time: 4.653559s | E: 23 | q_time/E: 0.202329s
Sun Mar 28 21:08:46 2021 | q: 16/31 | q_time: 9.825069s | E: 25 | q_time/E: 0.393003s
Sun Mar 28 21:08:53 2021 | q: 17/31 | q_time: 6.814682s | E: 26 | q_time/E: 0.262103s
Sun Mar 28 21:08:59 2021 | q: 18/31 | q_time: 6.612659s | E: 28 | q_time/E: 0.236166s
Sun Mar 28 21:09:06 2021 | q: 19/31 | q_time: 6.835675s | E: 30 | q_time/E: 0.227856s
Sun Mar 28 21:09:13 2021 | q: 20/31 | q_time: 7.003819s | E: 32 | q_time/E: 0.218869s
Sun Mar 28 21:09:20 2021 | q: 21/31 | q_time: 6.846707s | E: 34 | q_time/E: 0.201374s
Sun Mar 28 21:09:28 2021 | q: 22/31 | q_time: 8.022673s | E: 36 | q_time/E: 0.222852s
Sun Mar 28 21:09:38 2021 | q: 23/31 | q_time: 9.699873s | E: 38 | q_time/E: 0.255260s
Sun Mar 28 21:09:47 2021 | q: 24/31 | q_time: 9.056960s | E: 40 | q_time/E: 0.226424s
Sun Mar 28 21:09:56 2021 | q: 25/31 | q_time: 9.374235s | E: 42 | q_time/E: 0.223196s
Sun Mar 28 21:10:05 2021 | q: 26/31 | q_time: 9.220531s | E: 44 | q_time/E: 0.209558s
Sun Mar 28 21:10:15 2021 | q: 27/31 | q_time: 10.001648s | E: 46 | q_time/E: 0.217427s
Sun Mar 28 21:10:24 2021 | q: 28/31 | q_time: 8.540427s | E: 48 | q_time/E: 0.177926s
Sun Mar 28 21:10:33 2021 | q: 29/31 | q_time: 9.161685s | E: 50 | q_time/E: 0.183234s
Sun Mar 28 21:10:42 2021 | q: 30/31 | q_time: 9.163719s | E: 52 | q_time/E: 0.176225s
Sun Mar 28 21:10:52 2021 | q: 31/31 | q_time: 9.486873s | E: 53 | q_time/E: 0.178998s
