q q_max q_time hits q_time/hits k 
1 31 0.156267 1 0.156267 639937
2 31 0.388540 2 0.194270 1284673
3 31 0.470604 3 0.156868 1930625
4 31 0.789910 5 0.157982 3253377
5 31 0.984736 6 0.164123 3854721
6 31 1.277899 8 0.159737 5254337
7 31 1.449782 9 0.161087 5843905
8 31 1.713934 11 0.155812 7125377
9 31 2.065266 13 0.158867 8587265
10 31 2.477486 14 0.176963 9376321
11 31 2.710662 16 0.169416 10592001
12 31 2.907817 18 0.161545 11886337
13 31 3.176361 19 0.167177 12846657
14 31 4.144054 21 0.197336 13885121
15 31 4.494707 23 0.195422 14998529
16 31 4.974853 25 0.198994 16622337
17 31 5.428554 26 0.208791 17543361
18 31 5.782457 28 0.206516 18449793
19 31 6.476777 30 0.215893 21013569
20 31 8.618533 32 0.269329 24359297
21 31 6.796859 34 0.199908 22636417
22 31 8.123430 36 0.225651 27604865
23 31 7.450677 38 0.196070 25212865
24 31 7.873158 40 0.196829 26829761
25 31 8.170037 42 0.194525 28037761
26 31 8.646898 44 0.196520 29875905
27 31 8.068284 46 0.175397 30709953
28 31 7.483122 48 0.155898 31799361
29 31 8.048999 50 0.160980 33888513
30 31 8.480726 52 0.163091 36172545
31 31 8.338141 53 0.157323 34872513
147.971
