L: 8 | REP: 1000 | skip: 64 | dim: 2D | lattie: SS
Tue Mar 23 17:22:13 2021 | q: 0/31 | q_time: 0.011033s | E: 1 | q_time/E: 0.011033s | shuffle time: 0.000000s
Tue Mar 23 17:22:13 2021 | q: 1/31 | q_time: 0.011223s | E: 1 | q_time/E: 0.011223s | shuffle time: 0.000000s
Tue Mar 23 17:22:13 2021 | q: 2/31 | q_time: 0.019990s | E: 2 | q_time/E: 0.009995s | shuffle time: 0.000000s
Tue Mar 23 17:22:13 2021 | q: 3/31 | q_time: 0.034735s | E: 3 | q_time/E: 0.011578s | shuffle time: 0.000000s
Tue Mar 23 17:22:13 2021 | q: 4/31 | q_time: 0.052131s | E: 5 | q_time/E: 0.010426s | shuffle time: 0.000000s
Tue Mar 23 17:22:13 2021 | q: 5/31 | q_time: 0.061008s | E: 6 | q_time/E: 0.010168s | shuffle time: 0.000000s
Tue Mar 23 17:22:14 2021 | q: 6/31 | q_time: 0.089272s | E: 8 | q_time/E: 0.011159s | shuffle time: 0.000000s
Tue Mar 23 17:22:14 2021 | q: 7/31 | q_time: 0.098207s | E: 9 | q_time/E: 0.010912s | shuffle time: 0.000000s
Tue Mar 23 17:22:14 2021 | q: 8/31 | q_time: 0.111545s | E: 11 | q_time/E: 0.010140s | shuffle time: 0.000000s
Tue Mar 23 17:22:14 2021 | q: 9/31 | q_time: 0.133999s | E: 13 | q_time/E: 0.010308s | shuffle time: 0.000000s
Tue Mar 23 17:22:14 2021 | q: 10/31 | q_time: 0.148018s | E: 14 | q_time/E: 0.010573s | shuffle time: 0.000000s
Tue Mar 23 17:22:14 2021 | q: 11/31 | q_time: 0.208273s | E: 16 | q_time/E: 0.013017s | shuffle time: 0.000000s
Tue Mar 23 17:22:14 2021 | q: 12/31 | q_time: 0.251021s | E: 18 | q_time/E: 0.013946s | shuffle time: 0.000000s
Tue Mar 23 17:22:15 2021 | q: 13/31 | q_time: 0.240704s | E: 19 | q_time/E: 0.012669s | shuffle time: 0.000000s
Tue Mar 23 17:22:15 2021 | q: 14/31 | q_time: 0.247132s | E: 21 | q_time/E: 0.011768s | shuffle time: 0.000000s
Tue Mar 23 17:22:15 2021 | q: 15/31 | q_time: 0.310271s | E: 23 | q_time/E: 0.013490s | shuffle time: 0.000000s
Tue Mar 23 17:22:16 2021 | q: 16/31 | q_time: 0.538196s | E: 25 | q_time/E: 0.021528s | shuffle time: 0.000000s
Tue Mar 23 17:22:16 2021 | q: 17/31 | q_time: 0.331172s | E: 26 | q_time/E: 0.012737s | shuffle time: 0.000000s
Tue Mar 23 17:22:17 2021 | q: 18/31 | q_time: 0.379161s | E: 28 | q_time/E: 0.013541s | shuffle time: 0.000000s
Tue Mar 23 17:22:17 2021 | q: 19/31 | q_time: 0.395301s | E: 30 | q_time/E: 0.013177s | shuffle time: 0.000000s
Tue Mar 23 17:22:17 2021 | q: 20/31 | q_time: 0.426901s | E: 32 | q_time/E: 0.013341s | shuffle time: 0.000000s
Tue Mar 23 17:22:18 2021 | q: 21/31 | q_time: 0.404571s | E: 34 | q_time/E: 0.011899s | shuffle time: 0.000000s
Tue Mar 23 17:22:18 2021 | q: 22/31 | q_time: 0.512160s | E: 36 | q_time/E: 0.014227s | shuffle time: 0.000000s
Tue Mar 23 17:22:19 2021 | q: 23/31 | q_time: 0.640748s | E: 38 | q_time/E: 0.016862s | shuffle time: 0.000000s
Tue Mar 23 17:22:20 2021 | q: 24/31 | q_time: 0.845715s | E: 40 | q_time/E: 0.021143s | shuffle time: 0.000000s
Tue Mar 23 17:22:20 2021 | q: 25/31 | q_time: 0.483377s | E: 42 | q_time/E: 0.011509s | shuffle time: 0.000000s
Tue Mar 23 17:22:21 2021 | q: 26/31 | q_time: 0.515800s | E: 44 | q_time/E: 0.011723s | shuffle time: 0.000000s
Tue Mar 23 17:22:21 2021 | q: 27/31 | q_time: 0.523087s | E: 46 | q_time/E: 0.011371s | shuffle time: 0.000000s
Tue Mar 23 17:22:22 2021 | q: 28/31 | q_time: 0.742857s | E: 48 | q_time/E: 0.015476s | shuffle time: 0.000000s
Tue Mar 23 17:22:23 2021 | q: 29/31 | q_time: 0.894665s | E: 50 | q_time/E: 0.017893s | shuffle time: 0.000000s
Tue Mar 23 17:22:24 2021 | q: 30/31 | q_time: 0.996875s | E: 52 | q_time/E: 0.019171s | shuffle time: 0.000000s
Tue Mar 23 17:22:25 2021 | q: 31/31 | q_time: 1.099817s | E: 53 | q_time/E: 0.020751s | shuffle time: 0.000000s
