q q_max q_time hits q_time/hits k accept_counter reject_counter
0 31 0.011033 1 0.011033 63938 63937 0
1 31 0.011223 1 0.011223 63938 63937 0
2 31 0.019990 2 0.009995 128606 90745 37860
3 31 0.034735 3 0.011578 195049 129045 66003
4 31 0.052131 5 0.010426 322267 180225 142041
5 31 0.061008 6 0.010168 389611 229220 160390
6 31 0.089272 8 0.011159 544745 300841 243903
7 31 0.098207 9 0.010912 589931 335102 254828
8 31 0.111545 11 0.010140 709272 387622 321649
9 31 0.133999 13 0.010308 888570 463706 424863
10 31 0.148018 14 0.010573 939868 513556 426311
11 31 0.208273 16 0.013017 1053355 557371 495983
12 31 0.251021 18 0.013946 1380470 724979 655490
13 31 0.240704 19 0.012669 1367884 729430 638453
14 31 0.247132 21 0.011768 1394683 716548 678134
15 31 0.310271 23 0.013490 1726342 881979 844362
16 31 0.538196 25 0.021528 3164810 1624346 1540463
17 31 0.331172 26 0.012737 1842633 957438 885194
18 31 0.379161 28 0.013541 1937411 986732 950678
19 31 0.395301 30 0.013177 2135997 1012046 1123950
20 31 0.426901 32 0.013341 2374259 1156283 1217975
21 31 0.404571 34 0.011899 2428570 1147419 1281150
22 31 0.512160 36 0.014227 3080670 1491315 1589354
23 31 0.640748 38 0.016862 3904124 1822387 2081736
24 31 0.845715 40 0.021143 5272539 2431084 2841454
25 31 0.483377 42 0.011509 2906138 1303191 1602946
26 31 0.515800 44 0.011723 3149778 1387678 1762099
27 31 0.523087 46 0.011371 3101480 1286474 1815005
28 31 0.742857 48 0.015476 3262877 1353446 1909430
29 31 0.894665 50 0.017893 4633434 1927080 2706353
30 31 0.996875 52 0.019171 4768415 1929393 2839021
31 31 1.099817 53 0.020751 4250432 1649983 2600448
11.7609
