q q_max q_time hits q_time/hits 
1 31 0.064109 1 0.064109
2 31 0.111018 2 0.055509
3 31 0.172418 3 0.057473
4 31 0.292930 5 0.058586
5 31 0.365122 6 0.060854
6 31 0.485700 8 0.060712
7 31 0.555593 9 0.061733
8 31 0.689637 11 0.062694
9 31 0.837726 13 0.064440
10 31 0.927718 14 0.066266
11 31 1.078067 16 0.067379
12 31 1.309852 18 0.072770
13 31 1.272050 19 0.066950
14 31 1.465418 21 0.069782
15 31 1.545278 23 0.067186
16 31 1.690825 25 0.067633
17 31 1.814287 26 0.069780
18 31 1.976703 28 0.070597
19 31 2.082720 30 0.069424
20 31 2.535621 32 0.079238
21 31 2.842617 34 0.083606
22 31 2.542314 36 0.070620
23 31 2.701343 38 0.071088
24 31 3.115467 40 0.077887
25 31 3.152717 42 0.075065
26 31 3.060689 44 0.069561
27 31 3.305606 46 0.071861
28 31 3.242048 48 0.067543
29 31 3.538928 50 0.070779
30 31 3.460442 52 0.066547
31 31 3.450087 53 0.065096
55.6852
