L: 2 | f_final: 8 | flatness: 90
Sat Dec 26 19:43:21 2020 | f: -0.235094/8 | Time elapsed: 0.001454s
Sat Dec 26 19:43:21 2020 | f: 0.187942/8 | Time elapsed: 0.001482s
Sat Dec 26 19:43:21 2020 | f: 0.546643/8 | Time elapsed: 0.001469s
Sat Dec 26 19:43:21 2020 | f: 0.875664/8 | Time elapsed: 0.001471s
Sat Dec 26 19:43:21 2020 | f: 1.190478/8 | Time elapsed: 0.001461s
Sat Dec 26 19:43:21 2020 | f: 1.498346/8 | Time elapsed: 0.001450s
Sat Dec 26 19:43:21 2020 | f: 1.802783/8 | Time elapsed: 0.001433s
Sat Dec 26 19:43:21 2020 | f: 2.105512/8 | Time elapsed: 0.001628s
Sat Dec 26 19:43:21 2020 | f: 2.407391/8 | Time elapsed: 0.001500s
Sat Dec 26 19:43:21 2020 | f: 2.708846/8 | Time elapsed: 0.001545s
Sat Dec 26 19:43:21 2020 | f: 3.010088/8 | Time elapsed: 0.001520s
Sat Dec 26 19:43:21 2020 | f: 3.311224/8 | Time elapsed: 0.002008s
Sat Dec 26 19:43:21 2020 | f: 3.612307/8 | Time elapsed: 0.001494s
Sat Dec 26 19:43:21 2020 | f: 3.913363/8 | Time elapsed: 0.001426s
Sat Dec 26 19:43:21 2020 | f: 4.214407/8 | Time elapsed: 0.001359s
Sat Dec 26 19:43:21 2020 | f: 4.515443/8 | Time elapsed: 0.001346s
Sat Dec 26 19:43:21 2020 | f: 4.816477/8 | Time elapsed: 0.001346s
Sat Dec 26 19:43:21 2020 | f: 5.117508/8 | Time elapsed: 0.001397s
Sat Dec 26 19:43:21 2020 | f: 5.418539/8 | Time elapsed: 0.001344s
Sat Dec 26 19:43:21 2020 | f: 5.719570/8 | Time elapsed: 0.001387s
Sat Dec 26 19:43:21 2020 | f: 6.020600/8 | Time elapsed: 0.001651s
Sat Dec 26 19:43:21 2020 | f: 6.321630/8 | Time elapsed: 0.001363s
Sat Dec 26 19:43:21 2020 | f: 6.622660/8 | Time elapsed: 0.001433s
Sat Dec 26 19:43:21 2020 | f: 6.923690/8 | Time elapsed: 0.001377s
Sat Dec 26 19:43:21 2020 | f: 7.224720/8 | Time elapsed: 0.001355s
Sat Dec 26 19:43:21 2020 | f: 7.525750/8 | Time elapsed: 0.001376s
Sat Dec 26 19:43:21 2020 | f: 7.826780/8 | Time elapsed: 0.001388s
