f f_max loop_dur mc_sweeps min_h avg_h
-0.235094 8 0.009076 10000 1944 2000.000000
0.187942 8 0.009452 10000 1977 2000.000000
0.546643 8 0.009267 10000 1981 2000.000000
0.875664 8 0.009730 10000 1969 2000.000000
1.190478 8 0.009319 10000 1973 2000.000000
1.498346 8 0.009385 10000 1959 2000.000000
1.802783 8 0.009895 10000 1942 2000.000000
2.105512 8 0.010697 10000 1922 2000.000000
2.407391 8 0.018448 20000 3809 4000.000000
2.708846 8 0.009521 10000 1841 2000.000000
3.010088 8 0.019405 20000 3720 4000.000000
3.311224 8 0.018903 20000 3621 4000.000000
3.612307 8 0.027733 30000 5492 6000.000000
3.913363 8 0.041623 40000 7443 8000.000000
4.214407 8 0.019670 20000 3666 4000.000000
4.515443 8 0.028079 30000 5409 6000.000000
4.816477 8 0.028026 30000 5515 6000.000000
5.117508 8 0.019091 20000 3662 4000.000000
5.418539 8 0.018942 20000 3608 4000.000000
5.719570 8 0.028509 30000 5492 6000.000000
6.020600 8 0.037324 40000 7283 8000.000000
6.321630 8 0.037247 40000 7205 8000.000000
6.622660 8 0.037933 40000 7371 8000.000000
6.923690 8 0.010502 10000 1808 2000.000000
7.224720 8 0.018614 20000 3613 4000.000000
7.525750 8 0.056328 60000 10864 12000.000000
7.826780 8 0.149880 160000 28816 32000.000000
0.704834
