q q_max q_time hits q_time/hits 
1 127 0.585689 1 0.585689
2 127 1.094810 2 0.547405
3 127 1.642642 3 0.547547
4 127 2.713778 5 0.542756
5 127 3.261547 6 0.543591
6 127 4.440086 8 0.555011
7 127 4.929232 9 0.547692
8 127 6.304520 11 0.573138
9 127 9.052219 13 0.696325
10 127 8.126606 14 0.580472
11 127 8.955694 16 0.559731
12 127 9.968302 18 0.553795
13 127 10.577149 19 0.556692
14 127 12.407050 21 0.590812
15 127 13.266579 23 0.576808
16 127 29.084812 25 1.163392
17 127 14.821367 26 0.570053
18 127 15.677990 28 0.559928
19 127 16.948315 30 0.564944
20 127 19.617227 32 0.613038
21 127 18.588454 33 0.563286
22 127 19.970403 35 0.570583
23 127 21.270826 37 0.574887
24 127 25.326654 39 0.649401
25 127 23.864725 41 0.582066
26 127 35.763506 42 0.851512
27 127 24.959233 44 0.567255
28 127 27.881284 46 0.606115
29 127 27.448959 48 0.571853
30 127 30.341584 50 0.606832
31 127 29.352954 51 0.575548
32 127 31.142259 53 0.587590
33 127 40.121503 55 0.729482
34 127 52.852509 57 0.927237
35 127 46.175732 59 0.782640
36 127 40.094443 61 0.657286
37 127 37.214524 62 0.600234
38 127 39.116995 64 0.611203
39 127 39.847244 66 0.603746
40 127 69.772994 68 1.026073
41 127 42.356336 70 0.605091
42 127 59.879554 72 0.831660
43 127 47.076392 73 0.644882
44 127 63.117234 75 0.841563
45 127 48.419332 77 0.628822
46 127 49.817637 79 0.630603
47 127 56.285353 81 0.694881
48 127 49.564065 83 0.597157
49 127 52.430021 85 0.616824
50 127 55.609478 86 0.646622
51 127 67.784866 88 0.770283
52 127 65.312763 90 0.725697
53 127 63.120972 92 0.686098
54 127 93.508462 94 0.994771
55 127 59.497394 96 0.619765
56 127 69.699044 98 0.711215
57 127 61.446934 99 0.620676
58 127 79.013744 101 0.782314
59 127 64.339353 103 0.624654
60 127 63.226409 105 0.602156
61 127 65.498905 107 0.612139
62 127 97.145800 109 0.891246
63 127 66.894611 111 0.602654
64 127 297.143374 113 2.629587
65 127 69.980233 114 0.613862
66 127 98.552137 116 0.849587
67 127 71.149963 118 0.602966
68 127 73.955083 120 0.616292
69 127 73.412457 122 0.601741
70 127 89.682664 124 0.723247
71 127 76.130339 126 0.604209
72 127 369.627397 128 2.887714
73 127 101.996086 130 0.784585
74 127 118.887513 132 0.900663
75 127 189.896135 134 1.417135
76 127 87.062402 136 0.640165
77 127 150.996459 138 1.094177
78 127 106.484431 140 0.760603
79 127 113.534503 142 0.799539
80 127 127.968953 144 0.888673
81 127 167.113188 146 1.144611
82 127 114.891912 148 0.776297
83 127 97.295170 150 0.648634
84 127 156.700224 152 1.030923
85 127 104.780332 154 0.680392
86 127 121.082062 156 0.776167
87 127 101.178922 158 0.640373
88 127 108.788566 160 0.679929
89 127 103.665743 162 0.639912
90 127 121.340787 164 0.739883
91 127 103.329353 166 0.622466
92 127 110.325848 168 0.656701
93 127 144.369771 170 0.849234
94 127 122.524311 172 0.712351
95 127 112.732042 174 0.647885
96 127 194.143251 176 1.103087
97 127 115.747708 178 0.650268
98 127 105.110645 180 0.583948
99 127 106.998155 182 0.587902
100 127 153.789190 184 0.835811
101 127 115.318227 186 0.619990
102 127 118.652891 188 0.631132
103 127 110.858060 190 0.583463
104 127 120.303026 192 0.626578
105 127 185.103662 194 0.954143
106 127 181.978560 196 0.928462
107 127 119.983887 198 0.605979
108 127 139.135344 200 0.695677
109 127 125.959134 202 0.623560
110 127 124.845866 204 0.611990
111 127 132.015520 206 0.640852
112 127 141.187499 208 0.678786
113 127 126.245770 210 0.601170
114 127 122.807453 212 0.579280
115 127 224.614994 214 1.049603
116 127 168.507139 216 0.780126
117 127 197.802654 218 0.907352
118 127 142.267284 220 0.646669
119 127 126.840296 222 0.571353
120 127 170.925005 224 0.763058
121 127 152.110692 226 0.673056
122 127 137.156431 228 0.601563
123 127 163.433375 230 0.710580
124 127 224.300178 232 0.966811
125 127 189.836876 234 0.811269
126 127 153.708366 236 0.651307
127 127 145.571375 237 0.614225
11059.5
