q q_max q_time hits q_time/hits 
1 127 0.647424 1 0.647424
2 127 1.295080 2 0.647540
3 127 1.975266 3 0.658422
4 127 3.352269 5 0.670454
5 127 4.182520 6 0.697087
6 127 5.766641 8 0.720830
7 127 6.179163 9 0.686574
8 127 7.781188 11 0.707381
9 127 9.526297 13 0.732792
10 127 10.007154 14 0.714797
11 127 11.628567 16 0.726785
12 127 13.149620 18 0.730534
13 127 13.666293 19 0.719279
14 127 15.433482 21 0.734928
15 127 17.677090 23 0.768569
16 127 20.099866 25 0.803995
17 127 19.180944 26 0.737729
18 127 21.927475 28 0.783124
19 127 24.661821 30 0.822061
20 127 26.145401 32 0.817044
21 127 25.168143 33 0.762671
22 127 26.361220 35 0.753178
23 127 28.104793 37 0.759589
24 127 32.531533 39 0.834142
25 127 66.222065 41 1.615172
26 127 34.570028 42 0.823096
27 127 33.870801 44 0.769791
28 127 36.018878 46 0.783019
29 127 42.610546 48 0.887720
30 127 39.546103 50 0.790922
31 127 40.146473 51 0.787186
32 127 42.355379 53 0.799158
33 127 47.931667 55 0.871485
34 127 45.772453 57 0.803025
35 127 47.833440 59 0.810736
36 127 49.493982 61 0.811377
37 127 52.135562 62 0.840896
38 127 61.913134 64 0.967393
39 127 53.592205 66 0.812003
40 127 69.469045 68 1.021604
41 127 62.020841 70 0.886012
42 127 63.852071 72 0.886834
43 127 60.077204 73 0.822975
44 127 62.951372 75 0.839352
45 127 82.575751 77 1.072412
46 127 68.280564 79 0.864311
47 127 68.659551 81 0.847649
48 127 77.347171 83 0.931894
49 127 81.719722 85 0.961408
50 127 85.077029 86 0.989268
51 127 77.394301 88 0.879481
52 127 77.973673 90 0.866374
53 127 79.433811 92 0.863411
54 127 182.556396 94 1.942089
55 127 85.379759 96 0.889372
56 127 86.009947 98 0.877653
57 127 86.350786 99 0.872230
58 127 95.616868 101 0.946702
59 127 92.077247 103 0.893954
60 127 94.036800 105 0.895589
61 127 169.739065 107 1.586346
62 127 97.186789 109 0.891622
63 127 100.623818 111 0.906521
64 127 116.276713 113 1.028997
65 127 107.993183 114 0.947309
66 127 107.517888 116 0.926878
67 127 117.011859 118 0.991626
68 127 179.506602 120 1.495888
69 127 139.987732 122 1.147440
70 127 112.212654 124 0.904941
71 127 293.642712 126 2.330498
72 127 491.482872 128 3.839710
73 127 180.144418 130 1.385726
74 127 150.213586 132 1.137982
75 127 195.691770 134 1.460386
76 127 136.880589 136 1.006475
77 127 158.973593 138 1.151983
78 127 176.930344 140 1.263788
79 127 314.824905 142 2.217077
80 127 137.373208 144 0.953981
81 127 136.851139 146 0.937337
82 127 206.393239 148 1.394549
83 127 211.257393 150 1.408383
84 127 158.057085 152 1.039849
85 127 154.488801 154 1.003174
86 127 170.676710 156 1.094081
87 127 162.797116 158 1.030361
88 127 261.664025 160 1.635400
89 127 160.797288 162 0.992576
90 127 164.208805 164 1.001273
91 127 229.877992 166 1.384807
92 127 166.699500 168 0.992259
93 127 166.009309 170 0.976525
94 127 219.522231 172 1.276292
95 127 169.352973 174 0.973293
96 127 214.452299 176 1.218479
97 127 238.987610 178 1.342627
98 127 179.182234 180 0.995457
99 127 186.235420 182 1.023272
100 127 177.657740 184 0.965531
101 127 174.990028 186 0.940807
102 127 183.033079 188 0.973580
103 127 185.711883 190 0.977431
104 127 224.727522 192 1.170456
105 127 224.452295 194 1.156971
106 127 203.980224 196 1.040715
107 127 221.583345 198 1.119108
108 127 232.995574 200 1.164978
109 127 199.361428 202 0.986938
110 127 197.897843 204 0.970087
111 127 264.358688 206 1.283295
112 127 215.758027 208 1.037298
113 127 293.635690 210 1.398265
114 127 209.828242 212 0.989756
115 127 213.903538 214 0.999549
116 127 231.117552 216 1.069989
117 127 226.382671 218 1.038453
118 127 226.273910 220 1.028518
119 127 234.753015 222 1.057446
120 127 276.511679 224 1.234427
121 127 283.807724 226 1.255786
122 127 260.570702 228 1.142854
123 127 294.148002 230 1.278904
124 127 227.749613 232 0.981679
125 127 235.109692 234 1.004742
126 127 266.874640 236 1.130825
127 127 279.089104 237 1.177591
16287.3
