q q_max q_time hits q_time/hits 
1 127 0.538282 1 0.538282
2 127 1.107482 2 0.553741
3 127 1.679133 3 0.559711
4 127 2.818823 5 0.563765
5 127 3.516956 6 0.586159
6 127 4.651101 8 0.581388
7 127 5.242972 9 0.582552
8 127 6.437405 11 0.585219
9 127 7.802044 13 0.600157
10 127 8.199062 14 0.585647
11 127 9.436708 16 0.589794
12 127 10.953984 18 0.608555
13 127 11.152256 19 0.586961
14 127 12.668698 21 0.603271
15 127 13.748266 23 0.597751
16 127 15.770654 25 0.630826
17 127 15.867765 26 0.610299
18 127 16.399774 28 0.585706
19 127 19.160384 30 0.638679
20 127 18.816530 32 0.588017
21 127 19.843752 33 0.601326
22 127 21.556386 35 0.615897
23 127 22.287695 37 0.602370
24 127 23.109704 39 0.592557
25 127 31.850044 41 0.776830
26 127 25.415161 42 0.605123
27 127 25.864712 44 0.587834
28 127 27.615620 46 0.600340
29 127 35.777798 48 0.745371
30 127 30.664237 50 0.613285
31 127 30.113347 51 0.590458
32 127 31.487789 53 0.594109
33 127 33.494341 55 0.608988
34 127 37.193666 57 0.652520
35 127 47.522056 59 0.805459
36 127 78.280441 61 1.283286
37 127 37.716891 62 0.608337
38 127 43.870580 64 0.685478
39 127 45.123070 66 0.683683
40 127 43.937129 68 0.646134
41 127 48.825819 70 0.697512
42 127 43.371971 72 0.602388
43 127 46.299461 73 0.634239
44 127 46.563653 75 0.620849
45 127 51.475640 77 0.668515
46 127 50.245204 79 0.636015
47 127 49.688971 81 0.613444
48 127 49.937537 83 0.601657
49 127 57.610771 85 0.677774
50 127 53.779579 86 0.625344
51 127 54.295435 88 0.616994
52 127 63.409814 90 0.704553
53 127 54.683397 92 0.594385
54 127 57.473499 94 0.611420
55 127 58.497685 96 0.609351
56 127 156.874274 98 1.600758
57 127 58.992464 99 0.595883
58 127 59.619535 101 0.590292
59 127 65.561722 103 0.636522
60 127 63.945250 105 0.609002
61 127 76.302815 107 0.713110
62 127 65.741789 109 0.603136
63 127 116.435877 111 1.048972
64 127 72.070940 113 0.637796
65 127 88.971367 114 0.780451
66 127 79.563397 116 0.685891
67 127 70.322619 118 0.595954
68 127 87.565685 120 0.729714
69 127 107.660660 122 0.882464
70 127 74.620698 124 0.601780
71 127 105.871149 126 0.840247
72 127 119.986068 128 0.937391
73 127 103.932026 130 0.799477
74 127 184.608911 132 1.398552
75 127 78.961989 134 0.589269
76 127 101.195521 136 0.744085
77 127 104.308626 138 0.755860
78 127 99.306332 140 0.709331
79 127 153.886774 142 1.083710
80 127 108.117552 144 0.750816
81 127 93.383357 146 0.639612
82 127 121.252504 148 0.819274
83 127 104.824960 150 0.698833
84 127 96.485767 152 0.634775
85 127 107.593311 154 0.698658
86 127 95.891028 156 0.614686
87 127 101.892066 158 0.644886
88 127 98.916446 160 0.618228
89 127 94.468214 162 0.583137
90 127 95.566227 164 0.582721
91 127 116.583542 166 0.702310
92 127 104.062488 168 0.619420
93 127 112.997493 170 0.664691
94 127 101.050282 172 0.587502
95 127 130.181332 174 0.748169
96 127 163.720127 176 0.930228
97 127 107.364768 178 0.603173
98 127 116.139109 180 0.645217
99 127 132.103322 182 0.725842
100 127 106.676954 184 0.579766
101 127 118.148872 186 0.635209
102 127 107.593346 188 0.572305
103 127 112.997688 190 0.594725
104 127 114.780098 192 0.597813
105 127 128.042810 194 0.660014
106 127 112.753713 196 0.575274
107 127 104.128366 198 0.525901
108 127 118.735274 200 0.593676
109 127 141.011130 202 0.698075
110 127 141.947538 204 0.695821
111 127 122.448529 206 0.594410
112 127 154.512583 208 0.742849
113 127 138.841648 210 0.661151
114 127 105.561287 212 0.497931
115 127 156.867240 214 0.733024
116 127 130.748644 216 0.605318
117 127 141.920783 218 0.651013
118 127 124.399567 220 0.565453
119 127 134.325262 222 0.605069
120 127 137.643088 224 0.614478
121 127 130.012678 226 0.575277
122 127 132.654846 228 0.581819
123 127 141.469446 230 0.615085
124 127 135.763642 232 0.585188
125 127 131.580295 234 0.562309
126 127 146.961517 236 0.622718
127 127 162.709134 237 0.686536
9798.99
