q q_max q_time hits q_time/hits k 
1 31 0.639373 1 0.639373 6399937
2 31 1.295775 2 0.647887 12808257
3 31 2.020133 3 0.673378 19229057
4 31 3.489787 5 0.697957 32112577
5 31 4.309405 6 0.718234 38775681
6 31 5.874521 8 0.734315 51554753
7 31 6.726768 9 0.747419 58297857
8 31 8.348971 11 0.758997 70968385
9 31 10.346412 13 0.795878 86323393
10 31 11.003518 14 0.785966 90062529
11 31 12.725804 16 0.795363 102773761
12 31 14.549158 18 0.808287 115814017
13 31 15.596928 19 0.820891 122725057
14 31 17.352257 21 0.826298 135422721
15 31 19.198911 23 0.834735 148309505
16 31 22.200463 25 0.888019 170937857
17 31 22.277472 26 0.856826 167590657
18 31 24.318483 28 0.868517 180978881
19 31 26.152610 30 0.871754 193259969
20 31 28.688485 32 0.896515 211460225
21 31 30.710216 34 0.903242 224156353
22 31 32.055463 36 0.890430 232060289
23 31 36.039557 38 0.948409 260600065
24 31 36.138804 40 0.903470 258893825
25 31 38.475349 42 0.916080 275469313
26 31 40.334475 44 0.916693 284969281
27 31 43.185572 46 0.938817 301636801
28 31 45.826492 48 0.954719 310936513
29 31 47.002051 50 0.940041 324622401
30 31 48.737448 52 0.937259 337991873
31 31 49.675211 53 0.937268 343319873
705.296
