f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-8 36.315231 1930000 18685 20654.654906
1+1E-0.187942 1+1E-8 5.364299 300000 2991 3210.568120
1+1E-0.546643 1+1E-8 6.006162 340000 3317 3638.643869
1+1E-0.875664 1+1E-8 6.691412 390000 3759 4173.738556
1+1E-1.190478 1+1E-8 5.827968 340000 3467 3638.643869
1+1E-1.498346 1+1E-8 6.875929 400000 3937 4280.757493
1+1E-1.802783 1+1E-8 7.917464 460000 4570 4922.871117
1+1E-2.105512 1+1E-8 19.382953 1120000 10841 11986.120982
1+1E-2.407391 1+1E-8 29.213409 1180000 11378 12628.234606
1+1E-2.708846 1+1E-8 34.711872 1750000 16986 18728.314034
1+1E-3.010088 1+1E-8 49.893451 2470000 24406 26433.677522
1+1E-3.311224 1+1E-8 76.037720 3730000 36459 39918.063626
1+1E-3.612307 1+1E-8 80.567357 4350000 41952 46553.237741
1+1E-3.913363 1+1E-8 70.756899 3660000 35278 39168.931065
1+1E-4.214407 1+1E-8 157.788941 8050000 77814 86150.244555
1+1E-4.515443 1+1E-8 377.632516 20410000 197177 218425.651102
1+1E-4.816477 1+1E-8 534.633246 27110000 263986 290128.339116
1+1E-5.117508 1+1E-8 642.637065 32190000 310219 344493.959283
1+1E-5.418539 1+1E-8 417.106849 21090000 203208 225702.938840
1+1E-5.719570 1+1E-8 2539.175175 131240000 1264455 1404516.533590
1+1E-6.020600 1+1E-8 1096.261012 54760000 528033 586035.700849
1+1E-6.321630 1+1E-8 2342.112981 117470000 1132350 1257151.456879
1+1E-6.622660 1+1E-8 659.310909 32610000 314266 348988.754651
1+1E-6.923690 1+1E-8 842.661124 41760000 402464 446911.082313
1+1E-7.224720 1+1E-8 733.056940 37090000 357244 396933.238577
1+1E-7.525750 1+1E-8 749.099338 39030000 376103 417694.912420
1+1E-7.826780 1+1E-8 1644.118652 84140000 810518 900457.338740
13171.2
