f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-6 36.690643 2520000 19887 21920.489297
1+1E-0.187942 1+1E-6 3.016484 210000 1649 1826.707441
1+1E-0.546643 1+1E-6 3.313594 230000 1825 2000.679579
1+1E-0.875664 1+1E-6 4.483775 310000 2515 2696.568128
1+1E-1.190478 1+1E-6 13.768253 550000 4590 4784.233775
1+1E-1.498346 1+1E-6 9.716990 660000 5176 5741.080530
1+1E-1.802783 1+1E-6 6.335037 440000 3490 3827.387020
1+1E-2.105512 1+1E-6 14.632832 1000000 7976 8698.606864
1+1E-2.407391 1+1E-6 19.861705 1380000 11052 12004.077472
1+1E-2.708846 1+1E-6 28.500969 1980000 15828 17223.241590
1+1E-3.010088 1+1E-6 36.691993 2540000 20128 22094.461434
1+1E-3.311224 1+1E-6 57.932173 3430000 27050 29836.221543
1+1E-3.612307 1+1E-6 72.405337 4460000 34939 38795.786612
1+1E-3.913363 1+1E-6 173.423871 11340000 90039 98642.201835
1+1E-4.214407 1+1E-6 230.450605 15990000 125633 139090.723751
1+1E-4.515443 1+1E-6 351.738116 24130000 189106 209897.383622
1+1E-4.816477 1+1E-6 530.153564 36830000 288521 320369.690792
1+1E-5.117508 1+1E-6 413.525710 28730000 225602 249910.975195
1+1E-5.418539 1+1E-6 692.878313 48150000 377170 418837.920489
1+1E-5.719570 1+1E-6 1217.106974 82760000 663334 719896.704043
3916.63
