f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-10 0.752585 160000 5939 6236.297199
1+1E-0.187942 1+1E-10 0.188813 40000 1495 1559.074300
1+1E-0.546643 1+1E-10 0.189217 40000 1503 1559.074300
1+1E-0.875664 1+1E-10 0.236412 50000 1880 1948.842875
1+1E-1.190478 1+1E-10 0.234599 50000 1887 1948.842875
1+1E-1.498346 1+1E-10 0.375233 80000 2992 3118.148599
1+1E-1.802783 1+1E-10 0.328501 70000 2601 2728.380024
1+1E-2.105512 1+1E-10 0.515720 110000 4081 4287.454324
1+1E-2.407391 1+1E-10 1.266996 270000 10118 10523.751523
1+1E-2.708846 1+1E-10 1.219754 260000 9628 10133.982948
1+1E-3.010088 1+1E-10 1.736390 370000 13787 14421.437272
1+1E-3.311224 1+1E-10 2.439324 520000 19317 20267.965895
1+1E-3.612307 1+1E-10 4.223251 900000 33587 35079.171742
1+1E-3.913363 1+1E-10 4.458194 950000 35246 37028.014616
1+1E-4.214407 1+1E-10 7.229031 1540000 57097 60024.360536
1+1E-4.515443 1+1E-10 5.440695 1160000 43165 45213.154689
1+1E-4.816477 1+1E-10 17.645543 3760000 139257 146552.984166
1+1E-5.117508 1+1E-10 17.875976 3810000 141172 148501.827040
1+1E-5.418539 1+1E-10 28.787527 6130000 227666 238928.136419
1+1E-5.719570 1+1E-10 14.248237 3030000 112251 118099.878197
1+1E-6.020600 1+1E-10 33.905454 7210000 267000 281023.142509
1+1E-6.321630 1+1E-10 22.859124 4860000 180197 189427.527406
1+1E-6.622660 1+1E-10 56.411116 11980000 443606 466942.752741
1+1E-6.923690 1+1E-10 55.121546 11710000 433633 456419.001218
1+1E-7.224720 1+1E-10 28.871472 6130000 227249 238928.136419
1+1E-7.525750 1+1E-10 9.419643 2000000 74169 77953.714982
1+1E-7.826780 1+1E-10 15.692237 3320000 123090 129403.166870
1+1E-8.127810 1+1E-10 152.036460 32150000 1190662 1253105.968331
1+1E-8.428840 1+1E-10 39.492357 8350000 309446 325456.760049
1+1E-8.729870 1+1E-10 13.900184 2940000 108868 114591.961023
1+1E-9.030900 1+1E-10 47.710067 10090000 373761 393276.492083
1+1E-9.331930 1+1E-10 14.308326 3030000 112304 118099.878197
1+1E-9.632960 1+1E-10 16.234628 3440000 127432 134080.389769
1+1E-9.933990 1+1E-10 73.779786 15630000 578832 609208.282582
689.135
