q q_max q_time hits q_time/hits 
1 127 16.470953 1 16.470953
2 127 16.224107 2 8.112054
3 127 16.435268 3 5.478423
4 127 16.783065 5 3.356613
5 127 16.999561 6 2.833260
6 127 18.070302 8 2.258788
7 127 18.241457 9 2.026829
8 127 18.015698 11 1.637791
9 127 18.358238 13 1.412172
10 127 19.474668 14 1.391048
11 127 20.877513 16 1.304845
12 127 21.053975 18 1.169665
13 127 19.325689 19 1.017142
14 127 19.862579 21 0.945837
15 127 20.470872 23 0.890038
16 127 21.828331 25 0.873133
17 127 21.877873 26 0.841457
18 127 21.334635 28 0.761951
19 127 22.151492 30 0.738383
20 127 26.415371 32 0.825480
21 127 23.267828 33 0.705086
22 127 23.465469 35 0.670442
23 127 25.170563 37 0.680285
24 127 27.351366 39 0.701317
25 127 29.993314 41 0.731544
26 127 26.294929 42 0.626070
27 127 26.747313 44 0.607893
28 127 28.297669 46 0.615167
29 127 37.676993 48 0.784937
30 127 39.793108 50 0.795862
31 127 28.960551 51 0.567854
32 127 29.252056 53 0.551926
33 127 33.074372 55 0.601352
34 127 34.674377 57 0.608322
35 127 42.576655 59 0.721638
36 127 61.864593 61 1.014174
37 127 31.883616 62 0.514252
38 127 38.521392 64 0.601897
39 127 43.488637 66 0.658919
40 127 39.615275 68 0.582578
41 127 51.858427 70 0.740835
42 127 59.843111 72 0.831154
43 127 34.613708 73 0.474160
44 127 38.842854 75 0.517905
45 127 39.558294 77 0.513744
46 127 44.213440 79 0.559664
47 127 70.172794 81 0.866331
48 127 63.534615 83 0.765477
49 127 97.153432 85 1.142982
50 127 40.833963 86 0.474814
51 127 52.650044 88 0.598296
52 127 58.144485 90 0.646050
53 127 54.132471 92 0.588396
54 127 76.209731 94 0.810742
55 127 100.563818 96 1.047540
56 127 108.678128 98 1.108960
57 127 51.263211 99 0.517810
58 127 58.074092 101 0.574991
59 127 52.874090 103 0.513341
60 127 66.346987 105 0.631876
61 127 96.767115 107 0.904366
62 127 93.044528 109 0.853620
63 127 158.294352 111 1.426075
64 127 365.632938 113 3.235690
65 127 65.122494 114 0.571250
66 127 56.620811 116 0.488110
67 127 80.623112 118 0.683247
68 127 91.313129 120 0.760943
69 127 108.020651 122 0.885415
70 127 143.780363 124 1.159519
71 127 130.647717 126 1.036887
72 127 219.986449 128 1.718644
73 127 393.012854 130 3.023176
74 127 279.895464 132 2.120420
75 127 245.595775 134 1.832804
76 127 233.858676 136 1.719549
77 127 140.057162 138 1.014907
78 127 170.946553 140 1.221047
79 127 123.907553 142 0.872588
80 127 258.491443 144 1.795079
81 127 130.208149 146 0.891837
82 127 158.017576 148 1.067686
83 127 132.374748 150 0.882498
84 127 135.322734 152 0.890281
85 127 120.055441 154 0.779581
86 127 110.779244 156 0.710123
87 127 108.921793 158 0.689378
88 127 110.984689 160 0.693654
89 127 142.386234 162 0.878927
90 127 110.652358 164 0.674709
91 127 114.644178 166 0.690628
92 127 111.551543 168 0.663997
93 127 151.545153 170 0.891442
94 127 183.793810 172 1.068569
95 127 145.110244 174 0.833967
96 127 151.720201 176 0.862047
97 127 114.252318 178 0.641867
98 127 131.528411 180 0.730713
99 127 143.137397 182 0.786469
100 127 141.679544 184 0.769998
101 127 148.480655 186 0.798283
102 127 127.603066 188 0.678740
103 127 105.147088 190 0.553406
104 127 133.632246 192 0.696001
105 127 151.131649 194 0.779029
106 127 134.529733 196 0.686376
107 127 134.669269 198 0.680148
108 127 132.538093 200 0.662690
109 127 170.519638 202 0.844157
110 127 192.696663 204 0.944591
111 127 165.935996 206 0.805515
112 127 203.635515 208 0.979017
113 127 146.432026 210 0.697295
114 127 160.764915 212 0.758325
115 127 182.850201 214 0.854440
116 127 158.975133 216 0.735996
117 127 178.961535 218 0.820924
118 127 154.672277 220 0.703056
119 127 180.320129 222 0.812253
120 127 147.917286 224 0.660345
121 127 127.465989 226 0.564009
122 127 175.171460 228 0.768296
123 127 183.053906 230 0.795887
124 127 170.266326 232 0.733907
125 127 166.625459 234 0.712075
126 127 213.630912 236 0.905216
127 127 260.625747 237 1.099687
12794.4
