q q_max q_time hits q_time/hits 
1 127 16.768464 1 16.768464
2 127 18.315432 2 9.157716
3 127 19.356237 3 6.452079
4 127 21.752292 5 4.350458
5 127 23.276715 6 3.879452
6 127 26.717075 8 3.339634
7 127 27.419717 9 3.046635
8 127 29.544861 11 2.685896
9 127 33.697984 13 2.592153
10 127 33.138862 14 2.367062
11 127 35.951017 16 2.246939
12 127 40.056201 18 2.225345
13 127 40.540145 19 2.133692
14 127 42.299482 21 2.014261
15 127 46.960482 23 2.041760
16 127 49.405575 25 1.976223
17 127 51.721462 26 1.989287
18 127 53.297919 28 1.903497
19 127 58.631335 30 1.954378
20 127 62.026709 32 1.938335
21 127 59.811041 33 1.812456
22 127 63.745463 35 1.821299
23 127 68.005020 37 1.837974
24 127 79.297476 39 2.033269
25 127 90.427535 41 2.205550
26 127 71.918395 42 1.712343
27 127 81.497159 44 1.852208
28 127 86.151756 46 1.872864
29 127 96.452591 48 2.009429
30 127 107.125877 50 2.142518
31 127 91.065069 51 1.785590
32 127 95.081281 53 1.793986
33 127 110.806479 55 2.014663
34 127 103.663446 57 1.818657
35 127 141.587717 59 2.399792
36 127 138.270434 61 2.266728
37 127 109.780147 62 1.770648
38 127 116.956427 64 1.827444
39 127 116.592193 66 1.766548
40 127 118.912606 68 1.748715
41 127 137.275050 70 1.961072
42 127 233.791299 72 3.247101
43 127 125.090966 73 1.713575
44 127 144.108000 75 1.921440
45 127 142.779922 77 1.854285
46 127 134.693540 79 1.704982
47 127 231.507689 81 2.858120
48 127 236.875629 83 2.853923
49 127 165.140006 85 1.942824
50 127 161.573911 86 1.878766
51 127 156.666583 88 1.780302
52 127 173.885452 90 1.932061
53 127 203.166532 92 2.208332
54 127 269.011428 94 2.861824
55 127 271.634191 96 2.829523
56 127 176.859749 98 1.804691
57 127 171.018013 99 1.727455
58 127 176.125197 101 1.743814
59 127 194.369768 103 1.887085
60 127 212.237637 105 2.021311
61 127 249.672213 107 2.333385
62 127 195.966723 109 1.797860
63 127 537.621327 111 4.843435
64 127 797.723489 113 7.059500
65 127 214.564635 114 1.882146
66 127 246.054789 116 2.121162
67 127 260.191681 118 2.205014
68 127 283.780525 120 2.364838
69 127 319.007338 122 2.614814
70 127 327.040379 124 2.637422
71 127 443.991516 126 3.523742
72 127 604.395402 128 4.721839
73 127 857.631156 130 6.597163
74 127 324.149868 132 2.455681
75 127 444.392847 134 3.316365
76 127 408.572882 136 3.004212
77 127 426.637070 138 3.091573
78 127 566.360737 140 4.045434
79 127 323.446433 142 2.277792
80 127 313.134117 144 2.174542
81 127 317.396761 146 2.173950
82 127 359.483989 148 2.428946
83 127 404.892922 150 2.699286
84 127 393.990400 152 2.592042
85 127 305.637923 154 1.984662
86 127 315.939225 156 2.025251
87 127 308.130206 158 1.950191
88 127 355.186502 160 2.219916
89 127 349.642246 162 2.158285
90 127 324.295059 164 1.977409
91 127 360.358527 166 2.170834
92 127 337.188046 168 2.007072
93 127 410.101893 170 2.412364
94 127 414.756584 172 2.411375
95 127 455.449827 174 2.617528
96 127 428.719691 176 2.435907
97 127 465.075107 178 2.612782
98 127 366.221928 180 2.034566
99 127 452.021057 182 2.483632
100 127 372.339532 184 2.023584
101 127 338.703458 186 1.820986
102 127 448.625846 188 2.386308
103 127 415.360504 190 2.186108
104 127 473.276594 192 2.464982
105 127 394.637322 194 2.034213
106 127 490.545533 196 2.502783
107 127 410.201831 198 2.071726
108 127 444.344245 200 2.221721
109 127 444.248249 202 2.199249
110 127 449.483189 204 2.203349
111 127 438.329343 206 2.127812
112 127 661.700699 208 3.181253
113 127 501.578671 210 2.388470
114 127 399.871521 212 1.886186
115 127 506.564316 214 2.367123
116 127 429.495162 216 1.988404
117 127 612.546370 218 2.809846
118 127 465.694035 220 2.116791
119 127 520.302294 222 2.343704
120 127 446.241191 224 1.992148
121 127 591.883271 226 2.618953
122 127 490.844011 228 2.152825
123 127 556.144305 230 2.418019
124 127 459.783657 232 1.981826
125 127 538.734660 234 2.302285
126 127 499.387084 236 2.116047
127 127 536.528913 237 2.263835
35002.1
