q q_max q_time hits q_time/hits 
1 127 0.841939 1 0.841939
2 127 1.467308 2 0.733654
3 127 2.173769 3 0.724590
4 127 3.531339 5 0.706268
5 127 4.352502 6 0.725417
6 127 5.741047 8 0.717631
7 127 6.536064 9 0.726229
8 127 8.035725 11 0.730520
9 127 9.688621 13 0.745279
10 127 10.283863 14 0.734562
11 127 11.652150 16 0.728259
12 127 14.127416 18 0.784856
13 127 14.267403 19 0.750916
14 127 15.890945 21 0.756712
15 127 18.287274 23 0.795099
16 127 19.675021 25 0.787001
17 127 19.703262 26 0.757818
18 127 21.520057 28 0.768573
19 127 24.314195 30 0.810473
20 127 30.889951 32 0.965311
21 127 27.513425 33 0.833740
22 127 30.461357 35 0.870324
23 127 32.127402 37 0.868308
24 127 33.574067 39 0.860874
25 127 53.860794 41 1.313678
26 127 35.249524 42 0.839274
27 127 39.125956 44 0.889226
28 127 40.254276 46 0.875093
29 127 44.433896 48 0.925706
30 127 49.810928 50 0.996219
31 127 44.219684 51 0.867053
32 127 45.622922 53 0.860810
33 127 47.834872 55 0.869725
34 127 61.622401 57 1.081095
35 127 69.949651 59 1.185587
36 127 58.445636 61 0.958125
37 127 52.595565 62 0.848316
38 127 60.561676 64 0.946276
39 127 55.596685 66 0.842374
40 127 66.424861 68 0.976836
41 127 61.117299 70 0.873104
42 127 92.900079 72 1.290279
43 127 68.859350 73 0.943279
44 127 65.950891 75 0.879345
45 127 76.933821 77 0.999141
46 127 90.158638 79 1.141249
47 127 99.752334 81 1.231510
48 127 97.780612 83 1.178080
49 127 221.787190 85 2.609261
50 127 81.022450 86 0.942122
51 127 83.140040 88 0.944773
52 127 99.661263 90 1.107347
53 127 90.557825 92 0.984324
54 127 85.455218 94 0.909098
55 127 124.240578 96 1.294173
56 127 169.103185 98 1.725543
57 127 99.982735 99 1.009927
58 127 90.202718 101 0.893096
59 127 92.658420 103 0.899596
60 127 103.117871 105 0.982075
61 127 188.176568 107 1.758660
62 127 115.194916 109 1.056834
63 127 245.688058 111 2.213406
64 127 297.619296 113 2.633799
65 127 108.429198 114 0.951133
66 127 111.011348 116 0.956994
67 127 149.461947 118 1.266627
68 127 150.048508 120 1.250404
69 127 141.195470 122 1.157340
70 127 178.999874 124 1.443547
71 127 191.970215 126 1.523573
72 127 190.642929 128 1.489398
73 127 368.775194 130 2.836732
74 127 347.086665 132 2.629444
75 127 209.857398 134 1.566100
76 127 162.160985 136 1.192360
77 127 275.156467 138 1.993887
78 127 331.418616 140 2.367276
79 127 216.841253 142 1.527051
80 127 209.124699 144 1.452255
81 127 264.709403 146 1.813078
82 127 187.476646 148 1.266734
83 127 191.947984 150 1.279653
84 127 171.701316 152 1.129614
85 127 165.679386 154 1.075840
86 127 219.901120 156 1.409623
87 127 247.903540 158 1.569010
88 127 164.336427 160 1.027103
89 127 187.421085 162 1.156920
90 127 197.964107 164 1.207098
91 127 184.016363 166 1.108532
92 127 189.293994 168 1.126750
93 127 223.702560 170 1.315897
94 127 196.375762 172 1.141720
95 127 211.506258 174 1.215553
96 127 264.040432 176 1.500230
97 127 236.177752 178 1.326841
98 127 189.695096 180 1.053862
99 127 206.607894 182 1.135208
100 127 320.797490 184 1.743465
101 127 184.480256 186 0.991829
102 127 224.306193 188 1.193118
103 127 206.428297 190 1.086465
104 127 236.488084 192 1.231709
105 127 198.746024 194 1.024464
106 127 216.733259 196 1.105782
107 127 231.859012 198 1.171005
108 127 266.135483 200 1.330677
109 127 230.549571 202 1.141335
110 127 265.862267 204 1.303246
111 127 241.823764 206 1.173902
112 127 265.024520 208 1.274156
113 127 238.282647 210 1.134679
114 127 222.987423 212 1.051827
115 127 327.549715 214 1.530606
116 127 239.332909 216 1.108023
117 127 333.333934 218 1.529055
118 127 218.970740 220 0.995322
119 127 232.682906 222 1.048121
120 127 226.529226 224 1.011291
121 127 276.889028 226 1.225173
122 127 274.756449 228 1.205072
123 127 261.556631 230 1.137203
124 127 274.640340 232 1.183795
125 127 264.348143 234 1.129693
126 127 263.305394 236 1.115701
127 127 285.843035 237 1.206089
18306.2
