q q_max q_time hits q_time/hits 
1 127 2.170072 1 2.170072
2 127 4.398598 2 2.199299
3 127 6.705316 3 2.235105
4 127 11.359285 5 2.271857
5 127 13.448221 6 2.241370
6 127 18.227143 8 2.278393
7 127 20.591148 9 2.287905
8 127 25.447530 11 2.313412
9 127 30.281311 13 2.329332
10 127 33.096746 14 2.364053
11 127 37.859561 16 2.366223
12 127 46.971507 18 2.609528
13 127 45.221317 19 2.380069
14 127 51.375476 21 2.446451
15 127 55.296587 23 2.404199
16 127 63.082652 25 2.523306
17 127 66.187414 26 2.545670
18 127 68.696438 28 2.453444
19 127 75.327912 30 2.510930
20 127 84.228669 32 2.632146
21 127 82.169963 33 2.489999
22 127 91.843667 35 2.624105
23 127 103.160470 37 2.788121
24 127 106.709129 39 2.736132
25 127 105.666717 41 2.577237
26 127 109.978099 42 2.618526
27 127 115.334459 44 2.621238
28 127 126.940888 46 2.759585
29 127 130.462748 48 2.717974
30 127 148.617896 50 2.972358
31 127 127.866238 51 2.507181
32 127 141.683574 53 2.673275
33 127 147.829993 55 2.687818
34 127 167.106318 57 2.931690
35 127 163.725895 59 2.775015
36 127 171.967035 61 2.819132
37 127 170.072020 62 2.743097
38 127 174.912086 64 2.733001
39 127 209.459787 66 3.173633
40 127 209.079302 68 3.074696
41 127 258.336820 70 3.690526
42 127 251.731034 72 3.496264
43 127 197.272144 73 2.702358
44 127 207.882133 75 2.771762
45 127 227.796227 77 2.958393
46 127 250.489405 79 3.170752
47 127 307.390642 81 3.794946
48 127 371.476253 83 4.475618
49 127 239.696670 85 2.819961
50 127 256.726673 86 2.985194
51 127 243.730315 88 2.769663
52 127 267.247733 90 2.969419
53 127 255.880469 92 2.781309
54 127 278.173759 94 2.959295
55 127 788.850742 96 8.217195
56 127 618.061677 98 6.306752
57 127 287.818393 99 2.907256
58 127 319.258580 101 3.160976
59 127 341.576160 103 3.316273
60 127 293.557834 105 2.795789
61 127 457.306856 107 4.273896
62 127 310.218250 109 2.846039
63 127 485.436521 111 4.373302
64 127 491.186596 113 4.346784
65 127 345.638987 114 3.031921
66 127 380.661159 116 3.281562
67 127 332.735746 118 2.819794
68 127 362.980692 120 3.024839
69 127 351.017635 122 2.877194
70 127 473.525134 124 3.818751
71 127 719.559341 126 5.710788
72 127 400.650954 128 3.130086
73 127 1437.736786 130 11.059514
74 127 437.640808 132 3.315461
75 127 445.550377 134 3.325003
76 127 650.308163 136 4.781678
77 127 643.135671 138 4.660403
78 127 500.673342 140 3.576238
79 127 421.527947 142 2.968507
80 127 480.434159 144 3.336348
81 127 526.942857 146 3.609198
82 127 499.562403 148 3.375422
83 127 536.733350 150 3.578222
84 127 477.998731 152 3.144728
85 127 520.911773 154 3.382544
86 127 563.826542 156 3.614273
87 127 558.709150 158 3.536134
88 127 645.349021 160 4.033431
89 127 614.046969 162 3.790413
90 127 589.252478 164 3.593003
91 127 559.058781 166 3.367824
92 127 721.121253 168 4.292388
93 127 710.019968 170 4.176588
94 127 511.874369 172 2.976014
95 127 681.133641 174 3.914561
96 127 621.226614 176 3.529697
97 127 562.869904 178 3.162190
98 127 642.789244 180 3.571051
99 127 709.431573 182 3.897976
100 127 557.505356 184 3.029920
101 127 578.894677 186 3.112337
102 127 612.972642 188 3.260493
103 127 585.035700 190 3.079135
104 127 670.873925 192 3.494135
105 127 651.670659 194 3.359127
106 127 656.009321 196 3.346986
107 127 703.018424 198 3.550598
108 127 641.441687 200 3.207208
109 127 847.754804 202 4.196806
110 127 834.147532 204 4.088958
111 127 754.837726 206 3.664261
112 127 876.660492 208 4.214714
113 127 663.878115 210 3.161324
114 127 781.516964 212 3.686401
115 127 826.292935 214 3.861182
116 127 748.449038 216 3.465042
117 127 809.990667 218 3.715554
118 127 777.268174 220 3.533037
119 127 699.941204 222 3.152888
120 127 704.967499 224 3.147176
121 127 722.283841 226 3.195946
122 127 837.057425 228 3.671304
123 127 834.840104 230 3.629740
124 127 730.691411 232 3.149532
125 127 769.481302 234 3.288382
126 127 826.871456 236 3.503693
127 127 756.770066 237 3.193123
51669.4
