q q_max q_time hits q_time/hits 
1 127 5.479679 1 5.479679
2 127 3.007404 2 1.503702
3 127 3.025930 3 1.008643
4 127 3.073919 5 0.614784
5 127 3.259315 6 0.543219
6 127 3.435559 8 0.429445
7 127 3.550448 9 0.394494
8 127 3.831642 11 0.348331
9 127 4.345136 13 0.334241
10 127 4.092015 14 0.292287
11 127 4.321309 16 0.270082
12 127 4.849580 18 0.269421
13 127 4.745956 19 0.249787
14 127 5.038260 21 0.239917
15 127 5.881790 23 0.255730
16 127 8.034563 25 0.321383
17 127 6.404364 26 0.246322
18 127 6.117715 28 0.218490
19 127 6.997137 30 0.233238
20 127 8.597144 32 0.268661
21 127 6.586845 33 0.199601
22 127 6.958769 35 0.198822
23 127 8.194159 37 0.221464
24 127 10.219407 39 0.262036
25 127 13.914654 41 0.339382
26 127 8.593305 42 0.204602
27 127 9.987316 44 0.226984
28 127 10.720016 46 0.233044
29 127 13.772174 48 0.286920
30 127 21.610649 50 0.432213
31 127 10.563423 51 0.207126
32 127 10.798734 53 0.203750
33 127 13.200911 55 0.240017
34 127 15.418370 57 0.270498
35 127 19.486013 59 0.330271
36 127 27.043327 61 0.443333
37 127 14.756328 62 0.238005
38 127 13.735052 64 0.214610
39 127 15.558897 66 0.235741
40 127 27.817958 68 0.409088
41 127 21.383268 70 0.305475
42 127 63.588424 72 0.883173
43 127 17.430235 73 0.238770
44 127 18.219459 75 0.242926
45 127 20.872160 77 0.271067
46 127 20.758631 79 0.262767
47 127 34.114016 81 0.421161
48 127 31.319174 83 0.377339
49 127 75.899268 85 0.892933
50 127 21.578271 86 0.250910
51 127 20.251511 88 0.230131
52 127 29.969291 90 0.332992
53 127 36.945379 92 0.401580
54 127 34.452918 94 0.366520
55 127 51.188209 96 0.533211
56 127 75.905958 98 0.774551
57 127 26.415212 99 0.266820
58 127 23.170822 101 0.229414
59 127 47.780762 103 0.463891
60 127 33.367553 105 0.317786
61 127 43.274052 107 0.404430
62 127 42.343598 109 0.388473
63 127 64.173401 111 0.578139
64 127 143.344366 113 1.268534
65 127 40.474883 114 0.355043
66 127 37.723315 116 0.325201
67 127 30.795803 118 0.260981
68 127 41.615899 120 0.346799
69 127 66.211653 122 0.542718
70 127 65.719094 124 0.529993
71 127 69.525028 126 0.551786
72 127 115.180908 128 0.899851
73 127 227.274355 130 1.748264
74 127 90.813437 132 0.687981
75 127 132.589632 134 0.989475
76 127 87.017923 136 0.639838
77 127 93.519677 138 0.677679
78 127 108.327078 140 0.773765
79 127 122.637495 142 0.863644
80 127 86.256855 144 0.599006
81 127 97.821069 146 0.670007
82 127 67.045209 148 0.453008
83 127 50.904727 150 0.339365
84 127 69.150850 152 0.454940
85 127 58.568143 154 0.380313
86 127 75.406861 156 0.483377
87 127 63.550889 158 0.402221
88 127 70.076329 160 0.437977
89 127 49.594722 162 0.306140
90 127 59.321862 164 0.361719
91 127 60.813746 166 0.366348
92 127 49.822170 168 0.296561
93 127 64.655691 170 0.380328
94 127 68.190198 172 0.396455
95 127 87.948425 174 0.505451
96 127 102.952500 176 0.584957
97 127 71.010501 178 0.398935
98 127 62.989747 180 0.349943
99 127 71.587076 182 0.393336
100 127 71.312517 184 0.387568
101 127 68.776265 186 0.369765
102 127 73.312705 188 0.389961
103 127 69.339688 190 0.364946
104 127 75.244784 192 0.391900
105 127 67.568088 194 0.348289
106 127 83.282409 196 0.424910
107 127 95.961876 198 0.484656
108 127 93.589019 200 0.467945
109 127 103.832905 202 0.514024
110 127 109.881565 204 0.538635
111 127 101.230723 206 0.491411
112 127 135.520928 208 0.651543
113 127 72.422100 210 0.344867
114 127 125.108385 212 0.590134
115 127 83.855448 214 0.391848
116 127 64.001894 216 0.296305
117 127 83.469443 218 0.382887
118 127 80.156929 220 0.364350
119 127 89.069131 222 0.401212
120 127 74.692477 224 0.333449
121 127 92.658853 226 0.409995
122 127 75.917116 228 0.332970
123 127 81.424272 230 0.354019
124 127 99.974493 232 0.430925
125 127 80.850704 234 0.345516
126 127 77.939522 236 0.330252
127 127 90.118353 237 0.380246
6512.39
