q q_max q_time hits q_time/hits 
1 127 0.280201 1 0.280201
2 127 0.379780 2 0.189890
3 127 0.493397 3 0.164466
4 127 0.755503 5 0.151101
5 127 0.879382 6 0.146564
6 127 1.098025 8 0.137253
7 127 1.166712 9 0.129635
8 127 1.535677 11 0.139607
9 127 1.860903 13 0.143146
10 127 1.759588 14 0.125685
11 127 2.056373 16 0.128523
12 127 2.948329 18 0.163796
13 127 2.318216 19 0.122011
14 127 2.978739 21 0.141845
15 127 3.771928 23 0.163997
16 127 5.213837 25 0.208553
17 127 3.485032 26 0.134040
18 127 4.084304 28 0.145868
19 127 4.303131 30 0.143438
20 127 4.769275 32 0.149040
21 127 4.057141 33 0.122944
22 127 5.788528 35 0.165387
23 127 4.937939 37 0.133458
24 127 7.941708 39 0.203634
25 127 8.802147 41 0.214687
26 127 6.718682 42 0.159969
27 127 7.340381 44 0.166827
28 127 8.305321 46 0.180550
29 127 6.680602 48 0.139179
30 127 12.682115 50 0.253642
31 127 6.208399 51 0.121733
32 127 11.210284 53 0.211515
33 127 8.076127 55 0.146839
34 127 11.371782 57 0.199505
35 127 14.204214 59 0.240749
36 127 18.350355 61 0.300825
37 127 8.599746 62 0.138706
38 127 14.916461 64 0.233070
39 127 13.470521 66 0.204099
40 127 13.958132 68 0.205267
41 127 21.529114 70 0.307559
42 127 56.428807 72 0.783733
43 127 9.325120 73 0.127741
44 127 15.174356 75 0.202325
45 127 17.324175 77 0.224989
46 127 19.670500 79 0.248994
47 127 23.645780 81 0.291923
48 127 12.858260 83 0.154919
49 127 18.928667 85 0.222690
50 127 17.957295 86 0.208806
51 127 22.652363 88 0.257413
52 127 30.549604 90 0.339440
53 127 19.726570 92 0.214419
54 127 57.924588 94 0.616219
55 127 31.730584 96 0.330527
56 127 21.615835 98 0.220570
57 127 18.551695 99 0.187391
58 127 21.708414 101 0.214935
59 127 44.669349 103 0.433683
60 127 49.902738 105 0.475264
61 127 19.747424 107 0.184555
62 127 41.113683 109 0.377190
63 127 20.870171 111 0.188020
64 127 22.670965 113 0.200628
65 127 21.825463 114 0.191451
66 127 30.664254 116 0.264347
67 127 32.118680 118 0.272192
68 127 69.672423 120 0.580604
69 127 98.559413 122 0.807864
70 127 38.077677 124 0.307078
71 127 155.664765 126 1.235435
72 127 26.209498 128 0.204762
73 127 38.805558 130 0.298504
74 127 41.039693 132 0.310907
75 127 42.671876 134 0.318447
76 127 50.370004 136 0.370368
77 127 65.437761 138 0.474187
78 127 56.270103 140 0.401929
79 127 63.955581 142 0.450391
80 127 79.954822 144 0.555242
81 127 61.866008 146 0.423740
82 127 79.481640 148 0.537038
83 127 57.653447 150 0.384356
84 127 67.800580 152 0.446056
85 127 60.898604 154 0.395445
86 127 50.094093 156 0.321116
87 127 40.102218 158 0.253812
88 127 114.822485 160 0.717641
89 127 97.259655 162 0.600368
90 127 48.145462 164 0.293570
91 127 56.445140 166 0.340031
92 127 56.421460 168 0.335842
93 127 73.005251 170 0.429443
94 127 41.356092 172 0.240442
95 127 161.055047 174 0.925604
96 127 137.025121 176 0.778552
97 127 60.502447 178 0.339901
98 127 72.599938 180 0.403333
99 127 70.490806 182 0.387312
100 127 108.873452 184 0.591704
101 127 54.112399 186 0.290927
102 127 72.179596 188 0.383934
103 127 82.164971 190 0.432447
104 127 92.470853 192 0.481619
105 127 103.707207 194 0.534573
106 127 71.526474 196 0.364931
107 127 84.137534 198 0.424937
108 127 91.951091 200 0.459755
109 127 74.771892 202 0.370158
110 127 68.058065 204 0.333618
111 127 116.169739 206 0.563931
112 127 160.226120 208 0.770318
113 127 55.149263 210 0.262616
114 127 63.504567 212 0.299550
115 127 150.007236 214 0.700968
116 127 70.418656 216 0.326012
117 127 98.804076 218 0.453230
118 127 86.345683 220 0.392480
119 127 95.607747 222 0.430666
120 127 88.980469 224 0.397234
121 127 59.897894 226 0.265035
122 127 90.262245 228 0.395887
123 127 84.720846 230 0.368352
124 127 60.744583 232 0.261830
125 127 91.196675 234 0.389729
126 127 96.887563 236 0.410541
127 127 73.374044 237 0.309595
5640.69
