q q_max q_time hits q_time/hits 
1 127 0.116850 1 0.116850
2 127 0.128002 2 0.064001
3 127 0.191954 3 0.063985
4 127 0.302279 5 0.060456
5 127 0.360594 6 0.060099
6 127 0.470253 8 0.058782
7 127 0.570278 9 0.063364
8 127 0.724593 11 0.065872
9 127 0.824205 13 0.063400
10 127 0.970325 14 0.069309
11 127 0.937122 16 0.058570
12 127 1.915685 18 0.106427
13 127 1.455069 19 0.076583
14 127 1.874371 21 0.089256
15 127 2.134765 23 0.092816
16 127 2.538294 25 0.101532
17 127 1.867843 26 0.071840
18 127 2.647829 28 0.094565
19 127 2.195497 30 0.073183
20 127 5.759158 32 0.179974
21 127 3.026215 33 0.091703
22 127 3.078954 35 0.087970
23 127 2.985718 37 0.080695
24 127 3.531496 39 0.090551
25 127 8.348847 41 0.203630
26 127 4.457149 42 0.106123
27 127 5.541222 44 0.125937
28 127 4.781967 46 0.103956
29 127 6.343099 48 0.132148
30 127 9.927080 50 0.198542
31 127 4.934542 51 0.096756
32 127 5.691234 53 0.107382
33 127 7.771718 55 0.141304
34 127 7.648817 57 0.134190
35 127 9.536419 59 0.161634
36 127 11.644099 61 0.190887
37 127 6.889661 62 0.111124
38 127 5.676245 64 0.088691
39 127 9.093754 66 0.137784
40 127 8.017411 68 0.117903
41 127 28.360475 70 0.405150
42 127 16.516253 72 0.229392
43 127 7.248426 73 0.099294
44 127 8.316731 75 0.110890
45 127 13.485205 77 0.175133
46 127 14.608724 79 0.184921
47 127 17.762232 81 0.219287
48 127 16.339480 83 0.196861
49 127 19.112285 85 0.224850
50 127 9.226036 86 0.107279
51 127 12.612972 88 0.143329
52 127 14.034596 90 0.155940
53 127 17.134921 92 0.186249
54 127 18.768733 94 0.199667
55 127 34.916719 96 0.363716
56 127 20.920786 98 0.213477
57 127 11.217066 99 0.113304
58 127 14.853326 101 0.147063
59 127 12.288391 103 0.119305
60 127 22.357664 105 0.212930
61 127 16.253263 107 0.151900
62 127 72.940651 109 0.669180
63 127 20.327396 111 0.183130
64 127 13.620581 113 0.120536
65 127 13.258209 114 0.116300
66 127 39.185589 116 0.337807
67 127 30.151753 118 0.255523
68 127 19.259415 120 0.160495
69 127 16.722068 122 0.137066
70 127 29.068599 124 0.234424
71 127 67.761959 126 0.537793
72 127 101.028570 128 0.789286
73 127 43.927418 130 0.337903
74 127 106.850874 132 0.809476
75 127 38.073270 134 0.284129
76 127 38.825094 136 0.285479
77 127 50.389805 138 0.365144
78 127 24.220362 140 0.173003
79 127 50.600500 142 0.356342
80 127 40.646177 144 0.282265
81 127 55.679354 146 0.381365
82 127 39.213168 148 0.264954
83 127 29.029097 150 0.193527
84 127 29.938812 152 0.196966
85 127 50.541901 154 0.328194
86 127 32.561128 156 0.208725
87 127 29.909133 158 0.189298
88 127 31.130850 160 0.194568
89 127 33.265861 162 0.205345
90 127 32.740579 164 0.199638
91 127 23.976021 166 0.144434
92 127 24.547308 168 0.146115
93 127 30.213962 170 0.177729
94 127 34.076143 172 0.198117
95 127 52.235866 174 0.300206
96 127 40.789006 176 0.231756
97 127 33.387400 178 0.187570
98 127 44.235459 180 0.245753
99 127 47.501161 182 0.260995
100 127 29.135529 184 0.158345
101 127 25.742895 186 0.138403
102 127 52.670596 188 0.280163
103 127 37.349068 190 0.196574
104 127 64.904040 192 0.338042
105 127 28.228273 194 0.145507
106 127 42.237783 196 0.215499
107 127 52.819153 198 0.266763
108 127 49.801357 200 0.249007
109 127 45.610404 202 0.225794
110 127 35.736816 204 0.175180
111 127 37.800944 206 0.183500
112 127 68.613869 208 0.329874
113 127 87.713142 210 0.417682
114 127 42.432063 212 0.200151
115 127 59.549918 214 0.278271
116 127 52.034467 216 0.240900
117 127 27.462147 218 0.125973
118 127 48.651674 220 0.221144
119 127 52.798849 222 0.237833
120 127 71.004763 224 0.316986
121 127 93.668825 226 0.414464
122 127 43.533970 228 0.190938
123 127 45.602582 230 0.198272
124 127 32.384213 232 0.139587
125 127 27.424424 234 0.117198
126 127 88.695664 236 0.375829
127 127 45.516408 237 0.192052
3404.23
