q q_max q_time hits q_time/hits 
1 127 12.889352 1 12.889352
2 127 12.505258 2 6.252629
3 127 12.679131 3 4.226377
4 127 12.939012 5 2.587802
5 127 13.401393 6 2.233565
6 127 13.235581 8 1.654448
7 127 13.638943 9 1.515438
8 127 13.820843 11 1.256440
9 127 13.707049 13 1.054388
10 127 13.849098 14 0.989221
11 127 13.980925 16 0.873808
12 127 14.608568 18 0.811587
13 127 14.201506 19 0.747448
14 127 14.364686 21 0.684033
15 127 14.674253 23 0.638011
16 127 15.263381 25 0.610535
17 127 15.242550 26 0.586252
18 127 15.284308 28 0.545868
19 127 15.632653 30 0.521088
20 127 19.690640 32 0.615332
21 127 15.993189 33 0.484642
22 127 15.733357 35 0.449524
23 127 16.903777 37 0.456859
24 127 20.639322 39 0.529213
25 127 25.315677 41 0.617456
26 127 18.248183 42 0.434481
27 127 17.072805 44 0.388018
28 127 18.561836 46 0.403518
29 127 19.262150 48 0.401295
30 127 27.738671 50 0.554773
31 127 17.632229 51 0.345730
32 127 19.710018 53 0.371887
33 127 20.425262 55 0.371368
34 127 22.350410 57 0.392112
35 127 25.819632 59 0.437621
36 127 22.916254 61 0.375676
37 127 21.264531 62 0.342976
38 127 22.492884 64 0.351451
39 127 24.833356 66 0.376263
40 127 26.836076 68 0.394648
41 127 32.340978 70 0.462014
42 127 37.550771 72 0.521538
43 127 28.850312 73 0.395210
44 127 24.044724 75 0.320596
45 127 20.991537 77 0.272617
46 127 37.140129 79 0.470128
47 127 50.566968 81 0.624284
48 127 28.353026 83 0.341603
49 127 36.565015 85 0.430177
50 127 22.057778 86 0.256486
51 127 22.337407 88 0.253834
52 127 35.430605 90 0.393673
53 127 42.481648 92 0.461757
54 127 44.933383 94 0.478015
55 127 39.356377 96 0.409962
56 127 63.086146 98 0.643736
57 127 28.849116 99 0.291405
58 127 33.402307 101 0.330716
59 127 27.739075 103 0.269311
60 127 37.487986 105 0.357028
61 127 35.876800 107 0.335297
62 127 60.070669 109 0.551107
63 127 30.833436 111 0.277779
64 127 74.760827 113 0.661600
65 127 39.766901 114 0.348832
66 127 39.286623 116 0.338678
67 127 45.209041 118 0.383127
68 127 47.144943 120 0.392875
69 127 57.711963 122 0.473049
70 127 62.890549 124 0.507182
71 127 131.171169 126 1.041041
72 127 33.479952 128 0.261562
73 127 265.137609 130 2.039520
74 127 56.072944 132 0.424795
75 127 38.813140 134 0.289650
76 127 46.187512 136 0.339614
77 127 90.649164 138 0.656878
78 127 84.239426 140 0.601710
79 127 47.550171 142 0.334860
80 127 59.947473 144 0.416302
81 127 69.490160 146 0.475960
82 127 72.370474 148 0.488990
83 127 88.958883 150 0.593059
84 127 48.170628 152 0.316912
85 127 44.259930 154 0.287402
86 127 50.916569 156 0.326388
87 127 62.684384 158 0.396737
88 127 68.548578 160 0.428429
89 127 53.897413 162 0.332700
90 127 62.917431 164 0.383643
91 127 62.849114 166 0.378609
92 127 59.369163 168 0.353388
93 127 84.499723 170 0.497057
94 127 48.433347 172 0.281589
95 127 74.170513 174 0.426267
96 127 55.946023 176 0.317875
97 127 67.795978 178 0.380876
98 127 49.721527 180 0.276231
99 127 49.703390 182 0.273096
100 127 93.276237 184 0.506936
101 127 46.334933 186 0.249113
102 127 71.192581 188 0.378684
103 127 63.252019 190 0.332905
104 127 58.566386 192 0.305033
105 127 73.829154 194 0.380563
106 127 71.515372 196 0.364874
107 127 116.984834 198 0.590832
108 127 90.977541 200 0.454888
109 127 72.272370 202 0.357784
110 127 86.512147 204 0.424079
111 127 68.403152 206 0.332054
112 127 113.224839 208 0.544350
113 127 100.447886 210 0.478323
114 127 70.779642 212 0.333866
115 127 78.893041 214 0.368659
116 127 74.345540 216 0.344192
117 127 61.261250 218 0.281015
118 127 59.395969 220 0.269982
119 127 101.041603 222 0.455142
120 127 118.800974 224 0.530361
121 127 69.459440 226 0.307343
122 127 61.605126 228 0.270198
123 127 85.826934 230 0.373161
124 127 74.882310 232 0.322769
125 127 77.640327 234 0.331796
126 127 115.713310 236 0.490311
127 127 75.045840 237 0.316649
6171.92
