q q_max q_time hits q_time/hits 
1 127 0.742878 1 0.742878
2 127 0.485995 2 0.242997
3 127 0.534017 3 0.178006
4 127 0.633602 5 0.126720
5 127 0.713034 6 0.118839
6 127 0.836618 8 0.104577
7 127 0.942327 9 0.104703
8 127 1.037179 11 0.094289
9 127 1.415198 13 0.108861
10 127 1.354517 14 0.096751
11 127 1.391019 16 0.086939
12 127 1.782598 18 0.099033
13 127 1.616061 19 0.085056
14 127 1.889381 21 0.089971
15 127 1.887433 23 0.082062
16 127 2.709174 25 0.108367
17 127 2.233271 26 0.085895
18 127 2.971382 28 0.106121
19 127 3.349189 30 0.111640
20 127 3.811595 32 0.119112
21 127 3.079868 33 0.093329
22 127 3.184444 35 0.090984
23 127 3.731686 37 0.100856
24 127 5.773686 39 0.148043
25 127 5.937044 41 0.144806
26 127 4.222401 42 0.100533
27 127 3.863602 44 0.087809
28 127 4.643653 46 0.100949
29 127 5.579422 48 0.116238
30 127 7.564070 50 0.151281
31 127 5.604495 51 0.109892
32 127 6.429886 53 0.121319
33 127 5.772016 55 0.104946
34 127 12.290831 57 0.215629
35 127 11.146055 59 0.188916
36 127 6.032445 61 0.098893
37 127 7.503234 62 0.121020
38 127 6.299041 64 0.098423
39 127 7.673068 66 0.116259
40 127 19.187900 68 0.282175
41 127 12.170636 70 0.173866
42 127 15.688150 72 0.217891
43 127 7.577108 73 0.103796
44 127 10.106790 75 0.134757
45 127 8.283600 77 0.107579
46 127 12.579989 79 0.159240
47 127 13.372479 81 0.165092
48 127 14.006391 83 0.168752
49 127 18.452115 85 0.217084
50 127 9.007857 86 0.104743
51 127 12.309689 88 0.139883
52 127 16.723209 90 0.185813
53 127 14.164298 92 0.153960
54 127 12.965167 94 0.137927
55 127 56.244956 96 0.585885
56 127 33.553908 98 0.342387
57 127 17.711554 99 0.178905
58 127 13.532746 101 0.133988
59 127 22.416869 103 0.217640
60 127 17.658383 105 0.168175
61 127 32.087314 107 0.299881
62 127 38.153480 109 0.350032
63 127 33.151927 111 0.298666
64 127 16.798431 113 0.148659
65 127 20.218974 114 0.177359
66 127 12.130783 116 0.104576
67 127 23.164222 118 0.196307
68 127 28.961373 120 0.241345
69 127 37.380534 122 0.306398
70 127 25.000998 124 0.201621
71 127 44.828843 126 0.355784
72 127 110.060967 128 0.859851
73 127 116.105327 130 0.893118
74 127 78.668453 132 0.595973
75 127 34.888205 134 0.260360
76 127 41.263530 136 0.303408
77 127 64.116946 138 0.464616
78 127 58.716192 140 0.419401
79 127 25.613939 142 0.180380
80 127 112.713358 144 0.782732
81 127 37.931664 146 0.259806
82 127 32.221991 148 0.217716
83 127 39.251024 150 0.261673
84 127 47.111957 152 0.309947
85 127 31.812460 154 0.206574
86 127 31.441240 156 0.201546
87 127 32.962422 158 0.208623
88 127 44.865125 160 0.280407
89 127 31.704620 162 0.195708
90 127 26.427942 164 0.161146
91 127 36.440281 166 0.219520
92 127 40.851559 168 0.243164
93 127 33.253851 170 0.195611
94 127 48.208364 172 0.280281
95 127 27.074263 174 0.155599
96 127 70.476035 176 0.400432
97 127 42.948294 178 0.241283
98 127 38.179555 180 0.212109
99 127 40.743404 182 0.223865
100 127 36.101645 184 0.196205
101 127 42.328305 186 0.227572
102 127 35.928639 188 0.191110
103 127 36.309651 190 0.191103
104 127 36.798492 192 0.191659
105 127 46.646829 194 0.240448
106 127 39.279263 196 0.200404
107 127 37.207044 198 0.187914
108 127 52.136934 200 0.260685
109 127 56.644952 202 0.280421
110 127 42.029923 204 0.206029
111 127 29.761788 206 0.144475
112 127 102.557377 208 0.493064
113 127 47.013635 210 0.223874
114 127 50.946509 212 0.240314
115 127 64.852297 214 0.303048
116 127 81.195111 216 0.375903
117 127 59.072295 218 0.270974
118 127 45.318739 220 0.205994
119 127 51.657939 222 0.232693
120 127 36.088813 224 0.161111
121 127 28.198846 226 0.124774
122 127 49.230629 228 0.215924
123 127 52.744270 230 0.229323
124 127 39.892292 232 0.171950
125 127 33.706117 234 0.144043
126 127 64.127237 236 0.271726
127 127 67.994894 237 0.286898
3560.11
