q q_max q_time hits q_time/hits 
1 127 0.114943 1 0.114943
2 127 0.133696 2 0.066848
3 127 0.223368 3 0.074456
4 127 0.380882 5 0.076176
5 127 0.397616 6 0.066269
6 127 0.636394 8 0.079549
7 127 0.634269 9 0.070474
8 127 0.789401 11 0.071764
9 127 1.079926 13 0.083071
10 127 1.014679 14 0.072477
11 127 1.360330 16 0.085021
12 127 1.418217 18 0.078790
13 127 1.378979 19 0.072578
14 127 1.698456 21 0.080879
15 127 1.873196 23 0.081443
16 127 2.770937 25 0.110837
17 127 1.954623 26 0.075178
18 127 2.288940 28 0.081748
19 127 2.609038 30 0.086968
20 127 4.835220 32 0.151101
21 127 2.591361 33 0.078526
22 127 2.956848 35 0.084481
23 127 4.591915 37 0.124106
24 127 4.759089 39 0.122028
25 127 6.190887 41 0.150997
26 127 4.149261 42 0.098792
27 127 4.120095 44 0.093639
28 127 6.102212 46 0.132657
29 127 7.529560 48 0.156866
30 127 10.447907 50 0.208958
31 127 5.483368 51 0.107517
32 127 4.521185 53 0.085305
33 127 8.247306 55 0.149951
34 127 7.332656 57 0.128643
35 127 9.942930 59 0.168524
36 127 11.183469 61 0.183336
37 127 5.281401 62 0.085184
38 127 6.095544 64 0.095243
39 127 7.230179 66 0.109548
40 127 8.625562 68 0.126847
41 127 14.747482 70 0.210678
42 127 7.016792 72 0.097455
43 127 8.451141 73 0.115769
44 127 10.995850 75 0.146611
45 127 12.310766 77 0.159880
46 127 12.256305 79 0.155143
47 127 16.920916 81 0.208900
48 127 17.989726 83 0.216744
49 127 12.181646 85 0.143313
50 127 12.854993 86 0.149477
51 127 10.082266 88 0.114571
52 127 17.135576 90 0.190395
53 127 20.230643 92 0.219898
54 127 19.006476 94 0.202197
55 127 31.574546 96 0.328902
56 127 34.799039 98 0.355092
57 127 13.022473 99 0.131540
58 127 9.262829 101 0.091711
59 127 17.922151 103 0.174001
60 127 23.291558 105 0.221824
61 127 33.601289 107 0.314031
62 127 39.966692 109 0.366667
63 127 21.702616 111 0.195519
64 127 161.072626 113 1.425421
65 127 16.128968 114 0.141482
66 127 15.536273 116 0.133933
67 127 27.980852 118 0.237126
68 127 34.000958 120 0.283341
69 127 27.245760 122 0.223326
70 127 29.151011 124 0.235089
71 127 22.665103 126 0.179882
72 127 35.910193 128 0.280548
73 127 35.690881 130 0.274545
74 127 26.752167 132 0.202668
75 127 23.559699 134 0.175819
76 127 21.491360 136 0.158025
77 127 37.497084 138 0.271718
78 127 52.512935 140 0.375092
79 127 72.745140 142 0.512290
80 127 31.532262 144 0.218974
81 127 29.299838 146 0.200684
82 127 34.856099 148 0.235514
83 127 42.597446 150 0.283983
84 127 28.979033 152 0.190652
85 127 31.710108 154 0.205910
86 127 24.747956 156 0.158641
87 127 36.792512 158 0.232864
88 127 33.620610 160 0.210129
89 127 45.600910 162 0.281487
90 127 37.118331 164 0.226331
91 127 31.224204 166 0.188098
92 127 31.090274 168 0.185061
93 127 42.410244 170 0.249472
94 127 62.404247 172 0.362815
95 127 36.569523 174 0.210170
96 127 64.393456 176 0.365872
97 127 63.148069 178 0.354764
98 127 44.620697 180 0.247893
99 127 31.969549 182 0.175657
100 127 34.375389 184 0.186823
101 127 46.838271 186 0.251819
102 127 47.080462 188 0.250428
103 127 43.478974 190 0.228837
104 127 53.977907 192 0.281135
105 127 60.302903 194 0.310840
106 127 29.967952 196 0.152898
107 127 42.464895 198 0.214469
108 127 40.784876 200 0.203924
109 127 33.116209 202 0.163942
110 127 52.238034 204 0.256069
111 127 32.736787 206 0.158916
112 127 84.584061 208 0.406654
113 127 39.255864 210 0.186933
114 127 50.929744 212 0.240235
115 127 36.964976 214 0.172734
116 127 69.595498 216 0.322201
117 127 38.358875 218 0.175958
118 127 38.309224 220 0.174133
119 127 48.187746 222 0.217062
120 127 49.694070 224 0.221849
121 127 67.499169 226 0.298669
122 127 33.624892 228 0.147478
123 127 51.924619 230 0.225759
124 127 77.877831 232 0.335680
125 127 50.680499 234 0.216583
126 127 52.326921 236 0.221724
127 127 49.978126 237 0.210878
3354.11
