q q_max q_time hits q_time/hits 
1 127 0.121857 1 0.121857
2 127 0.133757 2 0.066878
3 127 0.196396 3 0.065465
4 127 0.320960 5 0.064192
5 127 0.404588 6 0.067431
6 127 0.515806 8 0.064476
7 127 0.596981 9 0.066331
8 127 0.750461 11 0.068224
9 127 1.016646 13 0.078204
10 127 0.940873 14 0.067205
11 127 1.108555 16 0.069285
12 127 1.376271 18 0.076459
13 127 1.267875 19 0.066730
14 127 1.604003 21 0.076381
15 127 1.765831 23 0.076775
16 127 3.408815 25 0.136353
17 127 2.022569 26 0.077791
18 127 2.368367 28 0.084585
19 127 2.459570 30 0.081986
20 127 4.047330 32 0.126479
21 127 2.278032 33 0.069031
22 127 2.743040 35 0.078373
23 127 3.802555 37 0.102772
24 127 5.570394 39 0.142831
25 127 6.373111 41 0.155442
26 127 3.372883 42 0.080307
27 127 3.537122 44 0.080389
28 127 4.594131 46 0.099872
29 127 4.388173 48 0.091420
30 127 11.143477 50 0.222870
31 127 5.333366 51 0.104576
32 127 4.186537 53 0.078991
33 127 6.424283 55 0.116805
34 127 5.845678 57 0.102556
35 127 8.441479 59 0.143076
36 127 9.896183 61 0.162233
37 127 5.604988 62 0.090403
38 127 7.242597 64 0.113166
39 127 7.476064 66 0.113274
40 127 10.569064 68 0.155427
41 127 11.786207 70 0.168374
42 127 10.597387 72 0.147186
43 127 7.794910 73 0.106780
44 127 7.763459 75 0.103513
45 127 12.522636 77 0.162632
46 127 13.337384 79 0.168828
47 127 16.652668 81 0.205588
48 127 12.179637 83 0.146743
49 127 33.514539 85 0.394289
50 127 9.517059 86 0.110663
51 127 14.745873 88 0.167567
52 127 16.535748 90 0.183731
53 127 10.539325 92 0.114558
54 127 25.107400 94 0.267100
55 127 15.906601 96 0.165694
56 127 52.960173 98 0.540410
57 127 14.775866 99 0.149251
58 127 17.494126 101 0.173209
59 127 16.572361 103 0.160897
60 127 20.661653 105 0.196778
61 127 21.745925 107 0.203233
62 127 14.295051 109 0.131147
63 127 14.483875 111 0.130485
64 127 93.598839 113 0.828308
65 127 18.915847 114 0.165928
66 127 19.140716 116 0.165006
67 127 26.863020 118 0.227653
68 127 46.594745 120 0.388290
69 127 29.712424 122 0.243544
70 127 14.355592 124 0.115771
71 127 19.600455 126 0.155559
72 127 61.250189 128 0.478517
73 127 21.531498 130 0.165627
74 127 39.121122 132 0.296372
75 127 25.750402 134 0.192167
76 127 69.357715 136 0.509983
77 127 37.144966 138 0.269166
78 127 61.107493 140 0.436482
79 127 40.012997 142 0.281782
80 127 27.443951 144 0.190583
81 127 39.229736 146 0.268697
82 127 30.497367 148 0.206063
83 127 24.758534 150 0.165057
84 127 28.010443 152 0.184279
85 127 36.973308 154 0.240086
86 127 25.505148 156 0.163495
87 127 32.597104 158 0.206311
88 127 26.667607 160 0.166673
89 127 43.639965 162 0.269382
90 127 27.277523 164 0.166326
91 127 27.252250 166 0.164170
92 127 26.378162 168 0.157013
93 127 36.608995 170 0.215347
94 127 48.614513 172 0.282643
95 127 33.631797 174 0.193286
96 127 54.512911 176 0.309732
97 127 29.435407 178 0.165367
98 127 38.214299 180 0.212302
99 127 40.498930 182 0.222522
100 127 37.033762 184 0.201270
101 127 44.478111 186 0.239130
102 127 25.484333 188 0.135555
103 127 49.104769 190 0.258446
104 127 29.966585 192 0.156076
105 127 44.162292 194 0.227641
106 127 38.057325 196 0.194170
107 127 61.364728 198 0.309923
108 127 41.755710 200 0.208779
109 127 36.097626 202 0.178701
110 127 29.115713 204 0.142724
111 127 41.244401 206 0.200216
112 127 56.580072 208 0.272020
113 127 69.503479 210 0.330969
114 127 42.886644 212 0.202295
115 127 32.981576 214 0.154120
116 127 27.986943 216 0.129569
117 127 63.624139 218 0.291854
118 127 48.426471 220 0.220120
119 127 42.925795 222 0.193359
120 127 51.118524 224 0.228208
121 127 36.186379 226 0.160117
122 127 39.235350 228 0.172085
123 127 52.339295 230 0.227562
124 127 32.708066 232 0.140983
125 127 43.984229 234 0.187967
126 127 54.364894 236 0.230360
127 127 84.181262 237 0.355195
3095.47
