q q_max q_time hits q_time/hits 
1 127 0.136681 1 0.136681
2 127 0.133314 2 0.066657
3 127 0.199971 3 0.066657
4 127 0.322020 5 0.064404
5 127 0.395655 6 0.065943
6 127 0.527652 8 0.065957
7 127 0.576137 9 0.064015
8 127 0.764243 11 0.069477
9 127 1.047254 13 0.080558
10 127 1.072314 14 0.076594
11 127 1.418390 16 0.088649
12 127 1.595526 18 0.088640
13 127 1.408242 19 0.074118
14 127 1.652924 21 0.078711
15 127 2.508251 23 0.109054
16 127 3.594037 25 0.143761
17 127 2.270885 26 0.087342
18 127 2.175369 28 0.077692
19 127 3.064521 30 0.102151
20 127 3.297432 32 0.103045
21 127 2.596829 33 0.078692
22 127 3.485346 35 0.099581
23 127 3.240428 37 0.087579
24 127 4.114276 39 0.105494
25 127 5.202311 41 0.126886
26 127 3.474723 42 0.082731
27 127 3.673793 44 0.083495
28 127 4.117269 46 0.089506
29 127 6.771175 48 0.141066
30 127 7.497644 50 0.149953
31 127 4.739561 51 0.092933
32 127 5.261537 53 0.099274
33 127 5.675000 55 0.103182
34 127 4.668216 57 0.081899
35 127 8.228995 59 0.139474
36 127 12.775956 61 0.209442
37 127 4.932582 62 0.079558
38 127 6.423678 64 0.100370
39 127 9.081620 66 0.137600
40 127 12.126681 68 0.178334
41 127 10.200976 70 0.145728
42 127 17.135059 72 0.237987
43 127 8.958683 73 0.122722
44 127 6.677535 75 0.089034
45 127 9.011108 77 0.117027
46 127 12.589335 79 0.159359
47 127 15.085095 81 0.186236
48 127 16.856936 83 0.203096
49 127 51.328207 85 0.603861
50 127 9.547149 86 0.111013
51 127 13.962736 88 0.158667
52 127 19.860831 90 0.220676
53 127 15.568151 92 0.169219
54 127 13.342983 94 0.141947
55 127 12.873374 96 0.134098
56 127 20.522725 98 0.209416
57 127 14.005836 99 0.141473
58 127 16.193757 101 0.160334
59 127 15.800844 103 0.153406
60 127 10.973134 105 0.104506
61 127 18.313887 107 0.171158
62 127 17.949252 109 0.164672
63 127 16.672895 111 0.150206
64 127 9.768193 113 0.086444
65 127 15.993582 114 0.140295
66 127 15.996373 116 0.137900
67 127 33.247384 118 0.281757
68 127 36.649892 120 0.305416
69 127 22.354856 122 0.183237
70 127 29.664145 124 0.239227
71 127 24.136078 126 0.191556
72 127 12.667425 128 0.098964
73 127 23.275832 130 0.179045
74 127 33.349044 132 0.252644
75 127 23.290157 134 0.173807
76 127 46.313687 136 0.340542
77 127 45.401216 138 0.328994
78 127 42.327947 140 0.302342
79 127 63.340956 142 0.446063
80 127 43.743686 144 0.303776
81 127 25.345124 146 0.173597
82 127 48.305752 148 0.326390
83 127 32.790243 150 0.218602
84 127 37.538730 152 0.246965
85 127 22.188163 154 0.144079
86 127 23.571679 156 0.151101
87 127 23.141776 158 0.146467
88 127 46.479254 160 0.290495
89 127 56.011923 162 0.345753
90 127 62.465661 164 0.380888
91 127 23.727861 166 0.142939
92 127 26.578533 168 0.158206
93 127 33.058114 170 0.194459
94 127 28.653266 172 0.166589
95 127 45.533939 174 0.261689
96 127 43.486179 176 0.247081
97 127 36.686866 178 0.206106
98 127 37.190783 180 0.206615
99 127 41.520966 182 0.228137
100 127 35.329211 184 0.192007
101 127 93.006561 186 0.500035
102 127 40.894854 188 0.217526
103 127 47.644869 190 0.250762
104 127 52.182322 192 0.271783
105 127 25.627928 194 0.132103
106 127 38.375713 196 0.195794
107 127 32.377653 198 0.163523
108 127 50.330581 200 0.251653
109 127 45.024547 202 0.222894
110 127 54.083415 204 0.265115
111 127 82.048126 206 0.398292
112 127 50.673597 208 0.243623
113 127 51.933945 210 0.247304
114 127 41.785070 212 0.197099
115 127 40.721329 214 0.190287
116 127 59.913010 216 0.277375
117 127 46.920808 218 0.215233
118 127 48.505673 220 0.220480
119 127 30.393989 222 0.136910
120 127 37.689366 224 0.168256
121 127 34.283784 226 0.151698
122 127 57.109003 228 0.250478
123 127 30.071272 230 0.130745
124 127 41.538238 232 0.179044
125 127 56.024250 234 0.239420
126 127 65.906464 236 0.279265
127 127 90.291589 237 0.380977
3106.18
