q q_max q_time hits q_time/hits 
1 127 0.580616 1 0.580616
2 127 1.088613 2 0.544307
3 127 1.627593 3 0.542531
4 127 2.680585 5 0.536117
5 127 3.303294 6 0.550549
6 127 5.097723 8 0.637215
7 127 5.384350 9 0.598261
8 127 6.409520 11 0.582684
9 127 7.168264 13 0.551405
10 127 8.062479 14 0.575891
11 127 8.733263 16 0.545829
12 127 10.519660 18 0.584426
13 127 11.003562 19 0.579135
14 127 12.119763 21 0.577132
15 127 12.989760 23 0.564772
16 127 14.702918 25 0.588117
17 127 15.802798 26 0.607800
18 127 16.948157 28 0.605291
19 127 20.392824 30 0.679761
20 127 19.283010 32 0.602594
21 127 18.730235 33 0.567583
22 127 21.362025 35 0.610344
23 127 21.135356 37 0.571226
24 127 22.276775 39 0.571199
25 127 28.304376 41 0.690351
26 127 23.735895 42 0.565140
27 127 30.106375 44 0.684236
28 127 26.828972 46 0.583239
29 127 27.763887 48 0.578414
30 127 42.580560 50 0.851611
31 127 29.394434 51 0.576361
32 127 31.377286 53 0.592024
33 127 35.745954 55 0.649926
34 127 33.431597 57 0.586519
35 127 37.238989 59 0.631169
36 127 44.197412 61 0.724548
37 127 47.452837 62 0.765368
38 127 37.866415 64 0.591663
39 127 38.859857 66 0.588786
40 127 44.712700 68 0.657540
41 127 41.687239 70 0.595532
42 127 67.843348 72 0.942269
43 127 46.099852 73 0.631505
44 127 50.917645 75 0.678902
45 127 51.540543 77 0.669358
46 127 46.707704 79 0.591237
47 127 52.575268 81 0.649077
48 127 112.846756 83 1.359599
49 127 52.431184 85 0.616837
50 127 64.547604 86 0.750554
51 127 52.787312 88 0.599856
52 127 54.006565 90 0.600073
53 127 55.170556 92 0.599680
54 127 57.959815 94 0.616594
55 127 57.638719 96 0.600403
56 127 134.954501 98 1.377087
57 127 76.784885 99 0.775605
58 127 66.119400 101 0.654648
59 127 63.994590 103 0.621307
60 127 121.808945 105 1.160085
61 127 82.001489 107 0.766369
62 127 66.427944 109 0.609431
63 127 94.514486 111 0.851482
64 127 66.874693 113 0.591811
65 127 68.126824 114 0.597604
66 127 70.863776 116 0.610895
67 127 77.543410 118 0.657148
68 127 71.453594 120 0.595447
69 127 92.777473 122 0.760471
70 127 91.122322 124 0.734857
71 127 124.538304 126 0.988399
72 127 95.391742 128 0.745248
73 127 96.654375 130 0.743495
74 127 97.402290 132 0.737896
75 127 107.469853 134 0.802014
76 127 207.023857 136 1.522234
77 127 155.581286 138 1.127401
78 127 86.627866 140 0.618770
79 127 109.135308 142 0.768559
80 127 93.085179 144 0.646425
81 127 118.482888 146 0.811527
82 127 96.909676 148 0.654795
83 127 103.195021 150 0.687967
84 127 93.058948 152 0.612230
85 127 102.119416 154 0.663113
86 127 114.915547 156 0.736638
87 127 95.865090 158 0.606741
88 127 103.130921 160 0.644568
89 127 138.659321 162 0.855922
90 127 136.550279 164 0.832624
91 127 120.908163 166 0.728362
92 127 109.019800 168 0.648927
93 127 107.237764 170 0.630810
94 127 100.543181 172 0.584553
95 127 113.246597 174 0.650843
96 127 151.108232 176 0.858569
97 127 117.096832 178 0.657847
98 127 122.483133 180 0.680462
99 127 119.796333 182 0.658222
100 127 118.203873 184 0.642412
101 127 115.403936 186 0.620451
102 127 118.192088 188 0.628681
103 127 176.451104 190 0.928690
104 127 113.584243 192 0.591585
105 127 125.360335 194 0.646187
106 127 133.447056 196 0.680852
107 127 193.368688 198 0.976610
108 127 145.216685 200 0.726083
109 127 224.917049 202 1.113451
110 127 132.914650 204 0.651542
111 127 121.800271 206 0.591263
112 127 134.507184 208 0.646669
113 127 131.758074 210 0.627419
114 127 136.821249 212 0.645383
115 127 125.078274 214 0.584478
116 127 127.687777 216 0.591147
117 127 191.152190 218 0.876845
118 127 150.213717 220 0.682790
119 127 160.942579 222 0.724967
120 127 149.969801 224 0.669508
121 127 155.781393 226 0.689298
122 127 148.145346 228 0.649760
123 127 187.425361 230 0.814893
124 127 132.601992 232 0.571560
125 127 138.938341 234 0.593754
126 127 134.633419 236 0.570481
127 127 134.251922 237 0.566464
10333.1
