q q_max q_time hits q_time/hits 
1 127 0.140081 1 0.140081
2 127 0.138529 2 0.069264
3 127 0.211796 3 0.070599
4 127 0.335034 5 0.067007
5 127 0.422630 6 0.070438
6 127 0.512277 8 0.064035
7 127 0.591159 9 0.065684
8 127 0.794801 11 0.072255
9 127 0.872411 13 0.067109
10 127 0.941524 14 0.067252
11 127 1.365598 16 0.085350
12 127 1.408241 18 0.078236
13 127 1.316852 19 0.069308
14 127 1.463495 21 0.069690
15 127 1.615663 23 0.070246
16 127 2.265152 25 0.090606
17 127 1.799458 26 0.069210
18 127 1.952122 28 0.069719
19 127 2.345802 30 0.078193
20 127 3.427455 32 0.107108
21 127 2.741810 33 0.083085
22 127 2.592120 35 0.074061
23 127 3.305542 37 0.089339
24 127 5.731132 39 0.146952
25 127 10.999598 41 0.268283
26 127 3.820233 42 0.090958
27 127 3.874498 44 0.088057
28 127 4.433080 46 0.096371
29 127 5.799628 48 0.120826
30 127 9.686986 50 0.193740
31 127 4.276255 51 0.083848
32 127 5.471613 53 0.103238
33 127 6.140005 55 0.111636
34 127 8.842044 57 0.155124
35 127 6.256527 59 0.106043
36 127 14.671697 61 0.240520
37 127 8.348297 62 0.134650
38 127 6.548329 64 0.102318
39 127 7.198619 66 0.109070
40 127 10.698087 68 0.157325
41 127 20.537543 70 0.293393
42 127 22.135380 72 0.307436
43 127 8.158982 73 0.111767
44 127 12.113649 75 0.161515
45 127 8.033922 77 0.104337
46 127 7.153752 79 0.090554
47 127 17.288087 81 0.213433
48 127 11.096578 83 0.133694
49 127 10.319066 85 0.121401
50 127 7.959981 86 0.092558
51 127 9.495919 88 0.107908
52 127 12.263388 90 0.136260
53 127 24.379304 92 0.264992
54 127 13.173898 94 0.140148
55 127 10.057292 96 0.104763
56 127 16.951598 98 0.172975
57 127 14.643147 99 0.147911
58 127 14.721553 101 0.145758
59 127 21.059520 103 0.204461
60 127 15.945229 105 0.151859
61 127 15.614204 107 0.145927
62 127 27.347081 109 0.250891
63 127 11.904325 111 0.107246
64 127 17.128045 113 0.151576
65 127 17.262690 114 0.151427
66 127 25.154979 116 0.216853
67 127 26.760658 118 0.226785
68 127 16.358175 120 0.136318
69 127 61.142742 122 0.501170
70 127 46.014488 124 0.371085
71 127 53.297273 126 0.422994
72 127 234.532861 128 1.832288
73 127 22.440241 130 0.172617
74 127 22.225774 132 0.168377
75 127 62.714213 134 0.468017
76 127 67.587966 136 0.496970
77 127 38.985231 138 0.282502
78 127 36.807123 140 0.262908
79 127 51.532407 142 0.362904
80 127 68.826542 144 0.477962
81 127 35.910918 146 0.245965
82 127 23.141697 148 0.156363
83 127 26.453569 150 0.176357
84 127 31.275699 152 0.205761
85 127 30.074560 154 0.195289
86 127 32.789510 156 0.210189
87 127 40.626138 158 0.257127
88 127 34.558667 160 0.215992
89 127 29.471601 162 0.181923
90 127 42.962593 164 0.261967
91 127 38.101582 166 0.229528
92 127 42.951748 168 0.255665
93 127 36.003736 170 0.211787
94 127 58.247808 172 0.338650
95 127 65.657859 174 0.377344
96 127 75.446072 176 0.428671
97 127 28.749960 178 0.161517
98 127 33.745952 180 0.187478
99 127 40.167858 182 0.220703
100 127 30.794551 184 0.167362
101 127 45.577306 186 0.245039
102 127 36.215252 188 0.192634
103 127 51.660543 190 0.271898
104 127 50.186595 192 0.261389
105 127 30.967109 194 0.159624
106 127 34.234562 196 0.174666
107 127 33.481462 198 0.169098
108 127 32.342245 200 0.161711
109 127 62.271134 202 0.308273
110 127 31.814492 204 0.155953
111 127 72.636377 206 0.352604
112 127 63.400791 208 0.304811
113 127 46.135585 210 0.219693
114 127 52.565783 212 0.247952
115 127 50.636537 214 0.236619
116 127 49.866898 216 0.230865
117 127 38.045255 218 0.174520
118 127 64.240123 220 0.292001
119 127 53.463127 222 0.240825
120 127 34.435985 224 0.153732
121 127 36.799032 226 0.162828
122 127 36.676141 228 0.160860
123 127 47.834470 230 0.207976
124 127 50.567383 232 0.217963
125 127 47.288979 234 0.202090
126 127 47.382461 236 0.200773
127 127 62.831208 237 0.265111
3397.19
