q q_max q_time hits q_time/hits 
1 127 0.188443 1 0.188443
2 127 0.252997 2 0.126498
3 127 0.379134 3 0.126378
4 127 0.626463 5 0.125293
5 127 0.758827 6 0.126471
6 127 1.069468 8 0.133683
7 127 1.166695 9 0.129633
8 127 1.378290 11 0.125299
9 127 1.689998 13 0.130000
10 127 1.813759 14 0.129554
11 127 2.086340 16 0.130396
12 127 2.804261 18 0.155792
13 127 2.564377 19 0.134967
14 127 2.824203 21 0.134486
15 127 2.798222 23 0.121662
16 127 4.308493 25 0.172340
17 127 3.507506 26 0.134904
18 127 4.234895 28 0.151246
19 127 4.519421 30 0.150647
20 127 8.504596 32 0.265769
21 127 4.598596 33 0.139351
22 127 5.672276 35 0.162065
23 127 5.899105 37 0.159435
24 127 6.869593 39 0.176143
25 127 10.572838 41 0.257874
26 127 6.406502 42 0.152536
27 127 8.459377 44 0.192259
28 127 9.096698 46 0.197754
29 127 12.325129 48 0.256774
30 127 12.808540 50 0.256171
31 127 7.141336 51 0.140026
32 127 9.275091 53 0.175002
33 127 11.681315 55 0.212388
34 127 14.420577 57 0.252993
35 127 11.419578 59 0.193552
36 127 25.805682 61 0.423044
37 127 11.145081 62 0.179759
38 127 14.761697 64 0.230652
39 127 13.299774 66 0.201512
40 127 20.268268 68 0.298063
41 127 20.443390 70 0.292048
42 127 16.904510 72 0.234785
43 127 13.379740 73 0.183284
44 127 15.837875 75 0.211172
45 127 17.068121 77 0.221664
46 127 18.204995 79 0.230443
47 127 27.884491 81 0.344253
48 127 30.168265 83 0.363473
49 127 54.502226 85 0.641203
50 127 15.603130 86 0.181432
51 127 19.285727 88 0.219156
52 127 24.894121 90 0.276601
53 127 24.611215 92 0.267513
54 127 35.816784 94 0.381030
55 127 44.869629 96 0.467392
56 127 67.255799 98 0.686284
57 127 18.145708 99 0.183290
58 127 16.668499 101 0.165035
59 127 23.282567 103 0.226044
60 127 43.025923 105 0.409771
61 127 33.000139 107 0.308413
62 127 33.555877 109 0.307852
63 127 112.240176 111 1.011173
64 127 77.411521 113 0.685058
65 127 19.181083 114 0.168255
66 127 23.346969 116 0.201267
67 127 20.036235 118 0.169799
68 127 39.030880 120 0.325257
69 127 48.273584 122 0.395685
70 127 61.015401 124 0.492060
71 127 94.027991 126 0.746254
72 127 48.830393 128 0.381487
73 127 28.081557 130 0.216012
74 127 130.688953 132 0.990068
75 127 146.824392 134 1.095704
76 127 77.585471 136 0.570481
77 127 100.413862 138 0.727637
78 127 46.155058 140 0.329679
79 127 52.907540 142 0.372588
80 127 59.089407 144 0.410343
81 127 85.795017 146 0.587637
82 127 62.892567 148 0.424950
83 127 63.745600 150 0.424971
84 127 50.670429 152 0.333358
85 127 34.664501 154 0.225094
86 127 46.732402 156 0.299567
87 127 62.366377 158 0.394724
88 127 56.989793 160 0.356186
89 127 59.550415 162 0.367595
90 127 49.694081 164 0.303013
91 127 47.501690 166 0.286155
92 127 70.872124 168 0.421858
93 127 48.868748 170 0.287463
94 127 52.810694 172 0.307039
95 127 44.700668 174 0.256900
96 127 72.136333 176 0.409866
97 127 64.788592 178 0.363981
98 127 65.997849 180 0.366655
99 127 57.237248 182 0.314490
100 127 62.833272 184 0.341485
101 127 40.271549 186 0.216514
102 127 34.113756 188 0.181456
103 127 49.426656 190 0.260140
104 127 45.470011 192 0.236823
105 127 53.694210 194 0.276774
106 127 35.032196 196 0.178736
107 127 38.100824 198 0.192428
108 127 31.098939 200 0.155495
109 127 44.942138 202 0.222486
110 127 49.877881 204 0.244499
111 127 58.756833 206 0.285227
112 127 93.397842 208 0.449028
113 127 51.973262 210 0.247492
114 127 37.236792 212 0.175645
115 127 46.257087 214 0.216155
116 127 53.482210 216 0.247603
117 127 52.817827 218 0.242284
118 127 51.131783 220 0.232417
119 127 40.703372 222 0.183349
120 127 54.489178 224 0.243255
121 127 38.599759 226 0.170795
122 127 44.492982 228 0.195145
123 127 46.106445 230 0.200463
124 127 31.792241 232 0.137036
125 127 53.259626 234 0.227605
126 127 52.928445 236 0.224273
127 127 55.514116 237 0.234237
4514.79
