q q_max q_time hits q_time/hits 
1 127 0.150547 1 0.150547
2 127 0.132760 2 0.066380
3 127 0.195758 3 0.065253
4 127 0.318906 5 0.063781
5 127 0.408291 6 0.068048
6 127 0.585046 8 0.073131
7 127 0.622524 9 0.069169
8 127 0.718982 11 0.065362
9 127 0.902983 13 0.069460
10 127 0.921268 14 0.065805
11 127 1.091960 16 0.068248
12 127 1.276035 18 0.070891
13 127 1.340295 19 0.070542
14 127 1.404410 21 0.066877
15 127 1.654754 23 0.071946
16 127 2.368412 25 0.094736
17 127 1.993359 26 0.076668
18 127 2.994464 28 0.106945
19 127 2.981301 30 0.099377
20 127 3.406100 32 0.106441
21 127 3.040145 33 0.092126
22 127 3.428572 35 0.097959
23 127 3.087758 37 0.083453
24 127 4.393230 39 0.112647
25 127 5.270206 41 0.128542
26 127 4.184512 42 0.099631
27 127 4.686164 44 0.106504
28 127 5.289095 46 0.114980
29 127 7.820359 48 0.162924
30 127 13.405500 50 0.268110
31 127 5.892604 51 0.115541
32 127 4.631493 53 0.087387
33 127 6.686385 55 0.121571
34 127 8.300426 57 0.145622
35 127 11.923441 59 0.202092
36 127 20.194006 61 0.331049
37 127 5.598156 62 0.090293
38 127 9.963447 64 0.155679
39 127 6.397574 66 0.096933
40 127 12.101478 68 0.177963
41 127 16.325865 70 0.233227
42 127 8.436886 72 0.117179
43 127 7.951327 73 0.108922
44 127 7.703737 75 0.102716
45 127 12.435316 77 0.161498
46 127 10.364090 79 0.131191
47 127 17.740468 81 0.219018
48 127 25.793318 83 0.310763
49 127 8.737562 85 0.102795
50 127 8.536468 86 0.099261
51 127 12.350658 88 0.140348
52 127 21.990927 90 0.244344
53 127 12.421144 92 0.135012
54 127 12.328585 94 0.131155
55 127 31.917537 96 0.332474
56 127 9.386400 98 0.095780
57 127 12.721269 99 0.128498
58 127 15.916961 101 0.157594
59 127 14.046014 103 0.136369
60 127 12.459613 105 0.118663
61 127 26.243975 107 0.245271
62 127 12.601270 109 0.115608
63 127 22.349474 111 0.201347
64 127 66.709124 113 0.590346
65 127 13.164480 114 0.115478
66 127 17.251247 116 0.148718
67 127 38.556352 118 0.326749
68 127 30.427063 120 0.253559
69 127 59.667316 122 0.489076
70 127 25.235426 124 0.203512
71 127 41.210152 126 0.327065
72 127 76.891886 128 0.600718
73 127 21.257457 130 0.163519
74 127 29.093322 132 0.220404
75 127 26.721862 134 0.199417
76 127 14.618329 136 0.107488
77 127 24.881691 138 0.180302
78 127 32.512797 140 0.232234
79 127 47.391036 142 0.333740
80 127 39.055245 144 0.271217
81 127 42.430507 146 0.290620
82 127 54.985768 148 0.371525
83 127 22.109151 150 0.147394
84 127 27.248225 152 0.179265
85 127 45.588881 154 0.296032
86 127 35.052830 156 0.224698
87 127 31.850875 158 0.201588
88 127 28.999356 160 0.181246
89 127 54.374962 162 0.335648
90 127 30.058834 164 0.183286
91 127 25.899569 166 0.156022
92 127 24.928699 168 0.148385
93 127 28.346555 170 0.166744
94 127 56.915866 172 0.330906
95 127 44.243988 174 0.254276
96 127 35.226969 176 0.200153
97 127 30.546417 178 0.171609
98 127 52.216672 180 0.290093
99 127 32.688387 182 0.179607
100 127 34.269388 184 0.186247
101 127 19.576107 186 0.105248
102 127 26.838445 188 0.142758
103 127 44.195201 190 0.232606
104 127 29.851447 192 0.155476
105 127 51.064977 194 0.263222
106 127 40.028369 196 0.204226
107 127 31.018518 198 0.156659
108 127 31.101174 200 0.155506
109 127 56.402173 202 0.279219
110 127 22.201094 204 0.108829
111 127 45.312032 206 0.219961
112 127 63.765995 208 0.306567
113 127 34.135470 210 0.162550
114 127 36.252586 212 0.171003
115 127 49.489502 214 0.231259
116 127 44.086954 216 0.204106
117 127 52.695808 218 0.241724
118 127 37.441759 220 0.170190
119 127 49.382187 222 0.222442
120 127 38.243462 224 0.170730
121 127 45.028231 226 0.199240
122 127 39.572259 228 0.173563
123 127 36.420134 230 0.158348
124 127 61.539110 232 0.265255
125 127 68.444167 234 0.292496
126 127 47.955505 236 0.203201
127 127 59.054273 237 0.249174
3016.27
