q q_max q_time hits q_time/hits 
1 31 0.017651 1 0.017651
2 31 0.036964 2 0.018482
3 31 0.059305 3 0.019768
4 31 0.102926 5 0.020585
5 31 0.126790 6 0.021132
6 31 0.174334 8 0.021792
7 31 0.202686 9 0.022521
8 31 0.250512 11 0.022774
9 31 0.316714 13 0.024363
10 31 0.327879 14 0.023420
11 31 0.372810 16 0.023301
12 31 0.460683 18 0.025593
13 31 0.449385 19 0.023652
14 31 0.510394 21 0.024304
15 31 0.618624 23 0.026897
16 31 0.601713 25 0.024069
17 31 0.685965 26 0.026383
18 31 0.693574 28 0.024771
19 31 0.745608 30 0.024854
20 31 0.901265 32 0.028165
21 31 0.865167 34 0.025446
22 31 0.992911 36 0.027581
23 31 1.065625 38 0.028043
24 31 1.186862 40 0.029672
25 31 1.085677 42 0.025849
26 31 1.080128 44 0.024548
27 31 1.232490 46 0.026793
28 31 1.532649 48 0.031930
29 31 1.288582 50 0.025772
30 31 1.301604 52 0.025031
31 31 1.433866 53 0.027054
20.7225
