L: 8 | REP: 10000 | skip: 64 | dim: 2D | lattice: SS
Tue May 18 16:36:28 2021 | q: 0/31
Tue May 18 16:36:28 2021 | q: 1/31 | q_time: 0.022579s | E: 1 | q_time/E: 0.022579s
Tue May 18 16:36:28 2021 | q: 2/31 | q_time: 0.048254s | E: 2 | q_time/E: 0.024127s
Tue May 18 16:36:28 2021 | q: 3/31 | q_time: 0.071431s | E: 3 | q_time/E: 0.023810s
Tue May 18 16:36:28 2021 | q: 4/31 | q_time: 0.120727s | E: 5 | q_time/E: 0.024145s
Tue May 18 16:36:28 2021 | q: 5/31 | q_time: 0.142994s | E: 6 | q_time/E: 0.023832s
Tue May 18 16:36:28 2021 | q: 6/31 | q_time: 0.194161s | E: 8 | q_time/E: 0.024270s
Tue May 18 16:36:29 2021 | q: 7/31 | q_time: 0.221131s | E: 9 | q_time/E: 0.024570s
Tue May 18 16:36:29 2021 | q: 8/31 | q_time: 0.299625s | E: 11 | q_time/E: 0.027239s
Tue May 18 16:36:29 2021 | q: 9/31 | q_time: 0.382936s | E: 13 | q_time/E: 0.029457s
Tue May 18 16:36:30 2021 | q: 10/31 | q_time: 0.377318s | E: 14 | q_time/E: 0.026951s
Tue May 18 16:36:30 2021 | q: 11/31 | q_time: 0.440162s | E: 16 | q_time/E: 0.027510s
Tue May 18 16:36:31 2021 | q: 12/31 | q_time: 0.539931s | E: 18 | q_time/E: 0.029996s
Tue May 18 16:36:31 2021 | q: 13/31 | q_time: 0.527011s | E: 19 | q_time/E: 0.027737s
Tue May 18 16:36:32 2021 | q: 14/31 | q_time: 0.606898s | E: 21 | q_time/E: 0.028900s
Tue May 18 16:36:32 2021 | q: 15/31 | q_time: 0.626094s | E: 23 | q_time/E: 0.027221s
Tue May 18 16:36:33 2021 | q: 16/31 | q_time: 0.944546s | E: 25 | q_time/E: 0.037782s
Tue May 18 16:36:34 2021 | q: 17/31 | q_time: 0.736313s | E: 26 | q_time/E: 0.028320s
Tue May 18 16:36:35 2021 | q: 18/31 | q_time: 0.767796s | E: 28 | q_time/E: 0.027421s
Tue May 18 16:36:36 2021 | q: 19/31 | q_time: 0.826419s | E: 30 | q_time/E: 0.027547s
Tue May 18 16:36:37 2021 | q: 20/31 | q_time: 1.076825s | E: 32 | q_time/E: 0.033651s
Tue May 18 16:36:38 2021 | q: 21/31 | q_time: 0.937617s | E: 34 | q_time/E: 0.027577s
Tue May 18 16:36:39 2021 | q: 22/31 | q_time: 1.084690s | E: 36 | q_time/E: 0.030130s
Tue May 18 16:36:40 2021 | q: 23/31 | q_time: 1.100462s | E: 38 | q_time/E: 0.028960s
Tue May 18 16:36:41 2021 | q: 24/31 | q_time: 1.108013s | E: 40 | q_time/E: 0.027700s
Tue May 18 16:36:42 2021 | q: 25/31 | q_time: 1.236704s | E: 42 | q_time/E: 0.029445s
Tue May 18 16:36:43 2021 | q: 26/31 | q_time: 1.179479s | E: 44 | q_time/E: 0.026806s
Tue May 18 16:36:45 2021 | q: 27/31 | q_time: 1.316279s | E: 46 | q_time/E: 0.028615s
Tue May 18 16:36:46 2021 | q: 28/31 | q_time: 1.425450s | E: 48 | q_time/E: 0.029697s
Tue May 18 16:36:48 2021 | q: 29/31 | q_time: 1.501647s | E: 50 | q_time/E: 0.030033s
Tue May 18 16:36:49 2021 | q: 30/31 | q_time: 1.577239s | E: 52 | q_time/E: 0.030332s
Tue May 18 16:36:51 2021 | q: 31/31 | q_time: 1.431022s | E: 53 | q_time/E: 0.027000s
