q q_max q_time hits q_time/hits 
1 31 0.022579 1 0.022579
2 31 0.048254 2 0.024127
3 31 0.071431 3 0.023810
4 31 0.120727 5 0.024145
5 31 0.142994 6 0.023832
6 31 0.194161 8 0.024270
7 31 0.221131 9 0.024570
8 31 0.299625 11 0.027239
9 31 0.382936 13 0.029457
10 31 0.377318 14 0.026951
11 31 0.440162 16 0.027510
12 31 0.539931 18 0.029996
13 31 0.527011 19 0.027737
14 31 0.606898 21 0.028900
15 31 0.626094 23 0.027221
16 31 0.944546 25 0.037782
17 31 0.736313 26 0.028320
18 31 0.767796 28 0.027421
19 31 0.826419 30 0.027547
20 31 1.076825 32 0.033651
21 31 0.937617 34 0.027577
22 31 1.084690 36 0.030130
23 31 1.100462 38 0.028960
24 31 1.108013 40 0.027700
25 31 1.236704 42 0.029445
26 31 1.179479 44 0.026806
27 31 1.316279 46 0.028615
28 31 1.425450 48 0.029697
29 31 1.501647 50 0.030033
30 31 1.577239 52 0.030332
31 31 1.431022 53 0.027000
22.874
