q q_max q_time hits q_time/hits 
1 31 0.018445 1 0.018445
2 31 0.017888 2 0.008944
3 31 0.013302 3 0.004434
4 31 0.020750 5 0.004150
5 31 0.024825 6 0.004137
6 31 0.035284 8 0.004410
7 31 0.039961 9 0.004440
8 31 0.060679 11 0.005516
9 31 0.071725 13 0.005517
10 31 0.064686 14 0.004620
11 31 0.070568 16 0.004410
12 31 0.107200 18 0.005956
13 31 0.086603 19 0.004558
14 31 0.099339 21 0.004730
15 31 0.103824 23 0.004514
16 31 0.140811 25 0.005632
17 31 0.114907 26 0.004419
18 31 0.155220 28 0.005544
19 31 0.141997 30 0.004733
20 31 0.197448 32 0.006170
21 31 0.155738 34 0.004581
22 31 0.188108 36 0.005225
23 31 0.211950 38 0.005578
24 31 0.192535 40 0.004813
25 31 0.239049 42 0.005692
26 31 0.219779 44 0.004995
27 31 0.310204 46 0.006744
28 31 0.210372 48 0.004383
29 31 0.291710 50 0.005834
30 31 0.274657 52 0.005282
31 31 0.271450 53 0.005122
4.15267
