q q_max q_time hits q_time/hits 
1 31 0.011785 1 0.011785
2 31 0.012896 2 0.006448
3 31 0.017893 3 0.005964
4 31 0.034991 5 0.006998
5 31 0.044292 6 0.007382
6 31 0.054370 8 0.006796
7 31 0.059447 9 0.006605
8 31 0.074218 11 0.006747
9 31 0.091531 13 0.007041
10 31 0.102182 14 0.007299
11 31 0.146809 16 0.009176
12 31 0.130982 18 0.007277
13 31 0.137345 19 0.007229
14 31 0.160090 21 0.007623
15 31 0.170117 23 0.007396
16 31 0.243890 25 0.009756
17 31 0.190015 26 0.007308
18 31 0.268419 28 0.009586
19 31 0.221166 30 0.007372
20 31 0.236634 32 0.007395
21 31 0.296590 34 0.008723
22 31 0.259535 36 0.007209
23 31 0.408176 38 0.010741
24 31 0.316285 40 0.007907
25 31 0.314430 42 0.007486
26 31 0.307939 44 0.006999
27 31 0.404569 46 0.008795
28 31 0.389322 48 0.008111
29 31 0.346400 50 0.006928
30 31 0.381180 52 0.007330
31 31 0.377804 53 0.007128
6.21149
