q q_max q_time hits q_time/hits 
1 31 0.012441 1 0.012441
2 31 0.014244 2 0.007122
3 31 0.021367 3 0.007122
4 31 0.037753 5 0.007551
5 31 0.046415 6 0.007736
6 31 0.064222 8 0.008028
7 31 0.072856 9 0.008095
8 31 0.093226 11 0.008475
9 31 0.135256 13 0.010404
10 31 0.115829 14 0.008273
11 31 0.140786 16 0.008799
12 31 0.164917 18 0.009162
13 31 0.168456 19 0.008866
14 31 0.191288 21 0.009109
15 31 0.210648 23 0.009159
16 31 0.235380 25 0.009415
17 31 0.256597 26 0.009869
18 31 0.275970 28 0.009856
19 31 0.301832 30 0.010061
20 31 0.358675 32 0.011209
21 31 0.371189 34 0.010917
22 31 0.687684 36 0.019102
23 31 0.401569 38 0.010568
24 31 0.396529 40 0.009913
25 31 0.468885 42 0.011164
26 31 0.484356 44 0.011008
27 31 0.479836 46 0.010431
28 31 0.492255 48 0.010255
29 31 0.532940 50 0.010659
30 31 0.528028 52 0.010154
31 31 0.568143 53 0.010720
8.32977
