q q_max q_time hits q_time/hits k 
1 31 64.225975 1 64.225975 639999937
2 31 134.820011 2 67.410005 1280231169
3 31 204.464653 3 68.154884 1920382081
4 31 346.912807 5 69.382561 3202024001
5 31 428.952188 6 71.492031 3843078337
6 31 576.964819 8 72.120602 5123588481
7 31 664.195371 9 73.799486 5762641153
8 31 829.065503 11 75.369591 7042788161
9 31 1012.654262 13 77.896482 8332289601
10 31 1132.608897 14 80.900635 8966811137
11 31 1298.069281 16 81.129330 10254651137
12 31 1515.461885 18 84.192327 11538178881
13 31 1567.509657 19 82.500508 12209003521
14 31 1764.516168 21 84.024579 13476035329
15 31 1904.962517 23 82.824457 14753217537
16 31 2094.311383 25 83.772455 16019345409
17 31 2219.113002 26 85.350500 16659867009
18 31 2455.511071 28 87.696824 17940174657
19 31 2647.047563 30 88.234919 19214855809
20 31 2827.882956 32 88.371342 20507903745
21 31 2991.406140 34 87.982534 21797006081
22 31 3185.741760 36 88.492827 23061546177
23 31 3358.409217 38 88.379190 24364111361
24 31 3674.543773 40 91.863594 25625068737
25 31 4037.342466 42 96.127202 26905332993
26 31 4207.855093 44 95.633070 28184859137
27 31 4565.250034 46 99.244566 29528270081
28 31 4635.489087 48 96.572689 30759973761
29 31 4888.414254 50 97.768285 32056625473
30 31 5168.994944 52 99.403749 33398801409
31 31 5266.336885 53 99.364847 33987510465
71669
