q q_max q_time hits q_time/hits 
1 31 0.002410 1 0.002410
2 31 0.003103 2 0.001551
3 31 0.003996 3 0.001332
4 31 0.006890 5 0.001378
5 31 0.008472 6 0.001412
6 31 0.012291 8 0.001536
7 31 0.013693 9 0.001521
8 31 0.018671 11 0.001697
9 31 0.026690 13 0.002053
10 31 0.030982 14 0.002213
11 31 0.035822 16 0.002239
12 31 0.041303 18 0.002295
13 31 0.032598 19 0.001716
14 31 0.042494 21 0.002024
15 31 0.050968 23 0.002216
16 31 0.151862 25 0.006074
17 31 0.047230 26 0.001817
18 31 0.063450 28 0.002266
19 31 0.120777 30 0.004026
20 31 0.140871 32 0.004402
21 31 0.225439 34 0.006631
22 31 0.079573 36 0.002210
23 31 0.078298 38 0.002060
24 31 0.092580 40 0.002314
25 31 0.089569 42 0.002133
26 31 0.120691 44 0.002743
27 31 0.116069 46 0.002523
28 31 0.149504 48 0.003115
29 31 0.161493 50 0.003230
30 31 0.125035 52 0.002405
31 31 0.132337 53 0.002497
2.22555
