q q_max q_time hits q_time/hits 
1 31 0.072561 1 0.072561
2 31 0.127701 2 0.063850
3 31 0.186160 3 0.062053
4 31 0.302276 5 0.060455
5 31 0.368753 6 0.061459
6 31 0.485056 8 0.060632
7 31 0.546734 9 0.060748
8 31 0.681800 11 0.061982
9 31 0.940345 13 0.072334
10 31 0.876484 14 0.062606
11 31 0.997572 16 0.062348
12 31 1.146734 18 0.063707
13 31 1.299960 19 0.068419
14 31 1.359533 21 0.064740
15 31 1.611963 23 0.070085
16 31 1.555800 25 0.062232
17 31 1.368421 26 0.052632
18 31 1.098083 28 0.039217
19 31 1.377030 30 0.045901
20 31 1.938437 32 0.060576
21 31 2.402891 34 0.070673
22 31 2.219725 36 0.061659
23 31 2.473002 38 0.065079
24 31 2.417559 40 0.060439
25 31 2.770159 42 0.065956
26 31 2.716036 44 0.061728
27 31 2.739491 46 0.059554
28 31 2.970451 48 0.061884
29 31 2.983161 50 0.059663
30 31 3.038369 52 0.058430
31 31 3.193536 53 0.060255
48.2661
