q q_max q_time hits q_time/hits 
1 31 0.063222 1 0.063222
2 31 0.122806 2 0.061403
3 31 0.187623 3 0.062541
4 31 0.312793 5 0.062559
5 31 0.381475 6 0.063579
6 31 0.511405 8 0.063926
7 31 0.586136 9 0.065126
8 31 0.711365 11 0.064670
9 31 0.871133 13 0.067010
10 31 0.918065 14 0.065576
11 31 1.052141 16 0.065759
12 31 1.205666 18 0.066981
13 31 1.284922 19 0.067627
14 31 1.381753 21 0.065798
15 31 1.517157 23 0.065963
16 31 1.623591 25 0.064944
17 31 1.675079 26 0.064426
18 31 1.909011 28 0.068179
19 31 2.244144 30 0.074805
20 31 2.117445 32 0.066170
21 31 2.357487 34 0.069338
22 31 2.317224 36 0.064367
23 31 2.434278 38 0.064060
24 31 2.630615 40 0.065765
25 31 2.630063 42 0.062621
26 31 2.962831 44 0.067337
27 31 2.919154 46 0.063460
28 31 2.912815 48 0.060684
29 31 3.459925 50 0.069198
30 31 9.322637 52 0.179281
31 31 1.832159 53 0.034569
56.4565
