q q_max q_time hits q_time/hits 
1 63 3.205633 1 3.205633
2 63 6.718279 2 3.359139
3 63 9.859920 3 3.286640
4 63 16.757616 5 3.351523
5 63 24.326323 7 3.475189
6 63 31.252823 9 3.472536
7 63 38.938982 11 3.539907
8 63 50.282902 14 3.591636
9 63 58.381804 16 3.648863
10 63 70.143754 18 3.896875
11 63 82.401547 21 3.923883
12 63 84.290080 23 3.664786
13 63 96.531596 26 3.712754
14 63 113.838038 29 3.925450
15 63 123.018046 32 3.844314
16 63 139.749817 35 3.992852
17 63 150.059571 37 4.055664
18 63 162.056125 40 4.051403
19 63 179.176529 42 4.266108
20 63 186.245937 45 4.138799
21 63 199.856203 48 4.163671
22 63 226.427633 51 4.439758
23 63 219.635560 54 4.067325
24 63 231.218821 57 4.056471
25 63 231.261463 59 3.919686
26 63 260.772525 62 4.206008
27 63 360.425182 65 5.545003
28 63 338.140549 69 4.900588
29 63 483.746000 72 6.718694
30 63 523.044385 75 6.973925
31 63 818.698827 79 10.363276
32 63 356.243854 82 4.344437
33 63 395.717411 85 4.655499
34 63 445.358404 89 5.004027
35 63 582.555962 92 6.332130
36 63 477.215208 96 4.970992
37 63 497.846493 99 5.028752
38 63 470.397972 102 4.611745
39 63 453.578282 105 4.319793
40 63 746.513347 109 6.848746
41 63 796.046796 112 7.107561
42 63 514.742559 115 4.476022
43 63 550.563015 119 4.626580
44 63 685.594909 122 5.619630
45 63 807.522023 125 6.460176
46 63 629.225475 129 4.877717
47 63 690.436242 132 5.230578
48 63 715.047637 136 5.257703
49 63 1240.405195 139 8.923778
50 63 720.883360 142 5.076643
51 63 667.702413 145 4.604844
52 63 689.117848 149 4.624952
53 63 752.955216 153 4.921276
54 63 1211.254257 157 7.714995
55 63 808.653219 161 5.022691
56 63 747.762027 165 4.531891
57 63 773.910378 168 4.606609
58 63 814.909363 172 4.737845
59 63 826.288250 174 4.748783
60 63 2121.821869 177 11.987694
61 63 934.654306 180 5.192524
62 63 1002.243164 183 5.476739
63 63 888.822647 185 4.804447
29536.5
