q q_max q_time hits q_time/hits 
1 127 15.489341 1 15.489341
2 127 31.839244 2 15.919622
3 127 65.126301 4 16.281575
4 127 116.033695 7 16.576242
5 127 157.349823 9 17.483314
6 127 223.340763 13 17.180059
7 127 280.063494 16 17.503968
8 127 333.701079 19 17.563215
9 127 406.068884 22 18.457677
10 127 471.310346 26 18.127321
11 127 506.636685 29 17.470231
12 127 578.507102 33 17.530518
13 127 650.194821 37 17.572833
14 127 738.903313 41 18.022032
15 127 792.140489 45 17.603122
16 127 871.284441 49 17.781315
17 127 997.071591 53 18.812672
18 127 1114.759054 57 19.557176
19 127 1143.673622 61 18.748748
20 127 1614.965500 65 24.845623
21 127 1288.102772 69 18.668156
22 127 1490.996170 73 20.424605
23 127 1493.386002 77 19.394623
24 127 1615.940904 82 19.706596
25 127 1643.797880 86 19.113929
26 127 1780.030534 90 19.778117
27 127 2193.462026 94 23.334702
28 127 1808.514147 98 18.454226
29 127 1940.227261 103 18.837158
30 127 2474.798117 107 23.128954
31 127 2320.044249 112 20.714681
32 127 3455.134902 116 29.785646
33 127 2672.246211 120 22.268718
34 127 3431.096978 125 27.448776
35 127 3102.141367 129 24.047607
36 127 2709.502668 134 20.220169
37 127 9108.739850 139 65.530503
38 127 6641.770792 144 46.123408
39 127 2842.976095 149 19.080376
40 127 3151.342732 153 20.597011
41 127 3107.876979 157 19.795395
42 127 3111.472823 161 19.325918
43 127 3234.547475 166 19.485226
44 127 4012.237509 170 23.601397
45 127 3687.176796 175 21.069582
46 127 4259.524337 179 23.796225
47 127 4839.768459 184 26.303089
48 127 4580.053702 188 24.361988
49 127 4442.622934 192 23.138661
50 127 3841.841564 197 19.501734
51 127 15105.595533 202 74.780176
52 127 6627.953604 207 32.019100
53 127 4431.299757 212 20.902357
54 127 4749.092923 217 21.885221
55 127 9558.148138 221 43.249539
56 127 8235.371163 226 36.439695
57 127 5405.146173 230 23.500636
58 127 13533.222200 235 57.588180
59 127 5831.868853 240 24.299454
60 127 5335.925059 245 21.779286
61 127 5903.270776 250 23.613083
62 127 6290.008984 255 24.666702
63 127 6369.604827 259 24.593069
64 127 6700.315049 263 25.476483
65 127 5876.460923 265 22.175324
66 127 6108.229217 267 22.877263
67 127 5884.018410 268 21.955293
68 127 5820.052753 269 21.635884
69 127 5963.554873 270 22.087240
70 127 6377.005648 272 23.444874
71 127 5861.234498 273 21.469723
72 127 18529.157538 275 67.378755
73 127 7152.875977 277 25.822657
74 127 11045.029196 278 39.730321
75 127 10567.209515 279 37.875303
76 127 13888.810200 280 49.602894
77 127 10022.477622 281 35.667180
78 127 92104.932705 283 325.459126
79 127 34156.881733 284 120.270710
80 127 7346.452101 285 25.777025
81 127 16317.569566 286 57.054439
82 127 18896.660694 289 65.386369
83 127 6629.717354 290 22.861094
84 127 7863.936675 291 27.023837
85 127 6607.383234 293 22.550796
86 127 9951.189966 294 33.847585
87 127 8883.647708 297 29.911272
88 127 13948.913762 299 46.651885
89 127 7875.243575 301 26.163600
90 127 8347.931829 304 27.460302
91 127 6791.172453 306 22.193374
92 127 6474.236688 309 20.952222
93 127 6372.074871 311 20.488987
94 127 7098.457914 313 22.678779
95 127 6770.956740 315 21.495101
96 127 8086.737509 318 25.429992
97 127 6895.771304 319 21.616838
98 127 7383.697624 321 23.002173
99 127 7511.733667 323 23.256141
100 127 7196.878982 325 22.144243
101 127 7358.337823 326 22.571588
102 127 7633.773940 328 23.273701
103 127 7618.668372 329 23.157047
104 127 8361.173077 331 25.260342
105 127 11787.359590 333 35.397476
106 127 7915.986829 334 23.700559
107 127 10951.178194 336 32.592792
108 127 7637.358363 338 22.595735
109 127 7729.125919 339 22.799781
110 127 7845.947513 341 23.008644
111 127 9599.915431 343 27.988092
112 127 9267.317258 345 26.861789
113 127 7602.875144 347 21.910303
114 127 7973.482686 349 22.846655
115 127 9253.048895 351 26.361963
116 127 8238.733736 354 23.273259
117 127 8062.852412 356 22.648462
118 127 9446.664886 358 26.387332
119 127 10108.091207 361 28.000253
120 127 8947.088599 363 24.647627
121 127 8197.664492 365 22.459355
122 127 9789.068804 368 26.600730
123 127 9013.617738 370 24.361129
124 127 10446.706542 373 28.007256
125 127 8912.288300 375 23.766102
126 127 8603.292947 377 22.820406
127 127 8741.070255 378 23.124524
871118
