q q_max q_time hits q_time/hits 
1 63 4.612285 1 4.612285
2 63 9.317778 2 4.658889
3 63 18.400178 4 4.600045
4 63 33.106867 7 4.729552
5 63 47.543658 10 4.754366
6 63 63.450910 13 4.880839
7 63 82.450354 16 5.153147
8 63 98.572291 19 5.188015
9 63 107.981908 22 4.908269
10 63 132.121499 26 5.081596
11 63 157.020803 30 5.234027
12 63 182.187700 34 5.358462
13 63 200.745562 37 5.425556
14 63 240.616395 42 5.728962
15 63 260.158421 47 5.535286
16 63 276.286061 51 5.417374
17 63 303.493696 56 5.419530
18 63 309.319896 60 5.155332
19 63 334.707457 64 5.229804
20 63 366.823705 69 5.316286
21 63 396.622651 74 5.359766
22 63 445.110718 80 5.563884
23 63 484.702851 85 5.702386
24 63 501.257455 91 5.508324
25 63 538.826513 97 5.554913
26 63 575.879522 103 5.591063
27 63 630.408824 108 5.837119
28 63 691.762030 115 6.015322
29 63 758.194790 121 6.266073
30 63 728.242088 126 5.779699
31 63 796.846372 131 6.082797
32 63 860.381601 137 6.280158
33 63 807.360845 140 5.766863
34 63 852.250762 143 5.959796
35 63 908.866973 145 6.268048
36 63 901.492196 146 6.174604
37 63 923.185042 147 6.280170
38 63 854.519793 148 5.773782
39 63 937.791900 150 6.251946
40 63 922.852480 152 6.071398
41 63 897.203610 154 5.825997
42 63 914.408491 156 5.861593
43 63 928.272795 159 5.838194
44 63 940.233436 162 5.803910
45 63 972.072448 165 5.891348
46 63 998.137859 167 5.976873
47 63 1065.787576 169 6.306435
48 63 1012.275638 171 5.919741
49 63 1062.310104 173 6.140521
50 63 1117.363383 175 6.384934
51 63 1130.108269 177 6.384792
52 63 1081.856665 178 6.077846
53 63 1111.631729 179 6.210233
54 63 1113.092187 180 6.183845
55 63 1158.749012 182 6.366753
56 63 1130.527670 184 6.144172
57 63 1120.096973 186 6.022027
58 63 1224.091743 188 6.511126
59 63 1150.978942 191 6.026068
60 63 1179.027690 194 6.077462
61 63 1225.447601 197 6.220546
62 63 1268.594451 199 6.374846
63 63 1299.232373 200 6.496162
42847
