q q_max q_time hits q_time/hits 
1 31 0.996359 1 0.996359
2 31 2.070528 2 1.035264
3 31 4.312833 4 1.078208
4 31 6.610841 6 1.101807
5 31 9.020500 8 1.127563
6 31 11.436830 10 1.143683
7 31 15.116593 13 1.162815
8 31 18.962102 16 1.185131
9 31 22.822606 19 1.201190
10 31 26.907566 22 1.223071
11 31 32.630449 26 1.255017
12 31 41.124505 30 1.370817
13 31 43.593427 34 1.282160
14 31 47.758437 37 1.290769
15 31 55.709316 40 1.392733
16 31 56.323150 44 1.280072
17 31 59.989324 46 1.304116
18 31 63.418804 49 1.294261
19 31 69.205962 50 1.384119
20 31 74.226317 52 1.427429
21 31 70.843216 53 1.336664
22 31 76.211387 55 1.385662
23 31 78.997603 57 1.385923
24 31 86.330439 60 1.438841
25 31 88.018695 61 1.442929
26 31 85.632176 62 1.381164
27 31 93.136352 64 1.455256
28 31 106.497401 67 1.589513
29 31 105.912306 69 1.534961
30 31 98.460978 70 1.406585
31 31 98.013069 71 1.380466
1650.29
